pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,jitter,0.35,4.0,0.3076923076923077,0.40446923076923075,0.11446055108600335,-0.8455046053745348,0.8837116288371163,0.30416958304169583
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,jitter,0.2,4.0,0.3076923076923077,0.41302307692307694,0.11120444689743698,-0.9471812698993503,0.9071092890710929,0.27407259274072593
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,jitter,0.5,4.0,0.3076923076923077,0.3560769230769231,0.11051695140377223,-0.43780266076868934,0.7861213878612139,0.46705329467053297
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,isi,,4.0,0.3076923076923077,0.37163076923076926,0.10764565995860316,-0.5939715689703616,0.8254174582541746,0.40855914408559146
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,circ,,4.0,0.3076923076923077,0.372,0.13456944361135784,-0.47787737380720385,0.7895210478952105,0.41345865413458655
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,jitter,0.35,20.0,0.40404040404040403,0.36397171717171717,0.059319635507001804,0.6754708879483481,0.3057694230576942,0.8017198280171983
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,jitter,0.2,20.0,0.40404040404040403,0.37864848484848485,0.05880262797021445,0.4318160610913694,0.39866013398660133,0.7295270472952705
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,jitter,0.5,20.0,0.40404040404040403,0.3426969696969697,0.05681819085387703,1.07964427275052,0.18338166183381663,0.895010498950105
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,isi,,20.0,0.40404040404040403,0.36117171717171725,0.061157866622619766,0.7009513123342243,0.292970702929707,0.8086191380861913
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,circ,,20.0,0.40404040404040403,0.36224646464646465,0.062226863730640646,0.6716382103853317,0.29587041295870414,0.7936206379362064
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,jitter,0.35,54.0,0.3956043956043956,0.328359706959707,0.035325806727744664,1.9035570556942165,0.036996300369963,0.9785021497850215
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,jitter,0.2,54.0,0.3956043956043956,0.3416410256410256,0.03362370046518179,1.6049206130434823,0.06629337066293371,0.9577042295770423
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,jitter,0.5,54.0,0.3956043956043956,0.3223765567765568,0.03408927937291476,2.148119296590972,0.020997900209979003,0.9873012698730127
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,isi,,54.0,0.3956043956043956,0.3431956043956044,0.04044672235737026,1.2957487814643935,0.11438856114388561,0.9177082291770823
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,circ,,54.0,0.3956043956043956,0.3413604395604396,0.03983354240966424,1.361765807471734,0.0988901109889011,0.9292070792920708
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,jitter,0.35,5.0,0.29411764705882354,0.37534705882352937,0.10136289461917647,-0.8013722582596644,0.8646135386461354,0.3063693630636936
