pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170706_01_02_01,visible,0.2,P1,0.0,20.0,15.7,25,16,1,jitter,0.35,9.0,0.43902439024390244,0.5556585365853658,0.08149989164073454,-1.431095722870487,0.9521047895210479,0.1274872512748725
20170706_01_02_01,visible,0.2,P1,0.0,20.0,15.7,25,16,1,jitter,0.5,9.0,0.43902439024390244,0.5550731707317073,0.07798800379783774,-1.488033733862827,0.9622037796220378,0.11968803119688032
20170706_01_02_01,visible,0.2,P1,0.0,20.0,15.7,25,16,1,isi,,9.0,0.43902439024390244,0.5334878048780488,0.07067411713965743,-1.3366055135500239,0.9502049795020497,0.1621837816218378
20170706_01_02_01,visible,0.2,P1,0.0,20.0,15.7,25,16,1,circ,,9.0,0.43902439024390244,0.6173512195121952,0.07859590415042943,-2.2689074093095525,0.9945005499450055,0.036096390360963904
20170706_01_02_01,visible,0.2,P2,20.0,60.0,40.0,62,39,1,jitter,0.35,33.0,0.6534653465346535,0.5882772277227722,0.0460372681517581,1.4159858182069782,0.11398860113988601,0.9562043795620438
20170706_01_02_01,visible,0.2,P2,20.0,60.0,40.0,62,39,1,jitter,0.5,33.0,0.6534653465346535,0.534190099009901,0.046441459156814476,2.5682924199691284,0.006999300069993001,0.9986001399860014
20170706_01_02_01,visible,0.2,P2,20.0,60.0,40.0,62,39,1,isi,,33.0,0.6534653465346535,0.603158415841584,0.05096239598192857,0.9871382560370291,0.21737826217378262,0.8839116088391161
20170706_01_02_01,visible,0.2,P2,20.0,60.0,40.0,62,39,1,circ,,33.0,0.6534653465346535,0.5945366336633662,0.060263270246673696,0.9778545477216274,0.21187881211878812,0.8716128387161284
20170706_01_02_01,visible,0.2,P3,60.0,180.0,119.69999999999999,165,126,1,jitter,0.35,81.0,0.5567010309278351,0.5459381443298968,0.028802417533887893,0.3736799727062841,0.40685931406859316,0.6865313468653135
20170706_01_02_01,visible,0.2,P3,60.0,180.0,119.69999999999999,165,126,1,jitter,0.5,81.0,0.5567010309278351,0.5188068728522336,0.029745946023644974,1.2739268082272293,0.11938806119388061,0.9228077192280771
20170706_01_02_01,visible,0.2,P3,60.0,180.0,119.69999999999999,165,126,1,isi,,81.0,0.5567010309278351,0.5909766323024054,0.03372515066425035,-1.0163216679385647,0.8656134386561344,0.18088191180881913
20170706_01_02_01,visible,0.2,P3,60.0,180.0,119.69999999999999,165,126,1,circ,,81.0,0.5567010309278351,0.5894013745704466,0.03317945007196412,-0.9855601455625868,0.8609139086091391,0.18388161183881613
20170706_01_02_02,visible,0.2,P1,0.0,20.0,15.0,24,21,1,jitter,0.35,16.0,0.7111111111111111,0.6452222222222223,0.07846182257039884,0.8397573078266305,0.29247075292470753,0.8716128387161284
20170706_01_02_02,visible,0.2,P1,0.0,20.0,15.0,24,21,1,jitter,0.5,16.0,0.7111111111111111,0.5882577777777777,0.07758710737128956,1.5834245855490459,0.09379062093790622,0.9733026697330267
20170706_01_02_02,visible,0.2,P1,0.0,20.0,15.0,24,21,1,isi,,16.0,0.7111111111111111,0.6784488888888889,0.07625967854076665,0.42830264757491465,0.4644535546445355,0.7553244675532447
20170706_01_02_02,visible,0.2,P1,0.0,20.0,15.0,24,21,1,circ,,16.0,0.7111111111111111,0.6793911111111111,0.07379662424346069,0.4298299593671573,0.48975102489751027,0.785921407859214
20170706_01_02_02,visible,0.2,P2,20.0,60.0,40.0,57,40,1,jitter,0.35,35.0,0.7216494845360825,0.5686742268041236,0.05275104536802122,2.8999474164865675,0.0022997700229977,0.9997000299970003
20170706_01_02_02,visible,0.2,P2,20.0,60.0,40.0,57,40,1,jitter,0.5,35.0,0.7216494845360825,0.49797525773195883,0.052096018839044446,4.293499422579415,9.999000099990002e-05,1.0
20170706_01_02_02,visible,0.2,P2,20.0,60.0,40.0,57,40,1,isi,,35.0,0.7216494845360825,0.5799670103092783,0.058524454283133354,2.420910642606996,0.008099190080991902,0.998000199980002
20170706_01_02_02,visible,0.2,P2,20.0,60.0,40.0,57,40,1,circ,,35.0,0.7216494845360825,0.574839175257732,0.057638397570154015,2.5470921376615605,0.006099390060993901,0.9974002599740026
20170706_01_02_02,visible,0.2,P3,60.0,180.0,119.6,164,131,1,jitter,0.35,93.0,0.6305084745762712,0.5440020338983051,0.03009843228820794,2.874117822802946,0.0022997700229977,0.9991000899910009
20170706_01_02_02,visible,0.2,P3,60.0,180.0,119.6,164,131,1,jitter,0.5,93.0,0.6305084745762712,0.506749152542373,0.0297294533725214,4.162852255746069,9.999000099990002e-05,1.0
