pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,jitter,0.35,4.0,0.3076923076923077,0.4044692307692307,0.1144605510860033,-0.8455046053745348,0.8837116288371163,0.3041695830416958
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,jitter,0.2,4.0,0.3076923076923077,0.4130230769230769,0.1112044468974369,-0.9471812698993504,0.9071092890710928,0.2740725927407259
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,jitter,0.5,4.0,0.3076923076923077,0.3560769230769231,0.1105169514037722,-0.4378026607686893,0.7861213878612139,0.4670532946705329
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,isi,,4.0,0.3076923076923077,0.3716307692307692,0.1076456599586031,-0.5939715689703616,0.8254174582541746,0.4085591440855914
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,circ,,4.0,0.3076923076923077,0.372,0.1345694436113578,-0.4778773738072038,0.7895210478952105,0.4134586541345865
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,jitter,0.35,20.0,0.404040404040404,0.3639717171717171,0.0593196355070018,0.6754708879483481,0.3057694230576942,0.8017198280171983
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,jitter,0.2,20.0,0.404040404040404,0.3786484848484848,0.0588026279702144,0.4318160610913694,0.3986601339866013,0.7295270472952705
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,jitter,0.5,20.0,0.404040404040404,0.3426969696969697,0.056818190853877,1.07964427275052,0.1833816618338166,0.895010498950105
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,isi,,20.0,0.404040404040404,0.3611717171717172,0.0611578666226197,0.7009513123342243,0.292970702929707,0.8086191380861913
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,circ,,20.0,0.404040404040404,0.3622464646464646,0.0622268637306406,0.6716382103853317,0.2958704129587041,0.7936206379362064
