pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left,STR,Max_episode
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,4.0,0.3076923076923077,0.3716307692307692,0.1076456599586031,-0.5939715689703616,0.8254174582541746,0.4085591440855914,,
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,20.0,0.404040404040404,0.3611717171717172,0.0611578666226197,0.7009513123342243,0.292970702929707,0.8086191380861913,,
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,54.0,0.3956043956043956,0.3431956043956044,0.0404467223573702,1.2957487814643935,0.1143885611438856,0.9177082291770824,,
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,5.0,0.2941176470588235,0.4111235294117646,0.0914894645230644,-1.2789000674874869,0.9505049495050496,0.1708829117088291,,
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,13.0,0.2708333333333333,0.341475,0.0645774062589998,-1.0939068438788782,0.8956104389561044,0.1800819918008199,,
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,41.0,0.2733333333333333,0.372648,0.0418035427081441,-2.375747609719171,0.9946005399460054,0.008999100089991,,
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,9.0,0.4864864864864865,0.3598810810810811,0.1049439112443268,1.2064102043104437,0.1732826717328267,0.9285071492850716,,
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,17.0,0.3333333333333333,0.3509627450980392,0.0665196478593365,-0.2650256327571871,0.659034096590341,0.4547545245475452,,
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.7,144,150,1,52.0,0.3537414965986394,0.3640802721088436,0.0417583891494042,-0.247585592279764,0.6180381961803819,0.4407559244075592,,
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,14.0,0.6222222222222222,0.3923377777777778,0.0927315368077664,2.4790319707630593,0.00999900009999,0.998100189981002,,
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,23.0,0.4181818181818181,0.4317327272727272,0.063663510976719,-0.2128520542303191,0.6380361963803619,0.468953104689531,,
20170705_03_04_01,invisible,0.1,P3,60.0,180.0,119.8,160,153,1,68.0,0.4345047923322683,0.3878760383386581,0.0377241696406814,1.2360445422058064,0.120987901209879,0.9062093790620938,,
20170705_03_04_02,invisible,0.1,P1,0.0,20.0,16.2,30,26,1,18.0,0.6428571428571429,0.5103142857142857,0.0853426883798194,1.553066345332038,0.0905909409059094,0.966003399660034,,
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,26.0,0.4333333333333333,0.445135,0.0566991370578353,-0.2081454371100664,0.6405359464053595,0.4743525647435256,,
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,74.0,0.4289855072463768,0.4334915942028985,0.036721751508807,-0.1227089332991378,0.5769423057694231,0.4866513348665133,,
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,19.0,0.6229508196721312,0.586767213114754,0.0946349023388159,0.3823494890693822,0.4300569943005699,0.7044295570442956,,
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,34.0,0.5714285714285714,0.4427764705882353,0.0683620370480228,1.8819231608028413,0.0392960703929607,0.9786021397860214,,
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,118.8,181,181,1,89.0,0.4917127071823204,0.4548154696132597,0.0382570928214667,0.9644548199532056,0.1866813318668133,0.8505149485051495,,
20170707_01_02_01,invisible,0.1,P1,0.0,20.0,16.1,27,28,1,20.0,0.7272727272727273,0.5170727272727274,0.1239028184263049,1.6964908681639304,0.058994100589941,0.9737026297370264,,
20170707_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,64,59,1,24.0,0.3902439024390244,0.4678926829268293,0.0633292561535027,-1.226112308971279,0.907909209079092,0.1406859314068593,,
20170707_01_02_01,invisible,0.1,P3,60.0,180.0,118.7,152,158,1,61.0,0.3935483870967742,0.3876574193548387,0.0374901028202086,0.1571339446623236,0.4698530146985301,0.5932406759324068,,
20170707_01_02_02,invisible,0.1,P1,0.0,20.0,14.7,29,15,1,9.0,0.4090909090909091,0.4106272727272728,0.0724128337664036,-0.0212167312954471,0.6351364863513649,0.6109389061093891,,
20170707_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,70,63,1,28.0,0.4210526315789473,0.4872992481203008,0.0557735146552514,-1.1877791268999012,0.906009399060094,0.1445855414458554,,
20170707_01_02_02,invisible,0.1,P3,60.0,180.0,114.2,139,175,1,66.0,0.4203821656050955,0.4120439490445859,0.0380960597714572,0.2188734638314705,0.4480551944805519,0.6179382061793821,,
20170707_01_02_03,invisible,0.1,P1,0.0,20.0,16.3,29,31,1,14.0,0.4666666666666667,0.51791,0.086213415157231,-0.5943777223054979,0.7796220377962204,0.3394660533946605,,
20170707_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,60,66,1,23.0,0.365079365079365,0.4776904761904761,0.0614198899092797,-1.833463252334762,0.9751024897510248,0.0451954804519548,,
20170707_01_02_03,invisible,0.1,P3,60.0,180.0,119.6,168,192,1,74.0,0.4111111111111111,0.4535705555555556,0.0349847419344036,-1.2136560710968212,0.9025097490250976,0.1263873612638736,,
20170707_03_04_01,invisible,0.1,P1,0.0,20.0,15.5,28,24,1,11.0,0.4230769230769231,0.4772576923076924,0.096706844568869,-0.5602578542637162,0.7704229577042295,0.354964503549645,,
20170707_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,59,49,1,24.0,0.4444444444444444,0.3715185185185185,0.0617010418221483,1.1819237369789153,0.1497850214978502,0.9092090790920908,,
20170707_03_04_01,invisible,0.1,P3,60.0,180.0,119.9,178,131,1,60.0,0.3883495145631068,0.3847242718446602,0.0368461794860226,0.0983885648123116,0.4917508249175082,0.5796420357964204,,
20170707_03_04_02,invisible,0.1,P1,0.0,20.0,14.4,23,16,1,6.0,0.3076923076923077,0.3924153846153846,0.0899203102131858,-0.9422017864730756,0.892010798920108,0.261973802619738,,
20170707_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,64,53,1,24.0,0.4102564102564102,0.4513794871794871,0.0656765921903734,-0.6261451081973846,0.7735226477352265,0.3106689331066893,,
20170707_03_04_02,invisible,0.1,P3,60.0,180.0,119.7,178,127,1,45.0,0.2950819672131147,0.3757737704918033,0.0356223862784994,-2.2651992667709493,0.9916008399160084,0.0134986501349865,,
20170707_03_04_03,invisible,0.1,P1,0.0,20.0,14.9,26,22,1,10.0,0.4166666666666667,0.4850958333333333,0.0909252871017378,-0.7525867538927873,0.8412158784121588,0.2988701129887011,,
20170707_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,66,50,1,27.0,0.4655172413793103,0.4209258620689656,0.0601666583726327,0.7411310602323136,0.2742725727427257,0.8132186781321867,,
20170707_03_04_03,invisible,0.1,P3,60.0,180.0,119.5,181,138,1,53.0,0.3322884012539185,0.3996426332288402,0.037413822447972,-1.8002499495630242,0.969003099690031,0.0453954604539546,,
20170707_05_06_01,invisible,0.1,P1,0.0,20.0,5.4,6,3,0,0.0,0.0,0.0,0.0,,1.0,1.0,,
20170707_05_06_01,invisible,0.1,P2,20.0,60.0,40.0,46,38,1,15.0,0.3571428571428571,0.2832738095238095,0.064769492567465,1.1404913747333192,0.1706829317068293,0.9053094690530948,,
20170707_05_06_01,invisible,0.1,P3,60.0,180.0,119.4,129,119,1,38.0,0.3064516129032258,0.3143516129032258,0.0399331483041262,-0.1978306328325162,0.6154384561543845,0.4662533746625337,,
20170707_05_06_02,invisible,0.1,P1,0.0,20.0,8.9,14,8,1,3.0,0.2727272727272727,0.3130363636363636,0.0784704475137878,-0.5136849882499819,0.8766123387661234,0.545945405459454,,
20170707_05_06_02,invisible,0.1,P2,20.0,60.0,40.0,47,45,1,13.0,0.2826086956521739,0.3341434782608696,0.0613654200314505,-0.8398016762907102,0.847015298470153,0.2515748425157484,,
20170707_05_06_02,invisible,0.1,P3,60.0,180.0,119.3,138,122,1,39.0,0.3,0.3269453846153846,0.0372281736407545,-0.7237901293628566,0.7943205679432057,0.2696730326967303,,
20170707_05_06_03,invisible,0.1,P1,0.0,20.0,8.7,14,11,1,7.0,0.56,0.4135279999999999,0.1105128704063583,1.325384088400014,0.1644835516448355,0.9564043595640436,,
20170707_05_06_03,invisible,0.1,P2,20.0,60.0,40.0,51,45,1,12.0,0.25,0.3655166666666666,0.063348125848401,-1.823521455758781,0.9806019398060194,0.0444955504449555,,
20170707_05_06_03,invisible,0.1,P3,60.0,180.0,118.1,124,129,1,30.0,0.2371541501976284,0.3183802371541502,0.0386801368818605,-2.099943110455063,0.9868013198680132,0.0225977402259774,,
20170707_07_08_01,invisible,0.1,P1,0.0,20.0,11.1,10,16,1,3.0,0.2307692307692307,0.276776923076923,0.1003233377560357,-0.4585941151556662,0.7998200179982001,0.4775522447755224,,
20170707_07_08_01,invisible,0.1,P2,20.0,60.0,40.0,50,54,1,21.0,0.4038461538461538,0.408775,0.0670732918275416,-0.0734844827136135,0.5775422457754225,0.5336466353364664,,
20170707_07_08_01,invisible,0.1,P3,60.0,180.0,118.2,144,177,1,72.0,0.4485981308411215,0.4037532710280373,0.0386467660771713,1.160378069500983,0.1427857214278572,0.8903109689031097,,
20170707_07_08_02,invisible,0.1,P1,0.0,20.0,11.0,12,21,1,6.0,0.3636363636363636,0.3852242424242424,0.098830395735342,-0.2184335965393577,0.6999300069993001,0.5329467053294671,,
20170707_07_08_02,invisible,0.1,P2,20.0,60.0,40.0,52,65,1,19.0,0.3247863247863248,0.4228188034188033,0.0565941527289623,-1.732201542126982,0.96990300969903,0.0570942905709429,,
20170707_07_08_02,invisible,0.1,P3,60.0,180.0,119.6,150,201,1,70.0,0.3988603988603988,0.4362780626780626,0.036350868312732,-1.0293471808088297,0.8641135886411359,0.1710828917108289,,
20170707_07_08_03,invisible,0.1,P2,20.0,60.0,40.0,47,73,1,26.0,0.4333333333333333,0.422265,0.0569991247351888,0.1941842683507063,0.4838516148385161,0.6336366363363664,,
20170707_07_08_03,invisible,0.1,P3,60.0,180.0,119.4,140,202,1,81.0,0.4736842105263157,0.4095894736842105,0.0350930878259983,1.826420552101468,0.0404959504049595,0.9712028797120288,,
20170707_09_10_01,invisible,0.1,P1,0.0,20.0,14.6,18,23,1,11.0,0.5365853658536586,0.3768536585365853,0.098584366413618,1.6202539320170402,0.0830916908309169,0.9712028797120288,,
20170707_09_10_01,invisible,0.1,P2,20.0,60.0,40.0,50,50,1,19.0,0.38,0.396158,0.0630377379959113,-0.256322649157367,0.6566343365663434,0.4728527147285271,,
20170707_09_10_01,invisible,0.1,P3,60.0,180.0,119.5,145,150,1,54.0,0.3661016949152542,0.3642183050847458,0.0387549374961011,0.0485974162827104,0.5181481851814819,0.5574442555744425,,
20170707_09_10_02,invisible,0.1,P1,0.0,20.0,14.3,24,21,1,8.0,0.3555555555555555,0.4206666666666666,0.1139047193176352,-0.5716278614369077,0.769023097690231,0.362963703629637,,
20170707_09_10_02,invisible,0.1,P2,20.0,60.0,40.0,55,59,1,26.0,0.4561403508771929,0.4333421052631578,0.0721735113884739,0.3158810646100284,0.4188581141885811,0.6691330866913309,,
20170707_09_10_02,invisible,0.1,P3,60.0,180.0,119.5,172,167,1,68.0,0.4011799410029498,0.4192277286135693,0.038710478446062,-0.46622486559464,0.7083291670832916,0.3476652334766523,,
20170707_09_10_03,invisible,0.1,P1,0.0,20.0,15.6,23,25,1,10.0,0.4166666666666667,0.44835,0.102969812191082,-0.3076953590489053,0.6905309469053095,0.4533546645335466,,
20170707_09_10_03,invisible,0.1,P2,20.0,60.0,40.0,57,60,1,32.0,0.5470085470085471,0.4585863247863248,0.0647014923039546,1.3666179723773966,0.1110888911108889,0.9343065693430656,,
