pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left,STR,Max_episode
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,4.0,0.3076923076923077,0.3560769230769231,0.1105169514037722,-0.4378026607686893,0.7861213878612139,0.4670532946705329,,
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,20.0,0.404040404040404,0.3426969696969697,0.056818190853877,1.07964427275052,0.1833816618338166,0.895010498950105,,
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,54.0,0.3956043956043956,0.3223765567765568,0.0340892793729147,2.148119296590972,0.020997900209979,0.9873012698730128,,
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,5.0,0.2941176470588235,0.3742588235294117,0.0990569689462674,-0.8090412751682324,0.8695130486951305,0.3005699430056994,,
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,13.0,0.2708333333333333,0.33915,0.0571889264397464,-1.194578582247811,0.9176082391760824,0.1546845315468453,,
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,41.0,0.2733333333333333,0.3519093333333333,0.032588999259439,-2.411120371462201,0.9948005199480052,0.0104989501049895,,
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,9.0,0.4864864864864865,0.341254054054054,0.0925856031341304,1.5686286800122855,0.0996900309969003,0.9694030596940306,,
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,17.0,0.3333333333333333,0.3395235294117647,0.0547652836941539,-0.1130313888813506,0.6175382461753824,0.525947405259474,,
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.7,144,150,1,52.0,0.3537414965986394,0.3317952380952381,0.0327487941310218,0.6701394382827806,0.2841715828417158,0.7808219178082192,,
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,14.0,0.6222222222222222,0.3482488888888889,0.0866809448671664,3.160710047094914,0.0020997900209979,0.9994000599940006,,
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,23.0,0.4181818181818181,0.3425690909090909,0.0513780762366519,1.4716924573907433,0.0977902209779022,0.9506049395060494,,
20170705_03_04_01,invisible,0.1,P3,60.0,180.0,119.8,160,153,1,68.0,0.4345047923322683,0.3566651757188498,0.0303779084684707,2.5623757703466716,0.0075992400759924,0.9962003799620038,,
20170705_03_04_02,invisible,0.1,P1,0.0,20.0,16.2,30,26,1,18.0,0.6428571428571429,0.431025,0.0723475761291904,2.9279784367464634,0.0020997900209979,0.9996000399960004,,
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,26.0,0.4333333333333333,0.4044316666666666,0.0490738223847377,0.5889426431892392,0.3390660933906609,0.7786221377862214,,
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,74.0,0.4289855072463768,0.3669542028985507,0.0289225571462945,2.1447378955485368,0.0193980601939806,0.9888011198880112,,
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,19.0,0.6229508196721312,0.4787672131147541,0.0701116054069535,2.056487021235392,0.0308969103089691,0.9904009599040096,,
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,34.0,0.5714285714285714,0.3896554621848739,0.049710793007633,3.656612543191304,0.0004999500049995,0.9998000199980002,,
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,118.8,181,181,1,89.0,0.4917127071823204,0.4016104972375691,0.0292760004971417,3.077681664664135,0.0013998600139986,0.9992000799920008,,
20170707_01_02_01,invisible,0.1,P1,0.0,20.0,16.1,27,28,1,20.0,0.7272727272727273,0.4298327272727272,0.0715960338081443,4.154420073003614,9.999000099990002e-05,1.0,,
