pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean_shiftA,null_sd_shiftA,null_skew_shiftA,z_S_shiftA,p_right_shiftA,p_left_shiftA,null_mean_shiftB,null_sd_shiftB,null_skew_shiftB,z_S_shiftB,p_right_shiftB,p_left_shiftB,ks_AB,null_mean_shiftA_ref,null_sd_shiftA_ref,null_skew_shiftA_ref,z_S_shiftA_ref,p_right_shiftA_ref,p_left_shiftA_ref
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,4.0,0.3076923076923077,0.3597461538461539,0.12965272678520087,-0.29114101405947435,-0.4014867056370142,0.7764223577642235,0.44645535446455353,0.37303846153846154,0.1312872329629936,-0.3166982767985411,-0.4977342607607031,0.7992200779922007,0.40775922407759224,0.03959999999999997,0.35920769230769234,0.13072602723135038,-0.27504290989436203,-0.394071369767981,0.7659234076592341,0.4477552244775522
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,20.0,0.40404040404040403,0.36258989898989896,0.06248100883130315,0.2397156074516546,0.6634096636054676,0.29287071292870714,0.7961203879612039,0.3619838383838384,0.06239861782025649,0.14168059371915498,0.6739983532602029,0.2960703929607039,0.7951204879512048,0.00470000000000001,0.3623393939393939,0.06154825388782003,0.17629725592848527,0.6775336011483905,0.29057094290570945,0.7972202779722027
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,54.0,0.3956043956043956,0.3403809523809524,0.039361624119203666,0.014406709754673643,1.4029767434444071,0.09099090090990901,0.934006599340066,0.3408871794871795,0.04017127090174007,-0.0034714281225624553,1.362098208220889,0.10078992100789921,0.9246075392460754,0.013000000000000012,0.33984395604395606,0.03934065661189202,-0.03192457851224021,1.4173743999886388,0.09009099090090991,0.9376062393760624
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,5.0,0.29411764705882354,0.37885882352941175,0.10153782251577302,-0.020603273457818393,-0.8345774448474548,0.8285171482851715,0.26677332266773324,0.3732823529411765,0.10355167296136747,-0.015303636339041452,-0.7644947070231046,0.8297170282971703,0.29947005299470053,0.03270000000000001,0.3795588235294118,0.1012660361774096,-0.008801459764673652,-0.8437298396957343,0.8346165383461653,0.25777422257774224
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,13.0,0.2708333333333333,0.35546875,0.061626073199170475,-0.030987667355011326,-1.3733702680216517,0.946905309469053,0.11258874112588742,0.354575,0.06234742296735787,0.005755831053242361,-1.3431455973811426,0.9455054494550545,0.11458854114588542,0.009199999999999986,0.3548125,0.06179153570968081,0.002971893783760144,-1.3590723341337791,0.9492050794920508,0.11388861113888611
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,41.0,0.2733333333333333,0.37599333333333335,0.041274922245415326,0.10062280303401151,-2.4872245522256105,0.9962003799620038,0.006799320067993201,0.374838,0.041990118754384353,0.101695279936166,-2.4173465014568025,0.996000399960004,0.008099190080991902,0.020699999999999996,0.3763026666666667,0.04108755813935037,0.10282118731248399,-2.5060952267863685,0.996000399960004,0.006299370062993701
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,9.0,0.4864864864864865,0.38982162162162165,0.10212697912705021,0.0013290118952312387,0.9465164415037651,0.24327567243275672,0.8892110788921108,0.38138378378378385,0.09951595905150838,0.030124580701056856,1.056139173097881,0.19868013198680132,0.9134086591340866,0.04459999999999997,0.389745945945946,0.10034299849283844,0.01331078865472307,0.9640985618687181,0.23357664233576642,0.893010698930107
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,17.0,0.3333333333333333,0.3755549019607843,0.07510665577106013,0.06492191515643597,-0.5621548209542256,0.7359264073592641,0.3447655234476552,0.3762725490196078,0.07569167958658042,0.033077172654612116,-0.5672910935627767,0.7390260973902609,0.34426557344265574,0.012800000000000034,0.3752921568627451,0.07526501022892441,0.04531329185843689,-0.5574811376732791,0.7383261673832616,0.34306569343065696
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.69999999999999,144,150,1,52.0,0.35374149659863946,0.36745782312925174,0.03711432140685179,-0.002378270871245258,-0.3695696434875424,0.6655334466553344,0.39886011398860116,0.36804285714285717,0.03749704848847218,-0.007585267210317167,-0.3813996333235246,0.672932706729327,0.3912608739126087,0.0116,0.36718639455782315,0.037009555495033084,0.004971785690363588,-0.36328180058763687,0.6648335166483351,0.4016598340165983
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,14.0,0.6222222222222222,0.38380888888888887,0.08375084275600779,0.147440448527293,2.846697722528064,0.0066993300669933005,0.9934006599340066,0.3879644444444444,0.08816663108409122,0.23445554519908382,2.65698910004113,0.0198980101989801,0.9922007799220078,0.030700000000000005,0.3823155555555555,0.08418597148246322,0.13690946817572558,2.8497226134242766,0.0065993400659934,0.9935006499350065
