pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean_shiftA,null_sd_shiftA,null_skew_shiftA,z_S_shiftA,p_right_shiftA,p_left_shiftA,null_mean_shiftB,null_sd_shiftB,null_skew_shiftB,z_S_shiftB,p_right_shiftB,p_left_shiftB,ks_AB,null_mean_shiftA_ref,null_sd_shiftA_ref,null_skew_shiftA_ref,z_S_shiftA_ref,p_right_shiftA_ref,p_left_shiftA_ref
20170706_01_02_01,visible,0.1,P1,0.0,20.0,15.7,25,16,1,6.0,0.2926829268292683,0.35726341463414635,0.09459849550360022,0.0957282259759803,-0.6826798614616474,0.7841215878412159,0.38076192380761925,0.3731512195121951,0.09935227062670768,-0.010109749297333565,-0.8099290753531656,0.8352164783521648,0.3294670532946705,0.07920000000000005,0.3566,0.09292365128268888,0.0664975428969674,-0.6878450457815691,0.793020697930207,0.37466253374662534
20170706_01_02_01,visible,0.1,P2,20.0,60.0,40.0,62,39,1,22.0,0.43564356435643564,0.35852277227722773,0.07068825775154519,-0.016693438895430165,1.0909986259708333,0.1700829917008299,0.8764123587641236,0.35926138613861386,0.07045889263623971,0.011118704016708787,1.08406725340068,0.17018298170182983,0.8742125787421258,0.0067000000000000115,0.3586217821782178,0.07014057750226474,0.01579833012589487,1.0981059027597961,0.1688831116888311,0.8777122287771223
20170706_01_02_01,visible,0.1,P3,60.0,180.0,119.69999999999999,165,126,1,45.0,0.30927835051546393,0.3572914089347079,0.038589001958572226,-0.0014621643365057128,-1.2442161233086326,0.9145085491450855,0.10968903109689031,0.35728178694158075,0.03808858252738257,0.027173522174013115,-1.260310393320788,0.9166083391660834,0.1166883311668833,0.01189999999999991,0.35686735395189007,0.03819299237937395,-0.009340861265729868,-1.2460140060176714,0.9143085691430857,0.11548845115488451
20170706_01_02_02,visible,0.1,P1,0.0,20.0,15.0,24,21,1,11.0,0.4888888888888889,0.4324666666666666,0.08957376090217777,-0.1103177173899329,0.6298967650118004,0.37976202379762025,0.775922407759224,0.44063111111111103,0.08671587254885642,-0.043310282989351814,0.5565045516965654,0.38536146385361464,0.7525247475252475,0.04820000000000002,0.4343155555555555,0.08900839373670552,-0.0625635445367132,0.6131256957042274,0.37796220377962203,0.7689231076892311
20170706_01_02_02,visible,0.1,P2,20.0,60.0,40.0,57,40,1,23.0,0.4742268041237113,0.35183917525773195,0.06650856999537191,0.08012907238216267,1.8401783240038971,0.04889511048895111,0.9763023697630236,0.3480309278350515,0.06717043850656136,0.09873386708252413,1.8787412899847706,0.053894610538946106,0.978002199780022,0.028200000000000003,0.3522082474226804,0.06764217826479382,0.11331511273560949,1.8038827227499077,0.05649435056494351,0.9732026797320268
20170706_01_02_02,visible,0.1,P3,60.0,180.0,119.6,164,131,1,51.0,0.34576271186440677,0.36491932203389826,0.04246325687943977,0.060765702063248925,-0.45113379371441736,0.6856314368563143,0.35896410358964104,0.3645166101694915,0.042305862369616656,0.08297061305763606,-0.4432931337325357,0.6839316068393161,0.36476352364763526,0.011399999999999966,0.3658738983050847,0.04231060688458616,0.054504398736812634,-0.4753225708989886,0.6945305469453055,0.3561643835616438
20170706_01_02_03,visible,0.1,P1,0.0,20.0,15.0,22,18,1,3.0,0.15,0.38248999999999994,0.11964460448820212,0.15467222274755546,-1.9431716206051335,0.9924007599240076,0.031796820317968204,0.398135,0.12062639366110871,-0.01986284295742498,-2.0570539536904144,1.0,0.035596440355964404,0.07220000000000004,0.3822,0.12061971195244645,0.13213176093959603,-1.9250584853953503,0.9922007799220078,0.035096490350964904
20170706_01_02_03,visible,0.1,P2,20.0,60.0,40.0,60,42,1,22.0,0.43137254901960786,0.37039607843137257,0.06260635222441885,0.0530569123574491,0.9739661938721318,0.20577942205779423,0.8703129687031297,0.36795098039215685,0.062395232797313294,0.06231008417491337,1.0164489462435649,0.19508049195080493,0.8715128487151285,0.020500000000000018,0.3707294117647059,0.06208844765503637,0.1062298127935313,0.9767217501045513,0.2054794520547945,0.8708129187081292
20170706_01_02_03,visible,0.1,P3,60.0,180.0,119.5,151,107,1,39.0,0.3023255813953488,0.3146093023255814,0.04142197708553223,0.08474863466725588,-0.29655081177964787,0.6568343165683431,0.4236576342365763,0.3144720930232558,0.04220407955874776,0.088755116858719,-0.28780420648670046,0.6504349565043496,0.42525747425257476,0.012800000000000034,0.3147449612403101,0.04183841546670489,0.12908246981059687,-0.2968415439835347,0.6507349265073493,0.43095690430956907
20170706_03_04_01,visible,0.1,P1,0.0,20.0,14.1,19,18,1,6.0,0.32432432432432434,0.378172972972973,0.17276344641436817,0.050272008857460644,-0.31169005808956946,0.6240375962403759,0.43085691430856915,0.3775837837837838,0.1718654989042673,0.06442846374783355,-0.3098903491335752,0.6256374362563744,0.43515648435156484,0.009000000000000008,0.3784918918918919,0.169396105901876,0.0353823764797421,-0.319768670473125,0.630936906309369,0.4263573642635736
