file,condition
20170706_01_02_01,visible
20170706_01_02_02,visible
20170706_01_02_03,visible
20170706_03_04_01,visible
20170706_03_04_02,visible
20170706_03_04_03,visible
20170706_05_06_01,visible
20170706_05_06_02,visible
20170706_05_06_03,visible
20170706_11_12_01,visible
20170706_11_12_02,visible
20170706_11_12_03,visible
20170710_01_02_01,visible
20170710_01_02_02,visible
20170710_01_02_03,visible
20170710_07_08_01,visible
20170710_07_08_02,visible
20170710_07_08_03,visible
20170714_01_02_01,visible
20170714_01_02_02,visible
20170714_01_02_03,visible
20170714_03_04_01,visible
20170714_03_04_02,visible
20170714_03_04_03,visible
20170714_05_06_01,visible
20170714_05_06_02,visible
20170714_05_06_03,visible
20170714_07_08_01,visible
20170714_07_08_02,visible
20170714_07_08_03,visible
20170705_01_02_01,invisible
20170705_01_02_02,invisible
20170705_01_02_03,invisible
20170705_03_04_01,invisible
20170705_03_04_02,invisible
20170705_03_04_03,invisible
20170707_01_02_01,invisible
20170707_01_02_02,invisible
20170707_01_02_03,invisible
20170707_03_04_01,invisible
20170707_03_04_02,invisible
20170707_03_04_03,invisible
20170707_05_06_01,invisible
20170707_05_06_02,invisible
20170707_05_06_03,invisible
20170707_07_08_01,invisible
20170707_07_08_02,invisible
20170707_07_08_03,invisible
20170707_09_10_01,invisible
20170707_09_10_02,invisible
20170707_09_10_03,invisible
20170707_11_12_01,invisible
20170707_11_12_02,invisible
20170707_11_12_03,invisible
20170710_13_14_01,invisible
20170710_13_14_02,invisible
20170710_13_14_03,invisible
20170710_15_16_01,invisible
20170710_15_16_02,invisible
20170710_15_16_03,invisible
20170706_07_01,solo
20170706_07_02,solo
20170706_07_03,solo
20170710_03_01,solo
20170710_03_02,solo
20170710_03_03,solo
20170710_05_01,solo
20170710_05_02,solo
20170710_05_03,solo
20170710_11_01,solo
20170710_11_02,solo
20170710_11_03,solo
20170714_09_01,solo
20170714_09_02,solo
20170714_09_03,solo
20170714_10_01,solo
20170714_10_02,solo
20170714_10_03,solo
20170724_01_01,solo
20170724_01_02,solo
20170724_01_03,solo
20170724_02_01,solo
20170724_02_02,solo
20170724_02_03,solo
20170724_03_01,solo
20170724_03_02,solo
20170724_03_03,solo
20170724_04_01,solo
20170724_04_02,solo
20170724_04_03,solo
20170724_05_01,solo
20170724_05_02,solo
20170724_05_03,solo
20170724_06_01,solo
20170724_06_02,solo
20170724_06_03,solo
20170724_07_01,solo
20170724_07_02,solo
20170724_07_03,solo
20170725_01_01,solo
20170725_01_02,solo
20170725_01_03,solo
20170725_02_01,solo
20170725_02_02,solo
20170725_02_03,solo
20170725_04_01,solo
20170725_04_02,solo
20170725_04_03,solo
20170725_05_01,solo
20170725_05_02,solo
20170725_05_03,solo
20170725_06_01,solo
20170725_06_02,solo
20170725_06_03,solo
20170725_07_01,solo
20170725_07_02,solo
20170725_07_03,solo
