label,condition,tolerance,n_events_a,n_events_b,n_matched,precision,recall,f1,median_abs_dt,p95_abs_dt,mean_dt_signed,median_dt_signed,offset_applied
20170705_03_04_01_A,invisible,0.05,231,210,40,0.19047619047619047,0.17316017316017315,0.18140589569160998,0.0,0.0,0.0,0.0,0.0
20170705_03_04_01_A,invisible,0.1,231,210,98,0.4666666666666667,0.42424242424242425,0.4444444444444445,0.09999999999999432,0.10000000000000853,0.014285714285714226,0.0,0.0
20170705_03_04_01_A,invisible,0.15,231,210,98,0.4666666666666667,0.42424242424242425,0.4444444444444445,0.09999999999999432,0.10000000000000853,0.014285714285714226,0.0,0.0
20170705_03_04_01_A,invisible,0.2,231,210,168,0.8,0.7272727272727273,0.761904761904762,0.10000000000000853,0.20000000000001705,0.03452380952381025,0.0,0.0
20170705_03_04_01_A,invisible,0.3,231,210,178,0.8476190476190476,0.7705627705627706,0.8072562358276644,0.10000000000001563,0.30000000000000426,0.023595505617978022,0.0,0.0
20170705_03_04_01_A,invisible,0.5,231,210,194,0.9238095238095239,0.8398268398268398,0.8798185941043084,0.20000000000001705,0.5,-0.02577319587628834,0.0,0.0
20170705_03_04_01_B,invisible,0.05,238,199,31,0.15577889447236182,0.13025210084033614,0.14187643020594967,0.0,0.0,0.0,0.0,0.09999999999999432
20170705_03_04_01_B,invisible,0.1,238,199,111,0.5577889447236181,0.46638655462184875,0.5080091533180778,0.09999999999999432,0.10000000000001563,0.012612612612612775,0.0,0.09999999999999432
20170705_03_04_01_B,invisible,0.15,238,199,111,0.5577889447236181,0.46638655462184875,0.5080091533180778,0.09999999999999432,0.10000000000001563,0.012612612612612775,0.0,0.09999999999999432
20170705_03_04_01_B,invisible,0.2,238,199,152,0.7638190954773869,0.6386554621848739,0.6956521739130435,0.09999999999999964,0.20000000000000284,0.018421052631578977,0.0,0.09999999999999432
20170705_03_04_01_B,invisible,0.3,238,199,181,0.9095477386934674,0.7605042016806722,0.8283752860411899,0.10000000000000142,0.30000000000000426,0.03149171270718237,0.0,0.09999999999999432
20170705_03_04_01_B,invisible,0.5,238,199,191,0.9597989949748744,0.8025210084033614,0.874141876430206,0.20000000000000284,0.5,0.06596858638743458,0.09999999999999432,0.09999999999999432
20170706_01_02_03_A,visible,0.05,236,226,25,0.11061946902654868,0.1059322033898305,0.10822510822510822,0.0,0.0,0.0,0.0,0.19999999999998863
20170706_01_02_03_A,visible,0.1,236,226,74,0.3274336283185841,0.3135593220338983,0.3203463203463204,0.09999999999999432,0.1000000000000039,0.031081081081080375,0.0,0.19999999999998863
20170706_01_02_03_A,visible,0.15,236,226,74,0.3274336283185841,0.3135593220338983,0.3203463203463204,0.09999999999999432,0.1000000000000039,0.031081081081080375,0.0,0.19999999999998863
20170706_01_02_03_A,visible,0.2,236,226,130,0.5752212389380531,0.5508474576271186,0.5627705627705627,0.10000000000000142,0.20000000000001705,0.05153846153846228,0.09999999999999432,0.19999999999998863
20170706_01_02_03_A,visible,0.3,236,226,188,0.831858407079646,0.7966101694915254,0.8138528138528137,0.20000000000000284,0.30000000000001137,0.08882978723404315,0.10000000000000142,0.19999999999998863
20170706_01_02_03_A,visible,0.5,236,226,214,0.9469026548672567,0.9067796610169492,0.9264069264069263,0.20000000000001705,0.5,0.10373831775700984,0.19999999999998863,0.19999999999998863
20170706_01_02_03_B,visible,0.05,168,174,32,0.1839080459770115,0.19047619047619047,0.18713450292397657,0.0,0.0,0.0,0.0,0.0
20170706_01_02_03_B,visible,0.1,168,174,91,0.5229885057471264,0.5416666666666666,0.5321637426900584,0.09999999999999432,0.10000000000000853,-0.009890109890110157,0.0,0.0
20170706_01_02_03_B,visible,0.15,168,174,91,0.5229885057471264,0.5416666666666666,0.5321637426900584,0.09999999999999432,0.10000000000000853,-0.009890109890110157,0.0,0.0
20170706_01_02_03_B,visible,0.2,168,174,127,0.7298850574712644,0.7559523809523809,0.7426900584795321,0.10000000000000053,0.20000000000000284,0.00551181102362158,0.0,0.0
20170706_01_02_03_B,visible,0.3,168,174,143,0.8218390804597702,0.8511904761904762,0.8362573099415205,0.10000000000000142,0.29999999999999716,0.0062937062937061476,0.0,0.0
20170706_01_02_03_B,visible,0.5,168,174,157,0.9022988505747126,0.9345238095238095,0.9181286549707602,0.10000000000000853,0.5,-0.031210191082802707,0.0,0.0
20170706_03_04_03_A,visible,0.05,232,152,18,0.11842105263157894,0.07758620689655173,0.09375,0.0,0.0,0.0,0.0,0.19999999999998863
20170706_03_04_03_A,visible,0.1,232,152,67,0.4407894736842105,0.28879310344827586,0.3489583333333333,0.09999999999999432,0.10000000000001848,0.013432835820895913,0.0,0.19999999999998863
20170706_03_04_03_A,visible,0.15,232,152,67,0.4407894736842105,0.28879310344827586,0.3489583333333333,0.09999999999999432,0.10000000000001848,0.013432835820895913,0.0,0.19999999999998863
20170706_03_04_03_A,visible,0.2,232,152,111,0.7302631578947368,0.47844827586206895,0.5781250000000001,0.10000000000000142,0.20000000000000284,0.05045045045045049,0.09999999999999432,0.19999999999998863
20170706_03_04_03_A,visible,0.3,232,152,141,0.9276315789473685,0.6077586206896551,0.734375,0.19999999999998863,0.30000000000001137,0.08510638297872376,0.10000000000000142,0.19999999999998863
20170706_03_04_03_A,visible,0.5,232,152,151,0.993421052631579,0.6508620689655172,0.7864583333333334,0.20000000000000284,0.5,0.1397350993377491,0.19999999999998863,0.19999999999998863
20170706_03_04_03_B,visible,0.05,260,216,23,0.10648148148148148,0.08846153846153847,0.09663865546218489,0.0,0.0,0.0,0.0,0.10000000000000142
20170706_03_04_03_B,visible,0.1,260,216,86,0.39814814814814814,0.33076923076923076,0.3613445378151261,0.09999999999999432,0.10000000000000853,0.010465116279068605,0.0,0.10000000000000142
20170706_03_04_03_B,visible,0.15,260,216,86,0.39814814814814814,0.33076923076923076,0.3613445378151261,0.09999999999999432,0.10000000000000853,0.010465116279068605,0.0,0.10000000000000142
20170706_03_04_03_B,visible,0.2,260,216,165,0.7638888888888888,0.6346153846153846,0.6932773109243697,0.10000000000002274,0.20000000000001422,0.016363636363635956,0.0,0.10000000000000142
20170706_03_04_03_B,visible,0.3,260,216,191,0.8842592592592593,0.7346153846153847,0.8025210084033614,0.1999999999999993,0.30000000000001137,0.004712041884816528,0.0,0.10000000000000142
20170706_03_04_03_B,visible,0.5,260,216,211,0.9768518518518519,0.8115384615384615,0.8865546218487396,0.20000000000000284,0.5,0.0786729857819904,0.10000000000000142,0.10000000000000142
20170706_05_06_03_A,visible,0.05,237,202,23,0.11386138613861387,0.0970464135021097,0.10478359908883828,0.0,0.0,0.0,0.0,0.10000000000002274
20170706_05_06_03_A,visible,0.1,237,202,76,0.37623762376237624,0.3206751054852321,0.34624145785877,0.09999999999999432,0.10000000000000853,0.019736842105263754,0.0,0.10000000000002274
20170706_05_06_03_A,visible,0.15,237,202,76,0.37623762376237624,0.3206751054852321,0.34624145785877,0.09999999999999432,0.10000000000000853,0.019736842105263754,0.0,0.10000000000002274
20170706_05_06_03_A,visible,0.2,237,202,145,0.7178217821782178,0.6118143459915611,0.6605922551252846,0.10000000000000853,0.20000000000000284,0.038620689655172714,0.09999999999999432,0.10000000000002274
20170706_05_06_03_A,visible,0.3,237,202,177,0.8762376237623762,0.7468354430379747,0.806378132118451,0.19999999999998863,0.3000000000000007,0.04237288135593259,0.09999999999999432,0.10000000000002274
20170706_05_06_03_A,visible,0.5,237,202,193,0.9554455445544554,0.8143459915611815,0.8792710706150341,0.20000000000000284,0.4000000000000057,0.10414507772020741,0.10000000000002274,0.10000000000002274
20170706_05_06_03_B,visible,0.05,213,204,33,0.16176470588235295,0.15492957746478872,0.15827338129496402,0.0,0.0,0.0,0.0,0.09999999999999432
20170706_05_06_03_B,visible,0.1,213,204,102,0.5,0.4788732394366197,0.48920863309352514,0.09999999999999432,0.10000000000002203,0.02843137254902021,0.0,0.09999999999999432
20170706_05_06_03_B,visible,0.15,213,204,102,0.5,0.4788732394366197,0.48920863309352514,0.09999999999999432,0.10000000000002203,0.02843137254902021,0.0,0.09999999999999432
20170706_05_06_03_B,visible,0.2,213,204,144,0.7058823529411765,0.676056338028169,0.6906474820143885,0.09999999999999964,0.20000000000000284,0.039583333333333345,0.09999999999999432,0.09999999999999432
20170706_05_06_03_B,visible,0.3,213,204,170,0.8333333333333334,0.7981220657276995,0.815347721822542,0.10000000000000497,0.30000000000000265,0.022352941176470808,0.09999999999999432,0.09999999999999432
20170706_05_06_03_B,visible,0.5,213,204,189,0.9264705882352942,0.8873239436619719,0.906474820143885,0.19999999999998863,0.5,0.038624338624338866,0.09999999999999432,0.09999999999999432
20170707_01_02_01_A,invisible,0.05,244,201,32,0.15920398009950248,0.13114754098360656,0.14382022471910114,0.0,0.0,0.0,0.0,0.10000000000000853
20170707_01_02_01_A,invisible,0.1,244,201,106,0.527363184079602,0.4344262295081967,0.4764044943820225,0.09999999999999432,0.10000000000000853,0.02452830188679302,0.0,0.10000000000000853
20170707_01_02_01_A,invisible,0.15,244,201,106,0.527363184079602,0.4344262295081967,0.4764044943820225,0.09999999999999432,0.10000000000000853,0.02452830188679302,0.0,0.10000000000000853
20170707_01_02_01_A,invisible,0.2,244,201,164,0.8159203980099502,0.6721311475409836,0.7370786516853932,0.10000000000000142,0.20000000000000284,0.031097560975609884,0.09999999999999432,0.10000000000000853
20170707_01_02_01_A,invisible,0.3,244,201,184,0.9154228855721394,0.7540983606557377,0.8269662921348314,0.10000000000000853,0.30000000000000426,0.06847826086956542,0.10000000000000053,0.10000000000000853
20170707_01_02_01_A,invisible,0.5,244,201,196,0.9751243781094527,0.8032786885245902,0.8808988764044944,0.20000000000000107,0.5,0.10459183673469406,0.10000000000000853,0.10000000000000853
20170707_01_02_01_B,invisible,0.05,247,206,28,0.13592233009708737,0.11336032388663968,0.12362030905077262,0.0,0.0,0.0,0.0,0.09999999999999432
20170707_01_02_01_B,invisible,0.1,247,206,86,0.4174757281553398,0.3481781376518219,0.37969094922737306,0.09999999999999432,0.10000000000000853,0.018604651162791107,0.0,0.09999999999999432
20170707_01_02_01_B,invisible,0.15,247,206,86,0.4174757281553398,0.3481781376518219,0.37969094922737306,0.09999999999999432,0.10000000000000853,0.018604651162791107,0.0,0.09999999999999432
20170707_01_02_01_B,invisible,0.2,247,206,157,0.7621359223300971,0.6356275303643725,0.6931567328918322,0.10000000000000853,0.20000000000000284,0.02165605095541505,0.0,0.09999999999999432
20170707_01_02_01_B,invisible,0.3,247,206,188,0.912621359223301,0.7611336032388664,0.8300220750551875,0.19999999999998863,0.30000000000000426,0.015957446808511144,0.0,0.09999999999999432
20170707_01_02_01_B,invisible,0.5,247,206,201,0.9757281553398058,0.8137651821862348,0.8874172185430464,0.20000000000000107,0.5,0.02736318407960259,0.09999999999999432,0.09999999999999432
20170707_01_02_03_A,invisible,0.05,257,190,41,0.21578947368421053,0.15953307392996108,0.18344519015659952,0.0,0.0,0.0,0.0,0.19999999999998863
20170707_01_02_03_A,invisible,0.1,257,190,114,0.6,0.44357976653696496,0.5100671140939598,0.09999999999999432,0.10000000000000853,0.011403508771929761,0.0,0.19999999999998863
20170707_01_02_03_A,invisible,0.15,257,190,114,0.6,0.44357976653696496,0.5100671140939598,0.09999999999999432,0.10000000000000853,0.011403508771929761,0.0,0.19999999999998863
20170707_01_02_03_A,invisible,0.2,257,190,160,0.8421052631578947,0.622568093385214,0.7158836689038031,0.09999999999999964,0.20000000000000284,0.013750000000000406,0.0,0.19999999999998863
20170707_01_02_03_A,invisible,0.3,257,190,181,0.9526315789473684,0.7042801556420234,0.8098434004474274,0.10000000000000853,0.30000000000001137,0.06629834254143696,0.09999999999999432,0.19999999999998863
20170707_01_02_03_A,invisible,0.5,257,190,187,0.9842105263157894,0.7276264591439688,0.83668903803132,0.20000000000000284,0.5,0.16363636363636408,0.19999999999998863,0.19999999999998863
