label,condition,tolerance,n_events_a,n_events_b,n_matched,precision,recall,f1,median_abs_dt,offset_applied
20170705_03_04_01_A,invisible,0.05,231,210,40,0.19047619047619047,0.17316017316017315,0.18140589569160998,0.0,0.0
20170705_03_04_01_A,invisible,0.1,231,210,98,0.4666666666666667,0.42424242424242425,0.4444444444444445,0.09999999999999432,0.0
20170705_03_04_01_A,invisible,0.15,231,210,98,0.4666666666666667,0.42424242424242425,0.4444444444444445,0.09999999999999432,0.0
20170705_03_04_01_A,invisible,0.2,231,210,168,0.8,0.7272727272727273,0.761904761904762,0.10000000000000853,0.0
20170705_03_04_01_A,invisible,0.3,231,210,178,0.8476190476190476,0.7705627705627706,0.8072562358276644,0.10000000000001563,0.0
20170705_03_04_01_A,invisible,0.5,231,210,194,0.9238095238095239,0.8398268398268398,0.8798185941043084,0.20000000000001705,0.0
20170705_03_04_01_B,invisible,0.05,238,199,47,0.23618090452261306,0.19747899159663865,0.21510297482837526,3.552713678800501e-15,0.09999999999999432
20170705_03_04_01_B,invisible,0.1,238,199,103,0.5175879396984925,0.4327731092436975,0.471395881006865,0.09999999999999432,0.09999999999999432
20170705_03_04_01_B,invisible,0.15,238,199,103,0.5175879396984925,0.4327731092436975,0.471395881006865,0.09999999999999432,0.09999999999999432
20170705_03_04_01_B,invisible,0.2,238,199,159,0.7989949748743719,0.6680672268907563,0.7276887871853547,0.09999999999999432,0.09999999999999432
20170705_03_04_01_B,invisible,0.3,238,199,176,0.8844221105527639,0.7394957983193278,0.8054919908466819,0.10000000000000764,0.09999999999999432
20170705_03_04_01_B,invisible,0.5,238,199,190,0.9547738693467337,0.7983193277310925,0.8695652173913043,0.20000000000000284,0.09999999999999432
20170706_01_02_03_A,visible,0.05,236,226,41,0.18141592920353983,0.17372881355932204,0.17748917748917747,1.4210854715202004e-14,0.19999999999998863
20170706_01_02_03_A,visible,0.1,236,226,129,0.5707964601769911,0.5466101694915254,0.5584415584415584,0.09999999999999432,0.19999999999998863
20170706_01_02_03_A,visible,0.15,236,226,129,0.5707964601769911,0.5466101694915254,0.5584415584415584,0.09999999999999432,0.19999999999998863
20170706_01_02_03_A,visible,0.2,236,226,183,0.8097345132743363,0.7754237288135594,0.7922077922077921,0.10000000000000853,0.19999999999998863
20170706_01_02_03_A,visible,0.3,236,226,202,0.8938053097345132,0.8559322033898306,0.8744588744588744,0.10000000000000853,0.19999999999998863
20170706_01_02_03_A,visible,0.5,236,226,215,0.9513274336283186,0.9110169491525424,0.9307359307359307,0.10000000000002274,0.19999999999998863
20170706_01_02_03_B,visible,0.05,168,174,32,0.1839080459770115,0.19047619047619047,0.18713450292397657,0.0,0.0
20170706_01_02_03_B,visible,0.1,168,174,91,0.5229885057471264,0.5416666666666666,0.5321637426900584,0.09999999999999432,0.0
20170706_01_02_03_B,visible,0.15,168,174,91,0.5229885057471264,0.5416666666666666,0.5321637426900584,0.09999999999999432,0.0
20170706_01_02_03_B,visible,0.2,168,174,127,0.7298850574712644,0.7559523809523809,0.7426900584795321,0.10000000000000053,0.0
20170706_01_02_03_B,visible,0.3,168,174,143,0.8218390804597702,0.8511904761904762,0.8362573099415205,0.10000000000000142,0.0
20170706_01_02_03_B,visible,0.5,168,174,157,0.9022988505747126,0.9345238095238095,0.9181286549707602,0.10000000000000853,0.0
20170706_03_04_03_A,visible,0.05,232,152,34,0.2236842105263158,0.14655172413793102,0.17708333333333331,1.4210854715202004e-14,0.19999999999998863
20170706_03_04_03_A,visible,0.1,232,152,90,0.5921052631578947,0.3879310344827586,0.46874999999999994,0.09999999999998721,0.19999999999998863
20170706_03_04_03_A,visible,0.15,232,152,90,0.5921052631578947,0.3879310344827586,0.46874999999999994,0.09999999999998721,0.19999999999998863
20170706_03_04_03_A,visible,0.2,232,152,121,0.7960526315789473,0.521551724137931,0.6302083333333334,0.09999999999999432,0.19999999999998863
20170706_03_04_03_A,visible,0.3,232,152,143,0.9407894736842105,0.6163793103448276,0.7447916666666667,0.10000000000000853,0.19999999999998863
20170706_03_04_03_A,visible,0.5,232,152,150,0.9868421052631579,0.646551724137931,0.78125,0.10000000000002274,0.19999999999998863
20170706_03_04_03_B,visible,0.05,260,216,36,0.16666666666666666,0.13846153846153847,0.15126050420168066,0.0,0.10000000000000142
20170706_03_04_03_B,visible,0.1,260,216,104,0.48148148148148145,0.4,0.4369747899159664,0.09999999999999432,0.10000000000000142
20170706_03_04_03_B,visible,0.15,260,216,104,0.48148148148148145,0.4,0.4369747899159664,0.09999999999999432,0.10000000000000142
20170706_03_04_03_B,visible,0.2,260,216,171,0.7916666666666666,0.6576923076923077,0.7184873949579831,0.10000000000000853,0.10000000000000142
20170706_03_04_03_B,visible,0.3,260,216,198,0.9166666666666666,0.7615384615384615,0.8319327731092437,0.10000000000002274,0.10000000000000142
20170706_03_04_03_B,visible,0.5,260,216,207,0.9583333333333334,0.7961538461538461,0.8697478991596638,0.20000000000000284,0.10000000000000142
20170706_05_06_03_A,visible,0.05,237,202,34,0.16831683168316833,0.14345991561181434,0.15489749430523916,2.398081733190338e-14,0.10000000000002274
20170706_05_06_03_A,visible,0.1,237,202,106,0.5247524752475248,0.4472573839662447,0.4829157175398633,0.09999999999997744,0.10000000000002274
20170706_05_06_03_A,visible,0.15,237,202,106,0.5247524752475248,0.4472573839662447,0.4829157175398633,0.09999999999997744,0.10000000000002274
20170706_05_06_03_A,visible,0.2,237,202,152,0.7524752475247525,0.6413502109704642,0.69248291571754,0.0999999999999801,0.10000000000002274
20170706_05_06_03_A,visible,0.3,237,202,184,0.9108910891089109,0.7763713080168776,0.8382687927107062,0.10000000000002274,0.10000000000002274
20170706_05_06_03_A,visible,0.5,237,202,193,0.9554455445544554,0.8143459915611815,0.8792710706150341,0.19999999999997442,0.10000000000002274
20170706_05_06_03_B,visible,0.05,213,204,49,0.24019607843137256,0.2300469483568075,0.23501199040767387,3.552713678800501e-15,0.09999999999999432
20170706_05_06_03_B,visible,0.1,213,204,110,0.5392156862745098,0.5164319248826291,0.5275779376498801,0.09999999999999432,0.09999999999999432
20170706_05_06_03_B,visible,0.15,213,204,110,0.5392156862745098,0.5164319248826291,0.5275779376498801,0.09999999999999432,0.09999999999999432
20170706_05_06_03_B,visible,0.2,213,204,144,0.7058823529411765,0.676056338028169,0.6906474820143885,0.09999999999999432,0.09999999999999432
20170706_05_06_03_B,visible,0.3,213,204,169,0.8284313725490197,0.7934272300469484,0.8105515587529977,0.09999999999999432,0.09999999999999432
20170706_05_06_03_B,visible,0.5,213,204,188,0.9215686274509803,0.8826291079812206,0.9016786570743405,0.10000000000000853,0.09999999999999432
20170707_01_02_01_A,invisible,0.05,244,201,50,0.24875621890547264,0.20491803278688525,0.22471910112359553,7.105427357601002e-15,0.10000000000000853
20170707_01_02_01_A,invisible,0.1,244,201,122,0.6069651741293532,0.5,0.548314606741573,0.09999999999998721,0.10000000000000853
20170707_01_02_01_A,invisible,0.15,244,201,122,0.6069651741293532,0.5,0.548314606741573,0.09999999999998721,0.10000000000000853
20170707_01_02_01_A,invisible,0.2,244,201,170,0.845771144278607,0.6967213114754098,0.7640449438202247,0.09999999999999432,0.10000000000000853
20170707_01_02_01_A,invisible,0.3,244,201,187,0.9303482587064676,0.7663934426229508,0.8404494382022473,0.10000000000000853,0.10000000000000853
20170707_01_02_01_A,invisible,0.5,244,201,194,0.9651741293532339,0.7950819672131147,0.8719101123595506,0.19999999999998863,0.10000000000000853
20170707_01_02_01_B,invisible,0.05,247,206,37,0.1796116504854369,0.14979757085020243,0.16335540838852097,7.105427357601002e-15,0.09999999999999432
20170707_01_02_01_B,invisible,0.1,247,206,108,0.5242718446601942,0.43724696356275305,0.4768211920529801,0.09999999999999432,0.09999999999999432
20170707_01_02_01_B,invisible,0.15,247,206,108,0.5242718446601942,0.43724696356275305,0.4768211920529801,0.09999999999999432,0.09999999999999432
20170707_01_02_01_B,invisible,0.2,247,206,163,0.7912621359223301,0.659919028340081,0.7196467991169977,0.10000000000000586,0.09999999999999432
20170707_01_02_01_B,invisible,0.3,247,206,190,0.9223300970873787,0.7692307692307693,0.8388520971302429,0.10000000000000853,0.09999999999999432
20170707_01_02_01_B,invisible,0.5,247,206,200,0.970873786407767,0.8097165991902834,0.8830022075055186,0.19999999999999396,0.09999999999999432
20170707_01_02_03_A,invisible,0.05,257,190,26,0.1368421052631579,0.10116731517509728,0.116331096196868,1.4210854715202004e-14,0.19999999999998863
20170707_01_02_03_A,invisible,0.1,257,190,108,0.5684210526315789,0.42023346303501946,0.4832214765100671,0.09999999999999432,0.19999999999998863
20170707_01_02_03_A,invisible,0.15,257,190,108,0.5684210526315789,0.42023346303501946,0.4832214765100671,0.09999999999999432,0.19999999999998863
20170707_01_02_03_A,invisible,0.2,257,190,164,0.8631578947368421,0.6381322957198443,0.7337807606263981,0.10000000000000853,0.19999999999998863
20170707_01_02_03_A,invisible,0.3,257,190,180,0.9473684210526315,0.7003891050583657,0.8053691275167784,0.10000000000001563,0.19999999999998863
20170707_01_02_03_A,invisible,0.5,257,190,186,0.9789473684210527,0.7237354085603113,0.8322147651006712,0.20000000000000995,0.19999999999998863
20170707_01_02_03_B,invisible,0.05,290,197,38,0.19289340101522842,0.1310344827586207,0.15605749486652978,1.1546319456101628e-14,0.19999999999999218
20170707_01_02_03_B,invisible,0.1,290,197,122,0.6192893401015228,0.4206896551724138,0.5010266940451745,0.09999999999999432,0.19999999999999218
20170707_01_02_03_B,invisible,0.15,290,197,122,0.6192893401015228,0.4206896551724138,0.5010266940451745,0.09999999999999432,0.19999999999999218
20170707_01_02_03_B,invisible,0.2,290,197,174,0.883248730964467,0.6,0.7145790554414785,0.10000000000000142,0.19999999999999218
20170707_01_02_03_B,invisible,0.3,290,197,187,0.949238578680203,0.6448275862068965,0.7679671457905544,0.10000000000000853,0.19999999999999218
20170707_01_02_03_B,invisible,0.5,290,197,195,0.9898477157360406,0.6724137931034483,0.8008213552361397,0.20000000000000284,0.19999999999999218
20170707_03_04_02_A,invisible,0.05,269,223,47,0.21076233183856502,0.17472118959107807,0.1910569105691057,7.105427357601002e-15,0.09999999999999432
20170707_03_04_02_A,invisible,0.1,269,223,115,0.515695067264574,0.4275092936802974,0.4674796747967479,0.09999999999999432,0.09999999999999432
20170707_03_04_02_A,invisible,0.15,269,223,115,0.515695067264574,0.4275092936802974,0.4674796747967479,0.09999999999999432,0.09999999999999432
20170707_03_04_02_A,invisible,0.2,269,223,175,0.7847533632286996,0.6505576208178439,0.7113821138211383,0.09999999999999432,0.09999999999999432
