label,condition,tolerance,n_events_a,n_events_b,n_matched,precision,recall,f1,median_abs_dt,offset_applied
20170706_01_02_03_A,visible,0.05,236,262,37,0.14122137404580154,0.15677966101694915,0.14859437751004018,0.0,0.0
20170706_01_02_03_A,visible,0.1,236,262,116,0.44274809160305345,0.4915254237288136,0.46586345381526106,0.09999999999999432,0.0
20170706_01_02_03_A,visible,0.15,236,262,116,0.44274809160305345,0.4915254237288136,0.46586345381526106,0.09999999999999432,0.0
20170706_01_02_03_A,visible,0.2,236,262,186,0.7099236641221374,0.788135593220339,0.7469879518072289,0.10000000000000142,0.0
20170706_01_02_03_A,visible,0.3,236,262,219,0.8358778625954199,0.9279661016949152,0.8795180722891566,0.10000000000002274,0.0
20170706_01_02_03_A,visible,0.5,236,262,231,0.8816793893129771,0.9788135593220338,0.927710843373494,0.19999999999998863,0.0
20170706_03_04_02_A,visible,0.05,229,226,67,0.29646017699115046,0.2925764192139738,0.2945054945054945,5.329070518200751e-15,0.09999999999999432
20170706_03_04_02_A,visible,0.1,229,226,158,0.6991150442477876,0.6899563318777293,0.6945054945054945,0.09999999999999432,0.09999999999999432
20170706_03_04_02_A,visible,0.15,229,226,158,0.6991150442477876,0.6899563318777293,0.6945054945054945,0.09999999999999432,0.09999999999999432
20170706_03_04_02_A,visible,0.2,229,226,194,0.8584070796460177,0.8471615720524017,0.8527472527472527,0.09999999999999432,0.09999999999999432
20170706_03_04_02_A,visible,0.3,229,226,211,0.9336283185840708,0.9213973799126638,0.9274725274725275,0.09999999999999432,0.09999999999999432
20170706_03_04_02_A,visible,0.5,229,226,218,0.9646017699115044,0.9519650655021834,0.9582417582417583,0.09999999999999432,0.09999999999999432
20170706_05_06_03_A,visible,0.05,237,265,21,0.07924528301886792,0.08860759493670886,0.08366533864541832,1.4210854715202004e-14,-0.19999999999998863
20170706_05_06_03_A,visible,0.1,237,265,82,0.30943396226415093,0.3459915611814346,0.32669322709163345,0.09999999999999432,-0.19999999999998863
20170706_05_06_03_A,visible,0.15,237,265,82,0.30943396226415093,0.3459915611814346,0.32669322709163345,0.09999999999999432,-0.19999999999998863
20170706_05_06_03_A,visible,0.2,237,265,173,0.6528301886792452,0.729957805907173,0.6892430278884463,0.19999999999998863,-0.19999999999998863
20170706_05_06_03_A,visible,0.3,237,265,221,0.8339622641509434,0.9324894514767933,0.8804780876494025,0.20000000000000995,-0.19999999999998863
20170706_05_06_03_A,visible,0.5,237,265,232,0.8754716981132076,0.9789029535864979,0.9243027888446216,0.20000000000001705,-0.19999999999998863
20170710_01_02_01_A,visible,0.05,242,263,53,0.20152091254752852,0.2190082644628099,0.2099009900990099,1.0658141036401503e-14,-0.19999999999998863
20170710_01_02_01_A,visible,0.1,242,263,136,0.5171102661596958,0.5619834710743802,0.5386138613861386,0.09999999999998721,-0.19999999999998863
20170710_01_02_01_A,visible,0.15,242,263,136,0.5171102661596958,0.5619834710743802,0.5386138613861386,0.09999999999998721,-0.19999999999998863
20170710_01_02_01_A,visible,0.2,242,263,206,0.7832699619771863,0.8512396694214877,0.8158415841584159,0.09999999999999432,-0.19999999999998863
20170710_01_02_01_A,visible,0.3,242,263,226,0.8593155893536122,0.9338842975206612,0.8950495049504951,0.10000000000000853,-0.19999999999998863
20170710_01_02_01_A,visible,0.5,242,263,236,0.8973384030418251,0.9752066115702479,0.9346534653465346,0.20000000000000284,-0.19999999999998863
20170710_07_08_01_A,visible,0.05,118,131,16,0.12213740458015267,0.13559322033898305,0.1285140562248996,7.105427357601002e-15,-0.10000000000000853
20170710_07_08_01_A,visible,0.1,118,131,53,0.40458015267175573,0.4491525423728814,0.42570281124497994,0.09999999999999432,-0.10000000000000853
20170710_07_08_01_A,visible,0.15,118,131,53,0.40458015267175573,0.4491525423728814,0.42570281124497994,0.09999999999999432,-0.10000000000000853
20170710_07_08_01_A,visible,0.2,118,131,76,0.5801526717557252,0.6440677966101694,0.6104417670682731,0.10000000000000142,-0.10000000000000853
20170710_07_08_01_A,visible,0.3,118,131,93,0.7099236641221374,0.788135593220339,0.7469879518072289,0.10000000000000853,-0.10000000000000853
20170710_07_08_01_A,visible,0.5,118,131,104,0.7938931297709924,0.8813559322033898,0.8353413654618473,0.19999999999998863,-0.10000000000000853
20170714_01_02_02_A,visible,0.05,246,245,48,0.19591836734693877,0.1951219512195122,0.1955193482688391,0.0,0.0
20170714_01_02_02_A,visible,0.1,246,245,152,0.6204081632653061,0.6178861788617886,0.6191446028513238,0.09999999999999432,0.0
20170714_01_02_02_A,visible,0.15,246,245,152,0.6204081632653061,0.6178861788617886,0.6191446028513238,0.09999999999999432,0.0
20170714_01_02_02_A,visible,0.2,246,245,202,0.8244897959183674,0.8211382113821138,0.8228105906313646,0.09999999999999964,0.0
20170714_01_02_02_A,visible,0.3,246,245,218,0.889795918367347,0.8861788617886179,0.8879837067209776,0.10000000000000098,0.0
20170714_01_02_02_A,visible,0.5,246,245,226,0.9224489795918367,0.9186991869918699,0.9205702647657841,0.10000000000000142,0.0
20170706_01_02_03_B,visible,0.05,168,183,32,0.17486338797814208,0.19047619047619047,0.18233618233618235,4.884981308350689e-15,-0.09999999999999432
20170706_01_02_03_B,visible,0.1,168,183,85,0.4644808743169399,0.5059523809523809,0.4843304843304843,0.09999999999999432,-0.09999999999999432
20170706_01_02_03_B,visible,0.15,168,183,85,0.4644808743169399,0.5059523809523809,0.4843304843304843,0.09999999999999432,-0.09999999999999432
20170706_01_02_03_B,visible,0.2,168,183,122,0.6666666666666666,0.7261904761904762,0.6951566951566951,0.09999999999999432,-0.09999999999999432
20170706_01_02_03_B,visible,0.3,168,183,142,0.7759562841530054,0.8452380952380952,0.809116809116809,0.1000000000000072,-0.09999999999999432
20170706_01_02_03_B,visible,0.5,168,183,158,0.8633879781420765,0.9404761904761905,0.9002849002849004,0.10000000000001563,-0.09999999999999432
20170706_03_04_02_B,visible,0.05,231,239,37,0.15481171548117154,0.16017316017316016,0.1574468085106383,0.0,-0.09999999999999432
20170706_03_04_02_B,visible,0.1,231,239,110,0.4602510460251046,0.47619047619047616,0.4680851063829787,0.09999999999999432,-0.09999999999999432
20170706_03_04_02_B,visible,0.15,231,239,110,0.4602510460251046,0.47619047619047616,0.4680851063829787,0.09999999999999432,-0.09999999999999432
20170706_03_04_02_B,visible,0.2,231,239,176,0.7364016736401674,0.7619047619047619,0.7489361702127659,0.1000000000000032,-0.09999999999999432
20170706_03_04_02_B,visible,0.3,231,239,201,0.8410041841004184,0.8701298701298701,0.8553191489361701,0.10000000000000853,-0.09999999999999432
20170706_03_04_02_B,visible,0.5,231,239,211,0.8828451882845189,0.9134199134199135,0.8978723404255319,0.2000000000000064,-0.09999999999999432
20170706_05_06_03_B,visible,0.05,213,229,45,0.1965065502183406,0.2112676056338028,0.20361990950226244,0.0,0.0
20170706_05_06_03_B,visible,0.1,213,229,126,0.5502183406113537,0.5915492957746479,0.5701357466063349,0.09999999999999432,0.0
20170706_05_06_03_B,visible,0.15,213,229,126,0.5502183406113537,0.5915492957746479,0.5701357466063349,0.09999999999999432,0.0
20170706_05_06_03_B,visible,0.2,213,229,167,0.7292576419213974,0.784037558685446,0.7556561085972852,0.09999999999999432,0.0
20170706_05_06_03_B,visible,0.3,213,229,186,0.8122270742358079,0.8732394366197183,0.8416289592760181,0.10000000000000142,0.0
20170706_05_06_03_B,visible,0.5,213,229,202,0.8820960698689956,0.9483568075117371,0.9140271493212669,0.10000000000000853,0.0
20170710_01_02_01_B,visible,0.05,228,230,35,0.15217391304347827,0.15350877192982457,0.15283842794759825,0.0,0.0
20170710_01_02_01_B,visible,0.1,228,230,105,0.45652173913043476,0.4605263157894737,0.4585152838427947,0.09999999999999432,0.0
20170710_01_02_01_B,visible,0.15,228,230,105,0.45652173913043476,0.4605263157894737,0.4585152838427947,0.09999999999999432,0.0
20170710_01_02_01_B,visible,0.2,228,230,166,0.7217391304347827,0.7280701754385965,0.7248908296943233,0.10000000000000142,0.0
20170710_01_02_01_B,visible,0.3,228,230,202,0.8782608695652174,0.8859649122807017,0.8820960698689956,0.10000000000002274,0.0
20170710_01_02_01_B,visible,0.5,228,230,217,0.9434782608695652,0.9517543859649122,0.9475982532751092,0.19999999999999574,0.0
