video,condition,arm,rep,period,n_a,n_b,n_match,S,zS,p
20170706_01_02_01,visible,real,0,P1,25,16,6,0.2926829268292683,-0.8170662476778512,0.8251748251748252
20170706_01_02_01,visible,real,0,P2,62,39,22,0.43564356435643564,1.1391184959905487,0.15684315684315683
20170706_01_02_01,visible,real,0,P3,165,126,45,0.30927835051546393,-1.2679087385459658,0.9240759240759241
20170706_01_02_01,visible,jitter,1,P1,24,16,8,0.4,1.1226425175609671,0.2087912087912088
20170706_01_02_01,visible,jitter,1,P2,61,39,12,0.24,-1.7465913269123845,0.978021978021978
20170706_01_02_01,visible,jitter,1,P3,160,125,45,0.3157894736842105,-0.34260527348037373,0.6543456543456544
20170706_01_02_01,visible,null,1,P1,21,16,9,0.4864864864864865,1.3819260207056965,0.13386613386613386
20170706_01_02_01,visible,null,1,P2,60,42,17,0.3333333333333333,-0.1700780849438443,0.6053946053946054
20170706_01_02_01,visible,null,1,P3,158,122,44,0.3142857142857143,-0.4508832217678182,0.7102897102897103
20170706_01_02_01,visible,jitter,2,P1,23,17,5,0.25,-0.795967337270324,0.8351648351648352
20170706_01_02_01,visible,jitter,2,P2,62,38,18,0.36,0.41883261779775055,0.4115884115884116
20170706_01_02_01,visible,jitter,2,P3,163,122,43,0.3017543859649123,-0.5663094726159087,0.7392607392607392
20170706_01_02_01,visible,null,2,P1,21,16,11,0.5945945945945946,2.60888930331911,0.006993006993006993
20170706_01_02_01,visible,null,2,P2,60,40,15,0.3,-0.5400090144108304,0.7592407592407593
20170706_01_02_01,visible,null,2,P3,157,123,33,0.2357142857142857,-2.54781201651028,0.999000999000999
20170706_01_02_01,visible,jitter,3,P1,26,16,5,0.23809523809523808,-1.3163512345780837,0.9630369630369631
20170706_01_02_01,visible,jitter,3,P2,60,38,23,0.46938775510204084,2.5468602324475698,0.00999000999000999
20170706_01_02_01,visible,jitter,3,P3,162,123,41,0.28771929824561404,-1.0815540062282714,0.8791208791208791
20170706_01_02_01,visible,null,3,P1,24,18,7,0.3333333333333333,-0.6139638928045409,0.7872127872127872
20170706_01_02_01,visible,null,3,P2,58,41,18,0.36363636363636365,0.5109102607024135,0.35764235764235763
20170706_01_02_01,visible,null,3,P3,163,118,45,0.3202846975088968,0.058112809637656804,0.5194805194805194
20170706_01_02_01,visible,jitter,4,P1,25,16,6,0.2926829268292683,-0.6498927143945662,0.8331668331668332
20170706_01_02_01,visible,jitter,4,P2,60,39,13,0.26262626262626265,-1.3256267316195158,0.952047952047952
20170706_01_02_01,visible,jitter,4,P3,156,125,41,0.2918149466192171,-0.7283241464960565,0.7942057942057942
20170706_01_02_01,visible,null,4,P1,22,14,3,0.16666666666666666,-1.3971929968628707,0.961038961038961
20170706_01_02_01,visible,null,4,P2,60,46,19,0.3584905660377358,-0.028600397315220055,0.5844155844155844
20170706_01_02_01,visible,null,4,P3,163,119,44,0.3120567375886525,-0.527983520824521,0.7362637362637363
20170706_01_02_01,visible,jitter,5,P1,23,16,6,0.3076923076923077,-0.16949873418215752,0.6353646353646354
20170706_01_02_01,visible,jitter,5,P2,62,38,21,0.42,1.5991557060120207,0.0959040959040959
20170706_01_02_01,visible,jitter,5,P3,161,123,44,0.30985915492957744,-0.3436923724983748,0.6583416583416584
20170706_01_02_01,visible,null,5,P1,22,18,5,0.25,-1.2877345973432965,0.945054945054945
20170706_01_02_01,visible,null,5,P2,61,42,13,0.2524271844660194,-1.5739304158724134,0.9630369630369631
20170706_01_02_01,visible,null,5,P3,161,119,48,0.34285714285714286,0.8026946866719057,0.23376623376623376
20170706_01_02_01,visible,jitter,6,P1,24,17,7,0.34146341463414637,-0.2981622303743493,0.6973026973026973
20170706_01_02_01,visible,jitter,6,P2,62,38,15,0.3,0.05068996291206155,0.5554445554445554
20170706_01_02_01,visible,jitter,6,P3,162,124,46,0.32167832167832167,-0.3136141273340382,0.6533466533466533
20170706_01_02_01,visible,null,6,P1,20,16,2,0.1111111111111111,-2.6148710337361623,1.0
20170706_01_02_01,visible,null,6,P2,61,40,17,0.33663366336633666,0.1479258416158385,0.4915084915084915
