"delta","null","period","V_minus_I","SE","df","t","p","p_holm"
0.1,"continuous","P1",-0.340863557420847,0.36028938111997,55.296879090287,-0.946082719288766,0.348222371716393,0.696444743432787
0.1,"continuous","P2",0.128875767557119,0.355939720151583,53.2691428452594,0.362071890999506,0.7187307490027,0.7187307490027
0.1,"continuous","P3",0.449335560750113,0.355939720151583,53.2691428452594,1.26239229653481,0.212306470524071,0.636919411572214
0.1,"grid","P1",-0.254421505108397,0.269848580422996,96.3925412147643,-0.94283062267581,0.348124621400985,0.59875764492461
0.1,"grid","P2",0.277033360340721,0.265468739321701,93.4800896550341,1.04356302383689,0.299378822462305,0.59875764492461
0.1,"grid","P3",0.8016423000089,0.265468739321701,93.4800896550341,3.01972391196483,0.00326185605019446,0.00978556815058338
0.2,"continuous","P1",-0.0154235548631395,0.298608901598521,42.4513796514003,-0.0516513566091757,0.959048782729443,1
0.2,"continuous","P2",0.142102931778965,0.29569999797932,41.0534294811779,0.480564534156349,0.63337712592189,1
0.2,"continuous","P3",0.0389847199936827,0.29569999797932,41.0534294811778,0.131838756374997,0.895755856763025,1
0.2,"grid","P1",0.00241995843187638,0.279725588470047,85.2457133205969,0.00865118720497575,0.993117651424756,0.993117651424756
0.2,"grid","P2",0.33095287363698,0.275421435822435,82.3711395066094,1.20162351433803,0.232952888610585,0.465905777221169
0.2,"grid","P3",0.433884976996564,0.275421435822435,82.3711395066094,1.57534933946206,0.119009007342806,0.357027022028418
0.3,"continuous","P1",-0.196165999758581,0.249262826545484,68.9663600542782,-0.78698457558727,0.433987035328864,0.473365423162165
0.3,"continuous","P2",-0.293528599723675,0.245814315872817,66.4292736290342,-1.19410701806133,0.236682711581082,0.473365423162165
0.3,"continuous","P3",0.366344200823433,0.245814315872817,66.4292736290345,1.49032898886563,0.140870912179315,0.422612736537944
0.3,"grid","P1",-0.250599973068796,0.27912241811788,89.190733485785,-0.897813850849349,0.371702020286736,0.490154265195796
0.3,"grid","P2",-0.359334982644355,0.274739549220996,86.2838264481832,-1.30791137884307,0.194377283309321,0.490154265195796
0.3,"grid","P3",0.38621920844082,0.274739549220996,86.2838264481827,1.40576487635623,0.163384755065265,0.490154265195796
0.5,"continuous","P1",-0.0234524406830576,0.262826636563204,93.9384512623116,-0.0892315976406671,0.92908782274369,1
0.5,"continuous","P2",-0.164165358448876,0.258606423942746,91.019971915637,-0.634807735809462,0.527146322202058,1
0.5,"continuous","P3",0.1244484197091,0.258606423942746,91.019971915637,0.481227101058604,0.631509979009601,1
0.5,"grid","P1",0.00809600455415544,0.275786200895366,92.5565812968868,0.0293560900722045,0.976643799395548,1
0.5,"grid","P2",-0.153642470360679,0.271385647515939,89.6383361528554,-0.566140736501755,0.572712764647988,1
0.5,"grid","P3",0.153808314920649,0.271385647515939,89.6383361528559,0.56675183941559,0.572299224633732,1
1,"continuous","P1",-0.106631570960511,0.261258029531076,106.167405044564,-0.408146578889462,0.683988034767643,1
1,"continuous","P2",-0.119520580505191,0.256851804611322,103.363007619065,-0.465328949843489,0.642674816600749,1
1,"continuous","P3",0.0235868287496056,0.256851804611322,103.363007619065,0.09183049652035,0.92701045275028,1
1,"grid","P1",-0.0620830167787036,0.269267194685779,107.375848632292,-0.23056286842202,0.818093131468005,1
1,"grid","P2",-0.104740572609148,0.264706322891472,104.594365118985,-0.395685949111579,0.69314265635702,1
1,"grid","P3",0.0649314193287106,0.264706322891472,104.594365118985,0.245296064783961,0.806707842206573,1
