R2-4 nullcheck LMM: zS ~ condition * period + (1 | dyad)
Contrast: visible - invisible per period (Kenward-Roger df)
Input: R2-4_nullcheck_per_video.csv | 1780 rows | 20 dyads
NOTE: reimplementation zS, directional check only; final corrected
numbers require re-running the original pipeline with grid shifts.

===== continuous null =====
 delta  per        V-I      SE     df       t        p   p_holm
   0.1   P1     -0.341   0.360   55.3   -0.95   0.3482   0.6964
   0.1   P2     +0.129   0.356   53.3   +0.36   0.7187   0.7187
   0.1   P3     +0.449   0.356   53.3   +1.26   0.2123   0.6369
   0.2   P1     -0.015   0.299   42.5   -0.05   0.9590   1.0000
   0.2   P2     +0.142   0.296   41.1   +0.48   0.6334   1.0000
   0.2   P3     +0.039   0.296   41.1   +0.13   0.8958   1.0000
   0.3   P1     -0.196   0.249   69.0   -0.79   0.4340   0.4734
   0.3   P2     -0.294   0.246   66.4   -1.19   0.2367   0.4734
   0.3   P3     +0.366   0.246   66.4   +1.49   0.1409   0.4226
   0.5   P1     -0.023   0.263   93.9   -0.09   0.9291   1.0000
   0.5   P2     -0.164   0.259   91.0   -0.63   0.5271   1.0000
   0.5   P3     +0.124   0.259   91.0   +0.48   0.6315   1.0000
   1.0   P1     -0.107   0.261  106.2   -0.41   0.6840   1.0000
   1.0   P2     -0.120   0.257  103.4   -0.47   0.6427   1.0000
   1.0   P3     +0.024   0.257  103.4   +0.09   0.9270   1.0000

===== grid null =====
 delta  per        V-I      SE     df       t        p   p_holm
   0.1   P1     -0.254   0.270   96.4   -0.94   0.3481   0.5988
   0.1   P2     +0.277   0.265   93.5   +1.04   0.2994   0.5988
   0.1   P3     +0.802   0.265   93.5   +3.02   0.0033   0.0098
   0.2   P1     +0.002   0.280   85.2   +0.01   0.9931   0.9931
   0.2   P2     +0.331   0.275   82.4   +1.20   0.2330   0.4659
   0.2   P3     +0.434   0.275   82.4   +1.58   0.1190   0.3570
   0.3   P1     -0.251   0.279   89.2   -0.90   0.3717   0.4902
   0.3   P2     -0.359   0.275   86.3   -1.31   0.1944   0.4902
   0.3   P3     +0.386   0.275   86.3   +1.41   0.1634   0.4902
   0.5   P1     +0.008   0.276   92.6   +0.03   0.9766   1.0000
   0.5   P2     -0.154   0.271   89.6   -0.57   0.5727   1.0000
   0.5   P3     +0.154   0.271   89.6   +0.57   0.5723   1.0000
   1.0   P1     -0.062   0.269  107.4   -0.23   0.8181   1.0000
   1.0   P2     -0.105   0.265  104.6   -0.40   0.6931   1.0000
   1.0   P3     +0.065   0.265  104.6   +0.25   0.8067   1.0000

