video,condition,period,delta,null,n_a,n_b,n_match,S,zS,p
20170706_01_02_01,visible,P1,0.1,continuous,25,16,6,0.2926829268292683,0.48935210110674005,0.43278360819590206
20170706_01_02_01,visible,P2,0.1,continuous,62,39,22,0.43564356435643564,3.1785295581528774,0.0034982508745627187
20170706_01_02_01,visible,P3,0.1,continuous,165,126,45,0.30927835051546393,2.0860032539545466,0.02448775612193903
20170706_01_02_01,visible,P1,0.1,grid,25,16,6,0.2926829268292683,-0.7816313195801541,0.8300849575212393
20170706_01_02_01,visible,P2,0.1,grid,62,39,22,0.43564356435643564,1.1515928025098312,0.15942028985507245
20170706_01_02_01,visible,P3,0.1,grid,165,126,45,0.30927835051546393,-1.2205764931809013,0.9140429785107447
20170706_01_02_01,visible,P1,0.2,continuous,25,16,9,0.43902439024390244,-0.5779054592739133,0.7746126936531734
20170706_01_02_01,visible,P2,0.2,continuous,62,39,33,0.6534653465346535,2.512848823015026,0.0029985007496251873
20170706_01_02_01,visible,P3,0.2,continuous,165,126,81,0.5567010309278351,2.1562295877354414,0.01899050474762619
20170706_01_02_01,visible,P1,0.2,grid,25,16,9,0.43902439024390244,-2.1669177142688683,0.9965017491254373
20170706_01_02_01,visible,P2,0.2,grid,62,39,33,0.6534653465346535,0.9605390315510344,0.23238380809595202
20170706_01_02_01,visible,P3,0.2,grid,165,126,81,0.5567010309278351,-1.014167537488973,0.8655672163918041
20170706_01_02_01,visible,P1,0.3,continuous,25,16,14,0.6829268292682927,-0.5091680122208768,0.8215892053973014
20170706_01_02_01,visible,P2,0.3,continuous,62,39,38,0.7524752475247525,1.7805449558656836,0.05697151424287856
20170706_01_02_01,visible,P3,0.3,continuous,165,126,103,0.7079037800687286,1.0619348374136064,0.16841579210394803
20170706_01_02_01,visible,P1,0.3,grid,25,16,14,0.6829268292682927,-1.966965438673917,1.0
20170706_01_02_01,visible,P2,0.3,grid,62,39,38,0.7524752475247525,1.176565552982882,0.20739630184907545
20170706_01_02_01,visible,P3,0.3,grid,165,126,103,0.7079037800687286,-1.428701129343346,0.952023988005997
20170706_01_02_01,visible,P1,0.5,continuous,25,16,16,0.7804878048780488,0.13535425346382332,0.9820089955022488
20170706_01_02_01,visible,P2,0.5,continuous,62,39,38,0.7524752475247525,0.2186050425106937,0.6656671664167916
20170706_01_02_01,visible,P3,0.5,continuous,165,126,115,0.7903780068728522,0.6981758997520685,0.3308345827086457
20170706_01_02_01,visible,P1,0.5,grid,25,16,16,0.7804878048780488,0.16653934842398083,0.9730134932533733
20170706_01_02_01,visible,P2,0.5,grid,62,39,38,0.7524752475247525,0.029350600758807452,0.7491254372813593
20170706_01_02_01,visible,P3,0.5,grid,165,126,115,0.7903780068728522,0.02329051403697215,0.6051974012993503
20170706_01_02_01,visible,P1,1.0,continuous,25,16,16,0.7804878048780488,0.13913413617487586,0.9810094952523738
20170706_01_02_01,visible,P2,1.0,continuous,62,39,38,0.7524752475247525,0.029930833334698717,0.7341329335332334
20170706_01_02_01,visible,P3,1.0,continuous,165,126,116,0.7972508591065293,0.19463800715399163,0.5092453773113443
20170706_01_02_01,visible,P1,1.0,grid,25,16,16,0.7804878048780488,0.1428214241060102,0.9800099950024987
20170706_01_02_01,visible,P2,1.0,grid,62,39,38,0.7524752475247525,-0.01797707339171786,0.7556221889055472
20170706_01_02_01,visible,P3,1.0,grid,165,126,116,0.7972508591065293,-0.1919869388016428,0.6666666666666666
20170706_01_02_02,visible,P1,0.1,continuous,24,21,11,0.4888888888888889,2.1609621241397714,0.043478260869565216
20170706_01_02_02,visible,P2,0.1,continuous,57,40,23,0.4742268041237113,3.9263326001765932,0.0004997501249375312
20170706_01_02_02,visible,P3,0.1,continuous,164,131,51,0.34576271186440677,2.7664713453553507,0.0024987506246876563
20170706_01_02_02,visible,P1,0.1,grid,24,21,11,0.4888888888888889,0.6033770067824662,0.36881559220389803
20170706_01_02_02,visible,P2,0.1,grid,57,40,23,0.4742268041237113,1.8104270770991837,0.05547226386806597
20170706_01_02_02,visible,P3,0.1,grid,164,131,51,0.34576271186440677,-0.4454706897202085,0.6696651674162919
20170706_01_02_02,visible,P1,0.2,continuous,24,21,17,0.7555555555555555,2.242447212149158,0.0079960019990005
20170706_01_02_02,visible,P2,0.2,continuous,57,40,35,0.7216494845360825,3.8748456204195225,0.0004997501249375312
20170706_01_02_02,visible,P3,0.2,continuous,164,131,93,0.6305084745762712,3.291351472427355,0.0004997501249375312
20170706_01_02_02,visible,P1,0.2,grid,24,21,17,0.7555555555555555,1.1083670547466171,0.19290354822588707
20170706_01_02_02,visible,P2,0.2,grid,57,40,35,0.7216494845360825,2.5155227592692277,0.0079960019990005
20170706_01_02_02,visible,P3,0.2,grid,164,131,93,0.6305084745762712,0.7157109177238732,0.2753623188405797
20170706_01_02_02,visible,P1,0.3,continuous,24,21,19,0.8444444444444444,1.314927063616147,0.19140429785107446
20170706_01_02_02,visible,P2,0.3,continuous,57,40,37,0.7628865979381443,2.087856095853139,0.02798600699650175
20170706_01_02_02,visible,P3,0.3,continuous,164,131,110,0.7457627118644068,1.6951559242693666,0.05247376311844078
20170706_01_02_02,visible,P1,0.3,grid,24,21,19,0.8444444444444444,0.48665028751287104,0.5337331334332833
20170706_01_02_02,visible,P2,0.3,grid,57,40,37,0.7628865979381443,1.313519373354013,0.15692153923038482
20170706_01_02_02,visible,P3,0.3,grid,164,131,110,0.7457627118644068,-0.654172021841053,0.7946026986506747
20170706_01_02_02,visible,P1,0.5,continuous,24,21,20,0.8888888888888888,0.8531603777964986,0.4312843578210895
20170706_01_02_02,visible,P2,0.5,continuous,57,40,39,0.8041237113402062,2.1039295986611277,0.04997501249375312
20170706_01_02_02,visible,P3,0.5,continuous,164,131,115,0.7796610169491526,-0.9315168884618359,0.8755622188905547
20170706_01_02_02,visible,P1,0.5,grid,24,21,20,0.8888888888888888,0.7044846846288008,0.4877561219390305
20170706_01_02_02,visible,P2,0.5,grid,57,40,39,0.8041237113402062,1.9653533962048153,0.06896551724137931
20170706_01_02_02,visible,P3,0.5,grid,164,131,115,0.7796610169491526,-1.3957327393871548,0.9490254872563718
20170706_01_02_02,visible,P1,1.0,continuous,24,21,20,0.8888888888888888,0.778093186911459,0.4737631184407796
20170706_01_02_02,visible,P2,1.0,continuous,57,40,39,0.8041237113402062,1.857661579286072,0.08495752123938032
20170706_01_02_02,visible,P3,1.0,continuous,164,131,117,0.7932203389830509,-0.6219960866491171,0.7891054472763618
20170706_01_02_02,visible,P1,1.0,grid,24,21,20,0.8888888888888888,0.7070961423375943,0.4927536231884058
20170706_01_02_02,visible,P2,1.0,grid,57,40,39,0.8041237113402062,1.7797188086147844,0.10294852573713144
20170706_01_02_02,visible,P3,1.0,grid,164,131,117,0.7932203389830509,-0.9628144995237697,0.8785607196401799
20170706_01_02_03,visible,P1,0.1,continuous,22,18,3,0.15,-1.0554443930520123,0.9060469765117442
20170706_01_02_03,visible,P2,0.1,continuous,60,42,22,0.43137254901960786,3.173848424539701,0.0029985007496251873
20170706_01_02_03,visible,P3,0.1,continuous,151,107,39,0.3023255813953488,2.5304463812207056,0.008995502248875561
20170706_01_02_03,visible,P1,0.1,grid,22,18,3,0.15,-2.064632128732092,1.0
20170706_01_02_03,visible,P2,0.1,grid,60,42,22,0.43137254901960786,0.9963240961120177,0.1924037981009495
20170706_01_02_03,visible,P3,0.1,grid,151,107,39,0.3023255813953488,-0.24955940158938608,0.631184407796102
20170706_01_02_03,visible,P1,0.2,continuous,22,18,11,0.55,0.1689294372152201,0.5287356321839081
20170706_01_02_03,visible,P2,0.2,continuous,60,42,33,0.6470588235294118,2.527626457545147,0.008995502248875561
20170706_01_02_03,visible,P3,0.2,continuous,151,107,65,0.5038759689922481,2.1005763344885158,0.022988505747126436
20170706_01_02_03,visible,P1,0.2,grid,22,18,11,0.55,-0.9788751785484796,0.9050474762618691
20170706_01_02_03,visible,P2,0.2,grid,60,42,33,0.6470588235294118,0.7940087607249923,0.27436281859070466
20170706_01_02_03,visible,P3,0.2,grid,151,107,65,0.5038759689922481,-0.33566921497047103,0.670664667666167
20170706_01_02_03,visible,P1,0.3,continuous,22,18,16,0.8,0.6864955049928976,0.391304347826087
20170706_01_02_03,visible,P2,0.3,continuous,60,42,36,0.7058823529411765,0.6028645652020205,0.3683158420789605
20170706_01_02_03,visible,P3,0.3,continuous,151,107,89,0.689922480620155,2.47106581966366,0.010494752623688156
20170706_01_02_03,visible,P1,0.3,grid,22,18,16,0.8,-0.09326507099046377,0.7346326836581709
20170706_01_02_03,visible,P2,0.3,grid,60,42,36,0.7058823529411765,-0.8833835544438526,0.8785607196401799
20170706_01_02_03,visible,P3,0.3,grid,151,107,89,0.689922480620155,0.848623008713257,0.2368815592203898
20170706_01_02_03,visible,P1,0.5,continuous,22,18,16,0.8,-0.6583897130750002,0.8935532233883059
20170706_01_02_03,visible,P2,0.5,continuous,60,42,38,0.7450980392156863,-0.7467737651980068,0.8715642178910544
20170706_01_02_03,visible,P3,0.5,continuous,151,107,92,0.7131782945736435,-0.6596817507714012,0.792103948025987
20170706_01_02_03,visible,P1,0.5,grid,22,18,16,0.8,-0.8858937505774512,0.9370314842578711
20170706_01_02_03,visible,P2,0.5,grid,60,42,38,0.7450980392156863,-1.1426617008104718,0.9280359820089955
20170706_01_02_03,visible,P3,0.5,grid,151,107,92,0.7131782945736435,-1.2287427200256829,0.9345327336331835
20170706_01_02_03,visible,P1,1.0,continuous,22,18,16,0.8,-0.681983793873776,0.896551724137931
20170706_01_02_03,visible,P2,1.0,continuous,60,42,38,0.7450980392156863,-1.083614897347389,0.9355322338830585
20170706_01_02_03,visible,P3,1.0,continuous,151,107,93,0.7209302325581395,-1.1374609428786717,0.9105447276361819
20170706_01_02_03,visible,P1,1.0,grid,22,18,16,0.8,-0.8396921989739521,0.9255372313843079
20170706_01_02_03,visible,P2,1.0,grid,60,42,38,0.7450980392156863,-1.3669148138716223,0.9525237381309345
20170706_01_02_03,visible,P3,1.0,grid,151,107,93,0.7209302325581395,-1.4689948512998,0.9500249875062469
20170706_03_04_01,visible,P1,0.1,continuous,19,18,6,0.32432432432432434,0.5090125646705672,0.3683158420789605
20170706_03_04_01,visible,P2,0.1,continuous,51,52,19,0.36893203883495146,1.8533212364562615,0.04547726136931534
20170706_03_04_01,visible,P3,0.1,continuous,154,157,70,0.45016077170418006,5.017069171871868,0.0004997501249375312
20170706_03_04_01,visible,P1,0.1,grid,19,18,6,0.32432432432432434,-0.29541742923660064,0.6226886556721639
20170706_03_04_01,visible,P2,0.1,grid,51,52,19,0.36893203883495146,-0.2570978732520095,0.6536731634182908
20170706_03_04_01,visible,P3,0.1,grid,154,157,70,0.45016077170418006,1.5135884061486842,0.07796101949025487
20170706_03_04_01,visible,P1,0.2,continuous,19,18,10,0.5405405405405406,0.24099014719180437,0.5092453773113443
20170706_03_04_01,visible,P2,0.2,continuous,51,52,33,0.6407766990291263,2.103131224628319,0.026986506746626688
20170706_03_04_01,visible,P3,0.2,continuous,154,157,100,0.6430868167202572,3.115221460820963,0.0029985007496251873
20170706_03_04_01,visible,P1,0.2,grid,19,18,10,0.5405405405405406,-0.6297882635941846,0.777111444277861
20170706_03_04_01,visible,P2,0.2,grid,51,52,33,0.6407766990291263,0.2128573983037256,0.52023988005997
20170706_03_04_01,visible,P3,0.2,grid,154,157,100,0.6430868167202572,0.10639227752547126,0.5092453773113443
20170706_03_04_01,visible,P1,0.3,continuous,19,18,13,0.7027027027027027,-0.10712261424433096,0.7321339330334833
20170706_03_04_01,visible,P2,0.3,continuous,51,52,41,0.7961165048543689,1.9625024327565035,0.02798600699650175
20170706_03_04_01,visible,P3,0.3,continuous,154,157,123,0.7909967845659164,2.5359825046654136,0.005497251374312844
20170706_03_04_01,visible,P1,0.3,grid,19,18,13,0.7027027027027027,-1.198102070434175,0.9455272363818091
20170706_03_04_01,visible,P2,0.3,grid,51,52,41,0.7961165048543689,0.8332414016570312,0.30484757621189407
20170706_03_04_01,visible,P3,0.3,grid,154,157,123,0.7909967845659164,0.9999805006760389,0.1984007996001999
20170706_03_04_01,visible,P1,0.5,continuous,19,18,15,0.8108108108108109,-0.1408273526849153,0.7551224387806097
20170706_03_04_01,visible,P2,0.5,continuous,51,52,42,0.8155339805825242,0.5395586087514029,0.43228385807096453
20170706_03_04_01,visible,P3,0.5,continuous,154,157,128,0.8231511254019293,1.4910712814276623,0.09895052473763119
20170706_03_04_01,visible,P1,0.5,grid,19,18,15,0.8108108108108109,-0.3510269532077368,0.8330834582708646
20170706_03_04_01,visible,P2,0.5,grid,51,52,42,0.8155339805825242,0.3403608305834928,0.544727636181909
20170706_03_04_01,visible,P3,0.5,grid,154,157,128,0.8231511254019293,1.0323005275381991,0.19590204897551225
20170706_03_04_01,visible,P1,1.0,continuous,19,18,15,0.8108108108108109,-0.5339981964507708,0.8645677161419291
20170706_03_04_01,visible,P2,1.0,continuous,51,52,42,0.8155339805825242,0.15557689086758333,0.600199900049975
20170706_03_04_01,visible,P3,1.0,continuous,154,157,129,0.8295819935691319,1.1445721395808661,0.16391804097951024
20170706_03_04_01,visible,P1,1.0,grid,19,18,15,0.8108108108108109,-0.6237397310524843,0.8925537231384307
20170706_03_04_01,visible,P2,1.0,grid,51,52,42,0.8155339805825242,-0.025406564082732105,0.6906546726636682
20170706_03_04_01,visible,P3,1.0,grid,154,157,129,0.8295819935691319,0.8369357871884529,0.2593703148425787
20170706_03_04_02,visible,P1,0.1,continuous,21,21,8,0.38095238095238093,1.1272250843767977,0.22538730634682658
20170706_03_04_02,visible,P2,0.1,continuous,55,53,22,0.4074074074074074,2.138767808261967,0.034482758620689655
20170706_03_04_02,visible,P3,0.1,continuous,153,157,62,0.4,3.6445716949291063,0.0004997501249375312
20170706_03_04_02,visible,P1,0.1,grid,21,21,8,0.38095238095238093,-0.36976755095844127,0.6946526736631684
20170706_03_04_02,visible,P2,0.1,grid,55,53,22,0.4074074074074074,0.18437757157611626,0.4542728635682159
20170706_03_04_02,visible,P3,0.1,grid,153,157,62,0.4,0.25740952967437375,0.4197901049475262
20170706_03_04_02,visible,P1,0.2,continuous,21,21,11,0.5238095238095238,-0.2769028855588702,0.719640179910045
20170706_03_04_02,visible,P2,0.2,continuous,55,53,36,0.6666666666666666,1.9556476948148005,0.038980509745127435
20170706_03_04_02,visible,P3,0.2,continuous,153,157,103,0.6645161290322581,3.6407936540240042,0.0004997501249375312
20170706_03_04_02,visible,P1,0.2,grid,21,21,11,0.5238095238095238,-2.0273816865121033,0.992503748125937
20170706_03_04_02,visible,P2,0.2,grid,55,53,36,0.6666666666666666,0.22067893950670298,0.48875562218890556
20170706_03_04_02,visible,P3,0.2,grid,153,157,103,0.6645161290322581,0.7739882211908662,0.2613693153423288
20170706_03_04_02,visible,P1,0.3,continuous,21,21,17,0.8095238095238095,0.6638896270181723,0.39480259870064965
20170706_03_04_02,visible,P2,0.3,continuous,55,53,43,0.7962962962962963,1.4502645830015286,0.10844577711144428
20170706_03_04_02,visible,P3,0.3,continuous,153,157,123,0.7935483870967742,2.8457767639411564,0.0029985007496251873
20170706_03_04_02,visible,P1,0.3,grid,21,21,17,0.8095238095238095,-0.33575586558057297,0.7991004497751124
20170706_03_04_02,visible,P2,0.3,grid,55,53,43,0.7962962962962963,0.47568436237964623,0.4007996001999001
