video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170705_03_04_01,invisible,original,P1,22,23,18,0.8,2.1827624365227245,0.048795120487951205
20170705_03_04_01,invisible,original,P2,49,61,36,0.6545454545454545,0.15703151510268482,0.5302469753024698
20170705_03_04_01,invisible,original,P3,160,153,100,0.6389776357827476,0.7539001167667476,0.2753724627537246
20170705_03_04_01,invisible,second,P1,22,19,12,0.5853658536585366,0.060927480181177586,0.6048395160483951
20170705_03_04_01,invisible,second,P2,57,49,27,0.5094339622641509,-2.062583241669187,0.9786021397860214
20170705_03_04_01,invisible,second,P3,131,130,69,0.5287356321839081,0.20373269942186673,0.46605339466053397
20170706_01_02_03,visible,original,P1,22,18,11,0.55,-0.9527601310263664,0.8991100889911009
20170706_01_02_03,visible,original,P2,60,42,33,0.6470588235294118,0.8166241096370004,0.27247275272472754
20170706_01_02_03,visible,original,P3,151,107,65,0.5038759689922481,-0.370869824425389,0.682931706829317
20170706_01_02_03,visible,second,P1,23,21,16,0.7272727272727273,0.8416961884536663,0.30226977302269775
20170706_01_02_03,visible,second,P2,54,43,30,0.6185567010309279,0.3688257888582278,0.39216078392160786
20170706_01_02_03,visible,second,P3,146,109,76,0.596078431372549,1.7331120272070102,0.042495750424957505
20170706_03_04_03,visible,original,P1,19,26,17,0.7555555555555555,1.2999565676667075,0.18048195180481952
20170706_03_04_03,visible,original,P2,58,63,47,0.7768595041322314,1.0235376529912719,0.1954804519548045
20170706_03_04_03,visible,original,P3,156,171,111,0.6788990825688074,0.6453348085892819,0.3040695930406959
20170706_03_04_03,visible,second,P1,15,22,12,0.6486486486486487,0.6414695314947841,0.4062593740625937
20170706_03_04_03,visible,second,P2,37,53,23,0.5111111111111111,-0.28510423346038444,0.6839316068393161
20170706_03_04_03,visible,second,P3,100,140,54,0.45,-0.8239150988362788,0.8236176382361764
20170706_05_06_03,visible,original,P1,25,20,13,0.5777777777777777,-0.6818543248670693,0.8288171182881712
20170706_05_06_03,visible,original,P2,59,46,36,0.6857142857142857,1.1277810441060343,0.17638236176382363
20170706_05_06_03,visible,original,P3,152,147,92,0.6153846153846154,0.321308259886158,0.42975702429757023
20170706_05_06_03,visible,second,P1,23,21,15,0.6818181818181818,0.6721284567035702,0.3555644435556444
20170706_05_06_03,visible,second,P2,50,45,26,0.5473684210526316,-0.4988706462100706,0.7563243675632437
20170706_05_06_03,visible,second,P3,127,138,74,0.5584905660377358,0.38477582825886014,0.40085991400859916
20170707_01_02_01,invisible,original,P1,27,28,23,0.8363636363636363,1.08622349318644,0.24957504249575044
20170707_01_02_01,invisible,original,P2,64,59,39,0.6341463414634146,-2.042191281751557,0.9929007099290071
20170707_01_02_01,invisible,original,P3,152,158,95,0.6129032258064516,-0.32408415757371445,0.6666333366663334
20170707_01_02_01,invisible,second,P1,26,25,18,0.7058823529411765,-0.9218925324375288,0.8936106389361064
20170707_01_02_01,invisible,second,P2,50,50,33,0.66,0.7826117669027169,0.2900709929007099
20170707_01_02_01,invisible,second,P3,124,113,65,0.5485232067510548,0.1972959132742207,0.45285471452854714
20170707_01_02_03,invisible,original,P1,29,31,21,0.7,-1.5692579538955795,0.982001799820018
20170707_01_02_03,invisible,original,P2,60,66,39,0.6190476190476191,-2.6994468753290977,0.9972002799720028
20170707_01_02_03,invisible,original,P3,168,192,123,0.6833333333333333,0.6102496138598594,0.31586841315868414
20170707_01_02_03,invisible,second,P1,25,23,16,0.6666666666666666,-0.4481832991430547,0.7611238876112388
20170707_01_02_03,invisible,second,P2,42,45,24,0.5517241379310345,0.40878013154860293,0.41305869413058693
20170707_01_02_03,invisible,second,P3,123,126,71,0.570281124497992,1.7034199525102716,0.04889511048895111
20170707_03_04_02,invisible,original,P1,23,16,12,0.6153846153846154,-0.3215248035137186,0.7507249275072493
20170707_03_04_02,invisible,original,P2,64,53,43,0.7350427350427351,1.1797670814763672,0.16298370162983702
20170707_03_04_02,invisible,original,P3,178,127,98,0.6426229508196721,1.620110306062443,0.06029397060293971
20170707_03_04_02,invisible,second,P1,20,17,11,0.5945945945945946,-0.27866132597756105,0.7279272072792721
20170707_03_04_02,invisible,second,P2,57,49,34,0.6415094339622641,0.4998027098600787,0.40975902409759024
20170707_03_04_02,invisible,second,P3,141,116,73,0.5680933852140078,1.293926538716839,0.11328867113288671
20170707_11_12_01,invisible,original,P1,20,28,16,0.6666666666666666,-0.1892517103171434,0.6996300369963003
20170707_11_12_01,invisible,original,P2,59,58,41,0.7008547008547008,-0.22599623461439777,0.6359364063593641
20170707_11_12_01,invisible,original,P3,168,159,108,0.6605504587155964,-0.324737486313358,0.6636336366363363
20170707_11_12_01,invisible,second,P1,23,24,17,0.723404255319149,0.6031638435910164,0.42285771422857715
20170707_11_12_01,invisible,second,P2,62,48,35,0.6363636363636364,-0.30835993855344673,0.7174282571742826
20170707_11_12_01,invisible,second,P3,150,142,101,0.6917808219178082,2.2947811312219164,0.017198280171982803
20170714_03_04_03,visible,original,P1,19,22,16,0.7804878048780488,1.2790354518754519,0.1546845315468453
20170714_03_04_03,visible,original,P2,41,53,31,0.6595744680851063,1.3780511193959681,0.10898910108989102
20170714_03_04_03,visible,original,P3,156,167,107,0.6625386996904025,-0.33913720079859294,0.6815318468153184
20170714_03_04_03,visible,second,P1,22,24,16,0.6956521739130435,0.2238823194733307,0.5456454354564544
20170714_03_04_03,visible,second,P2,43,50,23,0.4946236559139785,-1.150886342129479,0.8993100689931007
20170714_03_04_03,visible,second,P3,142,132,75,0.5474452554744526,-0.5824802018317732,0.7617238276172382
20170714_07_08_02,visible,original,P1,17,17,10,0.5882352941176471,-0.3712380440050459,0.7729227077292271
20170714_07_08_02,visible,original,P2,48,39,22,0.5057471264367817,-0.4783143734891312,0.7165283471652835
20170714_07_08_02,visible,original,P3,150,101,64,0.5099601593625498,-0.0045461538020044505,0.5378462153784621
20170714_07_08_02,visible,second,P1,18,16,9,0.5294117647058824,-0.636400170185101,0.8195180481951805
20170714_07_08_02,visible,second,P2,46,43,25,0.5617977528089888,0.2180928064597178,0.45855414458554145
20170714_07_08_02,visible,second,P3,134,101,53,0.451063829787234,-0.7451244106045697,0.7989201079892011
