video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170706_01_02_03,visible,original,P1,22,18,16,0.8,-0.8843074920081212,0.9373062693730627
20170706_01_02_03,visible,original,P2,60,42,38,0.7450980392156863,-1.4218701104874536,0.9566043395660434
20170706_01_02_03,visible,original,P3,151,107,93,0.7209302325581395,-1.4563546308642665,0.9521047895210479
20170706_01_02_03,visible,second,P1,27,23,21,0.84,0.19272816841250323,0.6996300369963003
20170706_01_02_03,visible,second,P2,62,45,42,0.7850467289719626,-0.13848577402107654,0.7074292570742926
20170706_01_02_03,visible,second,P3,168,116,108,0.7605633802816901,0.3143192091711063,0.47905209479052097
20170706_03_04_02,visible,original,P1,21,21,19,0.9047619047619048,1.6847108647335578,0.14388561143885611
20170706_03_04_02,visible,original,P2,55,53,44,0.8148148148148148,-0.23160097491976608,0.652034796520348
20170706_03_04_02,visible,original,P3,153,157,128,0.8258064516129032,1.0864720624839792,0.18688131186881313
20170706_03_04_02,visible,second,P1,21,25,16,0.6956521739130435,-3.1279359249773067,1.0
20170706_03_04_02,visible,second,P2,53,59,46,0.8214285714285714,0.20287025927971505,0.5181481851814819
20170706_03_04_02,visible,second,P3,151,156,119,0.7752442996742671,-0.0633991547763459,0.5776422357764224
20170706_05_06_03,visible,original,P1,25,20,19,0.8444444444444444,1.0414649158224785,0.3036696330366963
20170706_05_06_03,visible,original,P2,59,46,43,0.819047619047619,1.2624976005656623,0.19888011198880112
20170706_05_06_03,visible,original,P3,152,147,111,0.7424749163879598,-1.7372756178325819,0.9727027297270273
20170706_05_06_03,visible,second,P1,29,21,20,0.8,0.25661305853906247,0.6026397360263973
20170706_05_06_03,visible,second,P2,63,52,46,0.8,-0.1166859967713147,0.6801319868013199
20170706_05_06_03,visible,second,P3,170,156,128,0.7852760736196319,-0.713349910150189,0.8167183281671833
20170710_01_02_01,visible,original,P1,20,23,17,0.7906976744186046,-0.08212181038691661,0.7508249175082492
20170710_01_02_01,visible,original,P2,60,49,42,0.7706422018348624,-0.32431463581409264,0.7381261873812619
20170710_01_02_01,visible,original,P3,162,153,121,0.7682539682539683,0.6223127098191945,0.31616838316168383
20170710_01_02_01,visible,second,P1,24,22,20,0.8695652173913043,0.8011694812936866,0.44215578442155784
20170710_01_02_01,visible,second,P2,69,51,46,0.7666666666666667,0.61796237396542,0.39476052394760525
20170710_01_02_01,visible,second,P3,171,153,124,0.7654320987654321,0.7022892660082826,0.29227077292270776
20170710_07_08_01,visible,original,P1,2,0,0,,,
20170710_07_08_01,visible,original,P2,39,42,22,0.5432098765432098,-1.6308614790865394,0.9793020697930207
20170710_07_08_01,visible,original,P3,77,79,41,0.5256410256410257,0.8043959716027085,0.21987801219878012
20170710_07_08_01,visible,second,P1,4,3,2,0.5714285714285714,-2.408763337550313,1.0
20170710_07_08_01,visible,second,P2,41,47,25,0.5681818181818182,-1.3454645126622342,0.9187081291870813
20170710_07_08_01,visible,second,P3,86,87,48,0.5549132947976878,1.7373101312910972,0.059494050594940506
20170714_01_02_02,visible,original,P1,23,24,18,0.7659574468085106,-1.6909085920649185,0.9952004799520048
20170714_01_02_02,visible,original,P2,65,59,50,0.8064516129032258,0.11113185750527159,0.5664433556644336
20170714_01_02_02,visible,original,P3,157,198,141,0.7943661971830986,0.7125711978026934,0.30686931306869314
20170714_01_02_02,visible,second,P1,25,27,22,0.8461538461538461,0.14706869029727382,0.6178382161783822
20170714_01_02_02,visible,second,P2,58,66,46,0.7419354838709677,-1.7701837434426504,0.9842015798420158
20170714_01_02_02,visible,second,P3,162,209,144,0.7762803234501348,0.4446144514374506,0.40615938406159385
20170705_01_02_01,invisible,original,P1,15,11,10,0.7692307692307693,-0.40437348665541556,0.9146085391460854
20170705_01_02_01,invisible,original,P2,55,44,39,0.7878787878787878,0.3608594418961638,0.43525647435256476
20170705_01_02_01,invisible,original,P3,140,133,108,0.7912087912087912,0.777215577012151,0.2666733326667333
20170705_01_02_01,invisible,second,P1,13,13,9,0.6923076923076923,-0.0022251710674058922,0.6166383361663834
20170705_01_02_01,invisible,second,P2,51,49,39,0.78,-0.42972809737911144,0.7778222177782221
20170705_01_02_01,invisible,second,P3,134,132,104,0.7819548872180451,0.43003021440619227,0.40375962403759624
20170705_03_04_02,invisible,original,P1,30,26,24,0.8571428571428571,0.5330171176763265,0.45255474452554745
20170705_03_04_02,invisible,original,P2,66,54,46,0.7666666666666667,-0.2028889635379707,0.665033496650335
20170705_03_04_02,invisible,original,P3,175,170,133,0.7710144927536232,0.11243916174821383,0.4961503849615039
20170705_03_04_02,invisible,second,P1,30,27,24,0.8421052631578947,-0.7087254699701326,0.9101089891010898
20170705_03_04_02,invisible,second,P2,71,56,52,0.8188976377952756,1.7203379704978519,0.09429057094290572
20170705_03_04_02,invisible,second,P3,187,188,145,0.7733333333333333,-0.4905896886906018,0.7296270372962703
20170707_01_02_03,invisible,original,P1,29,31,24,0.8,-0.6403564231189944,0.8819118088191181
20170707_01_02_03,invisible,original,P2,60,66,50,0.7936507936507936,-0.4021680635207738,0.7619238076192381
20170707_01_02_03,invisible,original,P3,168,192,135,0.75,0.03252013393066259,0.5248475152484752
20170707_01_02_03,invisible,second,P1,35,30,27,0.8307692307692308,0.22348591215547414,0.6175382461753824
20170707_01_02_03,invisible,second,P2,66,61,51,0.8031496062992126,1.4164558473454396,0.09459054094590541
20170707_01_02_03,invisible,second,P3,182,172,133,0.751412429378531,0.013822645709203765,0.5126487351264873
20170707_11_12_01,invisible,original,P1,20,28,20,0.8333333333333334,0.7373084433956759,0.6092390760923908
20170707_11_12_01,invisible,original,P2,59,58,49,0.8376068376068376,-0.35915807187798177,0.7139286071392861
20170707_11_12_01,invisible,original,P3,168,159,133,0.8134556574923547,-0.7259294949056873,0.8085191480851914
20170707_11_12_01,invisible,second,P1,22,27,22,0.8979591836734694,2.1145462872089946,0.05399460053994601
20170707_11_12_01,invisible,second,P2,61,57,51,0.864406779661017,0.7968144107961598,0.3143685631436856
20170707_11_12_01,invisible,second,P3,171,156,135,0.8256880733944955,1.8400183968000174,0.052394760523947606
20170710_13_14_03,invisible,original,P1,28,28,24,0.8571428571428571,-0.6963384852961444,0.8786121387861214
