variable,mean_all,q2.5_all,q97.5_all,mean_nodiv,q2.5_nodiv,q97.5_nodiv,chain_mean_spread,bin_model,mean_shift
beta_state[1],-0.043125255498882006,-0.20136335,0.09296460499999991,-0.0435671612948294,-0.20253849999999998,0.09397400999999997,0.0017985509647719874,1,4.419057959473907e-4
beta_state[2],-0.043919359006185,-0.1921121,0.07623146749999996,-0.04439044630531854,-0.1929019,0.07716580999999999,0.0019921204402000084,2,4.7108729913353936e-4
beta_state[3],-0.0336312595023445,-0.16513609999999998,0.08223489249999867,-0.03380747393524457,-0.1659918,0.08416157999999997,0.0026917094263860034,3,1.7621443290006394e-4
beta_state[4],-0.017136807654992,-0.13202095,0.11163782499999984,-0.016828032298840445,-0.1331033,0.11352749999999978,0.0010734890055879957,4,-3.087753561515534e-4
beta_state[5],-0.0066458957149539526,-0.114991025,0.140487275,-0.0059671898426878695,-0.1160169,0.14150249999999995,0.0028839685912741995,5,-6.787058722660831e-4
beta_state[6],-0.0143671688053145,-0.12359072500000001,0.11872054999999979,-0.01406165300652654,-0.12432729999999999,0.12001259999999991,0.0023633677025800028,6,-3.055157987879604e-4
beta_state[7],-0.034325253133725496,-0.161845675,0.07476207499999998,-0.034587587516096786,-0.16323999999999997,0.07545721999999996,0.0023734697112400005,7,2.6233438237129036e-4
beta_state[8],-0.0426672765131615,-0.182269425,0.06245337499999994,-0.04317191157822733,-0.1839696,0.06320293999999986,0.0025739785382939973,8,5.046350650658241e-4
beta_state[9],-0.0403841961637136,-0.1755969,0.06680929999999997,-0.0408173971989515,-0.17667239999999998,0.0674642199999998,0.0017352512836139936,9,4.3320103523789705e-4
beta_state[10],-0.030377831409765,-0.161988325,0.08558526999999998,-0.030428649274329322,-0.16287780000000002,0.0866713799999998,0.0013729771468600008,10,5.081786456432105e-5
beta_state[11],-0.01087989995498,-0.132901625,0.131064025,-0.010233946662478512,-0.1338765,0.13252039999999998,0.0027400752168700027,11,-6.459532925014878e-4
beta_state[12],0.007720562979274954,-0.1158518,0.17324504999999982,0.00883309153542215,-0.116708,0.17615949999999977,0.0027263384215719996,12,-0.0011125285561471967
beta_state[13],0.0201755081868297,-0.11510752499999999,0.21725727499999997,0.021641882912465174,-0.1164321,0.2192526999999996,0.005759138823250003,13,-0.0014663747256354748
