variable,mean_all,q2.5_all,q97.5_all,mean_nodiv,q2.5_nodiv,q97.5_nodiv,chain_mean_spread,bin_model,mean_shift
beta_state[1],0.145224522688165,0.027237492500000002,0.2671968499999996,0.14531398280327643,0.0272228225,0.26743235,0.0029999520569999882,1,-8.946011511143381e-5
beta_state[2],0.14868131657665,0.0479242275,0.26031315,0.14877859182702924,0.047686454999999996,0.26047139999999996,8.025006926000167e-4,2,-9.727525037922513e-5
beta_state[3],0.14568275889005,0.048103695,0.2515622749999999,0.14539189931511962,0.0477276375,0.25176462499999996,0.0020719904437999925,3,2.908595749303855e-4
beta_state[4],0.138825180929245,0.03878761,0.241982075,0.1385370843076518,0.038637297499999994,0.24234222499999997,0.001300714371819972,4,2.8809662159320903e-4
beta_state[5],0.122075325066625,0.010915935000000003,0.21951769999999993,0.12158178951045287,0.0103179375,0.21594595,0.0021952139889400007,5,4.935355561721255e-4
beta_state[6],0.11073313599471,-0.00779770375,0.20428374999999993,0.11064540803895931,-0.007960026249999998,0.20440992500000002,0.002334588907360005,6,8.772795575069658e-5
beta_state[7],0.109644017013555,-0.01454501,0.20450119999999997,0.1095883950343028,-0.0145183575,0.20445217499999996,0.0027806441472800064,7,5.5621979252198916e-5
beta_state[8],0.11507636686437,-0.0115302525,0.21500054999999996,0.11512675255445716,-0.011331537499999999,0.2152088,0.0019160751622400024,8,-5.03856900871541e-5
beta_state[9],0.1411506187529865,0.022599900000000003,0.2525940749999999,0.14137833597013547,0.0222120825,0.25258594999999995,0.0024379205535999815,9,-2.2771721714895388e-4
beta_state[10],0.17757762721305,0.069578995,0.303300075,0.17804660008490084,0.0701097375,0.303299025,0.0023735294113999827,10,-4.689728718508257e-4
beta_state[11],0.1950742970002,0.0864191725,0.3231493499999998,0.195464505985688,0.08678845250000002,0.32328724999999997,0.0018147859091999785,11,-3.9020898548799976e-4
beta_state[12],0.228076546031,0.11196172499999998,0.37761479999999964,0.22789606322940095,0.111915825,0.3778694,0.001245563120000015,12,1.8048280159904673e-4
beta_state[13],0.244699274342,0.115978975,0.4179756499999996,0.24472510040073606,0.11598380000000001,0.418302925,0.005054549145999981,13,-2.5826058736050372e-5
