variable,mean_all,q2.5_all,q97.5_all,mean_nodiv,q2.5_nodiv,q97.5_nodiv,chain_mean_spread,bin_model,mean_shift
beta_state[1],-0.034833628581871,-0.150245875,0.06784180749999995,-0.034856437729425795,-0.15018425,0.067905825,0.0021011283556759963,1,2.2809147554793407e-5
beta_state[2],-0.0280105722168875,-0.120567375,0.06998342749999999,-0.028049505044992703,-0.12069,0.069934625,0.0024219560779859955,2,3.8932828105204403e-5
beta_state[3],-0.023442703354967148,-0.10565767499999999,0.07441269999999994,-0.02348963191159695,-0.10573674999999999,0.0744181,0.0011830179160160006,3,4.6928556629802914e-5
beta_state[4],-0.02405306887370075,-0.103856275,0.06799374249999986,-0.02412085782532409,-0.103933,0.068059775,7.166393013079975e-4,4,6.778895162333834e-5
beta_state[5],-0.025905235395563497,-0.104228775,0.0653191274999999,-0.02598229798557043,-0.104378,0.065353625,0.001376085035204002,5,7.706259000693147e-5
beta_state[6],-0.0325717172126877,-0.112697875,0.052261414999999964,-0.03263156636423703,-0.11271475,0.052300325,0.0016001277786000037,6,5.984915154932935e-5
beta_state[7],-0.0400544115904355,-0.12552012499999998,0.03817657999999994,-0.04012438718880328,-0.12554275,0.0381827,0.001599259661719997,7,6.997559836778577e-5
beta_state[8],-0.044763229665039,-0.136488275,0.03217541749999967,-0.04483817722463791,-0.136671,0.0320565,0.0019595895826199985,8,7.494755959891464e-5
beta_state[9],-0.045951628935497264,-0.13695364999999998,0.03177414249999992,-0.04604489813446456,-0.13700175,0.0312667,0.001233059591092961,9,9.326919896729402e-5
beta_state[10],-0.044459493441735,-0.1361372,0.036533444999999935,-0.04454805831134316,-0.13615175,0.036114125000000004,0.0017707709387400003,10,8.856486960816257e-5
beta_state[11],-0.042239911693243,-0.13542235000000002,0.043407499999999856,-0.04232850649111067,-0.135733,0.043422800000000004,0.0011510228770999983,11,8.859479786766516e-5
beta_state[12],-0.036010748250736996,-0.129720275,0.06126326499999993,-0.03607835225925922,-0.12976175,0.06127105,0.0019408046534700046,12,6.760400852222348e-5
beta_state[13],-0.028807743659455997,-0.132050075,0.09508212249999992,-0.02888337459861708,-0.13205975,0.095072675,0.002045966122420001,13,7.563093916108238e-5
