variable,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail,bin_model,bin_data,window_end_s,mode,condition
beta_state[1],0.15237610889975,0.151394,0.0618980102858412,0.0287818725,0.2803634749999999,1.0001342345756057,10387.526071744584,11621.441597848125,1,6,60,detrend,invisible_pair
beta_state[2],0.15728457024725,0.154742,0.05476164637638902,0.0547699525,0.27387502499999966,0.9999151213651264,12434.978315155866,14507.904255421907,2,7,70,detrend,invisible_pair
beta_state[3],0.15241543987367,0.150336,0.05241810360686527,0.05371755499999999,0.2642129249999998,1.0001970648978464,13578.261628465112,14906.97876162171,3,8,80,detrend,invisible_pair
beta_state[4],0.139368724374895,0.139084,0.05124183060709273,0.0376783025,0.24445654999999994,1.0000479756117988,14438.852002963004,16232.15628688647,4,9,90,detrend,invisible_pair
beta_state[5],0.1181762643917845,0.122267,0.05338945842996289,0.0017451417500000004,0.21257067499999985,1.0004738562398174,10279.570170596453,15047.682143428048,5,10,100,detrend,invisible_pair
beta_state[6],0.109025472771202,0.114531,0.05546135323674914,-0.01492481,0.2035100499999999,1.0005774380667765,8837.787904362822,13835.370180546564,6,11,110,detrend,invisible_pair
beta_state[7],0.108841661998445,0.114808,0.056816066011535535,-0.01722481,0.20510392499999994,1.0006423674470004,8749.9530101965,15234.64500392381,7,12,120,detrend,invisible_pair
beta_state[8],0.11837994515268001,0.12375549999999999,0.05732471157600429,-0.007794934,0.21774464999999993,1.0001132465431808,9682.359477458524,15896.99828962791,8,13,130,detrend,invisible_pair
beta_state[9],0.14916864337955,0.14974749999999998,0.056580801591747096,0.034917235000000005,0.2630813749999999,1.0000995860193678,14079.161476624542,14745.890530372382,9,14,140,detrend,invisible_pair
beta_state[10],0.1830659159145,0.179165,0.05822391239585176,0.0759912225,0.30795567499999993,1.0006464948251796,12008.451385616969,15251.692059405807,10,15,150,detrend,invisible_pair
beta_state[11],0.19818470241105,0.1947395,0.059593528926600955,0.089930625,0.3241950499999998,1.000856986794503,10987.29323702149,15902.31058370651,11,16,160,detrend,invisible_pair
beta_state[12],0.2255245283058,0.219842,0.06586304100704461,0.112775675,0.3665497749999988,1.0005034630751288,7946.320785676233,14495.919052531635,12,17,170,detrend,invisible_pair
beta_state[13],0.237084102754,0.230763,0.07505684794173352,0.110804925,0.39987902499999994,1.0004969115454363,7553.205661202341,13239.828365820897,13,18,180,detrend,invisible_pair
