variable,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail,bin_model,bin_data,window_end_s,mode,condition
beta_state[1],-0.0272740604706395,-0.0242147,0.05503844020640407,-0.14952815,0.07443065749999984,1.0000944592429668,9236.30833196852,9319.699221056233,1,6,60,detrend,visible_pair
beta_state[2],-0.01982511313517165,-0.01971605,0.04730133701131691,-0.116426475,0.07453275499999984,1.000196320472521,11174.390361947026,13880.258659933563,2,7,70,detrend,visible_pair
beta_state[3],-0.014589287763498,-0.015711,0.04495254506055462,-0.100454075,0.08104886,1.0002803060340237,12308.657795758978,15024.938196291023,3,8,80,detrend,visible_pair
beta_state[4],-0.014478022104978998,-0.0153276,0.04346310258362107,-0.0981387325,0.07616395499999984,1.0000160786002006,14853.341815143445,15631.605230066285,4,9,90,detrend,visible_pair
beta_state[5],-0.015215152467904001,-0.01614665,0.043164177929151164,-0.0976843325,0.07338392249999998,1.000100683713692,14956.911323154054,16071.582431953597,5,10,100,detrend,visible_pair
beta_state[6],-0.021851601507507503,-0.02109955,0.04262112277529952,-0.108284025,0.06026667249999996,1.0009034003764588,10074.389079656556,6782.163538846909,6,11,110,detrend,visible_pair
beta_state[7],-0.028271510613405,-0.026202299999999998,0.0430519104108438,-0.1195266,0.050885299999999994,1.0003610785480774,12488.747005070454,15301.533779823918,7,12,120,detrend,visible_pair
beta_state[8],-0.0313441075391645,-0.02838405,0.044048981556152764,-0.12684737499999998,0.04830111999999991,1.0004197564257387,9212.149648482855,9697.521067234533,8,13,130,detrend,visible_pair
beta_state[9],-0.028766733024934998,-0.0262847,0.04406023545321968,-0.123562375,0.052460947499999945,1.0008472045526875,7981.00973289425,4716.096490780207,9,14,140,detrend,visible_pair
beta_state[10],-0.0237298259320395,-0.02239845,0.04489832530147441,-0.11811524999999999,0.06126297499999996,1.0008350948671856,8487.80924038794,5715.683357341136,10,15,150,detrend,visible_pair
beta_state[11],-0.013693462311257,-0.01440025,0.0466282193859195,-0.10424145,0.08189865999999986,1.0008669946640416,7180.935090082045,1908.7003803576545,11,16,160,detrend,visible_pair
beta_state[12],-0.001907967178572499,-0.0061984499999999994,0.05186628868696105,-0.0941421625,0.11574767499999994,1.0006189570532344,9500.98892392447,4798.420822868137,12,17,170,detrend,visible_pair
beta_state[13],0.008571464577868,8.378555e-4,0.06168314539345471,-0.09487426750000001,0.15656749999999997,1.0006426096540872,6112.933803153599,1328.264861229306,13,18,180,detrend,visible_pair
