variable,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail,bin_model,bin_data,window_end_s,mode,condition
beta_state[1],0.140367885768495,0.13345249999999997,0.08182989759782879,-0.006719539249999999,0.32070177499999997,1.0001442045963282,14779.813952101293,14242.428917924566,1,6,60,diff,invisible_pair
beta_state[2],0.137346688126435,0.131045,0.07406463359957206,0.009042890000000005,0.30125147499999994,1.0001793860669606,15437.751049755054,15161.224040103007,2,7,70,diff,invisible_pair
beta_state[3],0.11872324725623,0.1163155,0.06860386310488421,-0.010840769999999998,0.2654773499999999,1.0001328753736547,17741.8976300009,16725.5141106603,3,8,80,diff,invisible_pair
beta_state[4],0.10113097616407996,0.10047400000000001,0.06835858862210734,-0.033840245,0.2440619749999995,1.000125729439858,18915.504143875794,16884.873259516804,4,9,90,diff,invisible_pair
beta_state[5],0.0659730147113455,0.0731889,0.07132441019239559,-0.09653564499999999,0.18778884999999967,1.0002514502474713,12809.351562406635,17177.650945536912,5,10,100,diff,invisible_pair
beta_state[6],0.058255836733407,0.06546495,0.07095254739847726,-0.09875060249999999,0.17916989999999983,1.0001308443544425,11877.856128534713,15893.277943740346,6,11,110,diff,invisible_pair
beta_state[7],0.04840598607190415,0.058179350000000005,0.07604101514304869,-0.123092025,0.17194062499999951,1.0000462982784089,9677.051990450187,14651.51217318375,7,12,120,diff,invisible_pair
beta_state[8],0.05820655253126,0.06707830000000001,0.07504995487433824,-0.114480025,0.18278982499999993,0.9999851708554134,11569.726721073095,15826.162357952851,8,13,130,diff,invisible_pair
beta_state[9],0.0951504387206045,0.09772405,0.07075940572131328,-0.055577789999999995,0.23474152499999962,1.0002985315825388,20548.66385192867,16445.27282639289,9,14,140,diff,invisible_pair
beta_state[10],0.1320083677576255,0.12669,0.0711851468937064,0.003441557,0.2872371249999997,1.0003365772001642,18669.8243324168,17583.19342216733,10,15,150,diff,invisible_pair
beta_state[11],0.14461466079345,0.139334,0.07096227418546569,0.0164116325,0.2963405249999997,1.0002655028070477,17605.528288553083,17806.377745425933,11,16,160,diff,invisible_pair
beta_state[12],0.1662890160093,0.1577,0.07813602675590747,0.032908215000000005,0.3366943999999998,1.0003238348675656,13543.78116680027,17236.33020543275,12,17,170,diff,invisible_pair
beta_state[13],0.1757498965244,0.166494,0.08796048042742356,0.026244932500000002,0.3704015999999997,1.0002079393331669,13168.496090515919,17781.364848937177,13,18,180,diff,invisible_pair
