variable,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail,bin_model,bin_data,window_end_s,mode,condition
beta_state[1],-0.043125255498882006,-0.0377002,0.07213753351064649,-0.20136335,0.09296460499999991,1.0058004356762302,11275.867387579206,10739.885613415383,1,6,60,diff,visible_pair
beta_state[2],-0.043919359006185,-0.037962499999999996,0.06598831686605822,-0.1921121,0.07623146749999996,1.0048897789018574,12972.819463444324,13527.727716826521,2,7,70,diff,visible_pair
beta_state[3],-0.0336312595023445,-0.03044535,0.060829136988714484,-0.16513609999999998,0.08223489249999867,1.0078176157022418,15489.807339639077,14112.90013025878,3,8,80,diff,visible_pair
beta_state[4],-0.017136807654992,-0.02061345,0.0598312231663946,-0.13202095,0.11163782499999984,1.0043478273613484,15912.319963579737,15189.906533114005,4,9,90,diff,visible_pair
beta_state[5],-0.0066458957149539526,-0.0137979,0.062398468562111446,-0.114991025,0.140487275,1.0027398196080657,13223.04348260401,13197.685198434805,5,10,100,diff,visible_pair
beta_state[6],-0.0143671688053145,-0.0190925,0.05987379237366408,-0.12359072500000001,0.11872054999999979,1.0051779752802152,15805.585827058492,14949.194257816966,6,11,110,diff,visible_pair
beta_state[7],-0.034325253133725496,-0.030353650000000003,0.058864446707471686,-0.161845675,0.07476207499999998,1.00792900278219,14873.5162559295,13565.730448983577,7,12,120,diff,visible_pair
beta_state[8],-0.0426672765131615,-0.0363255,0.060915599126134125,-0.182269425,0.06245337499999994,1.0047155625372068,12951.730771554508,14168.728025948034,8,13,130,diff,visible_pair
beta_state[9],-0.0403841961637136,-0.03457035,0.06073289026818518,-0.1755969,0.06680929999999997,1.005453085508265,12535.741789541185,14663.571380040845,9,14,140,diff,visible_pair
beta_state[10],-0.030377831409765,-0.0280429,0.06052365085758134,-0.161988325,0.08558526999999998,1.0084841213472606,16282.486915603491,16240.615765393712,10,15,150,diff,visible_pair
beta_state[11],-0.01087989995498,-0.01497305,0.0644539623863175,-0.132901625,0.131064025,1.0040081530797123,15612.762913584475,15553.152863177538,11,16,160,diff,visible_pair
beta_state[12],0.007720562979274954,-0.0017909900000000001,0.07164781468954767,-0.1158518,0.17324504999999982,1.0010015447263816,12072.481689954702,14065.776082189343,12,17,170,diff,visible_pair
beta_state[13],0.0201755081868297,0.006356085,0.08265844646211055,-0.11510752499999999,0.21725727499999997,1.0011998107724966,10882.357418764916,14264.282988678491,13,18,180,diff,visible_pair
