variable,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail,bin_model,bin_data,window_end_s,mode,condition
beta_state[1],0.145224522688165,0.14479550000000002,0.059915438516687756,0.027237492500000002,0.2671968499999996,1.0009781892879064,11909.729537329962,11759.41887479131,1,6,60,raw,invisible_pair
beta_state[2],0.14868131657665,0.1469475,0.052706728006884515,0.0479242275,0.26031315,1.0001391348627924,15367.017212304441,16180.33761677827,2,7,70,raw,invisible_pair
beta_state[3],0.14568275889005,0.144435,0.051092991652044124,0.048103695,0.2515622749999999,1.0001605074350102,13268.356417253946,15647.240069132993,3,8,80,raw,invisible_pair
beta_state[4],0.138825180929245,0.13829550000000002,0.050671183611783,0.03878761,0.241982075,0.9999511960325951,15096.318036054869,17141.783956644067,4,9,90,raw,invisible_pair
beta_state[5],0.122075325066625,0.1248255,0.05147118269658273,0.010915935000000003,0.21951769999999993,1.0003665047487735,7559.10972822551,2120.4513737943084,5,10,100,raw,invisible_pair
beta_state[6],0.11073313599471,0.11577,0.05350124532062065,-0.00779770375,0.20428374999999993,1.0003175458017792,10415.233723514464,13495.440101783284,6,11,110,raw,invisible_pair
beta_state[7],0.109644017013555,0.115159,0.05507818495068907,-0.01454501,0.20450119999999997,1.0004370922734982,9008.483197648256,12517.960265641765,7,12,120,raw,invisible_pair
beta_state[8],0.11507636686437,0.120377,0.05709819192317081,-0.0115302525,0.21500054999999996,1.0003101272721475,9434.563641587147,12435.735569325967,8,13,130,raw,invisible_pair
beta_state[9],0.1411506187529865,0.14284,0.05714828376409418,0.022599900000000003,0.2525940749999999,1.0007137737681402,13418.481486788327,13084.078961621564,9,14,140,raw,invisible_pair
beta_state[10],0.17757762721305,0.1740585,0.05906348183432347,0.069578995,0.303300075,1.000951761158892,9620.163589369948,3262.9398528942165,10,15,150,raw,invisible_pair
beta_state[11],0.1950742970002,0.191693,0.060104669712529,0.0864191725,0.3231493499999998,1.000322084460783,11414.366030856998,13456.210827274965,11,16,160,raw,invisible_pair
beta_state[12],0.228076546031,0.2225255,0.06871794987741046,0.11196172499999998,0.37761479999999964,1.0001406119239704,10420.932726554152,15381.512508486625,12,17,170,raw,invisible_pair
beta_state[13],0.244699274342,0.236847,0.07809680915965413,0.115978975,0.4179756499999996,1.0006379961552678,9939.390596453028,13706.82206696841,13,18,180,raw,invisible_pair
