variable,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail,bin_model,bin_data,window_end_s,mode,condition
beta_state[1],-0.034833628581871,-0.0338049,0.053358670070095066,-0.150245875,0.06784180749999995,1.0001613844129502,16373.655500197181,12231.28039336349,1,6,60,raw,visible_pair
beta_state[2],-0.0280105722168875,-0.029143099999999998,0.04691380982441544,-0.120567375,0.06998342749999999,1.0002565722766963,19010.72708016781,15993.285606923291,2,7,70,raw,visible_pair
beta_state[3],-0.023442703354967148,-0.026146700000000002,0.04471443651894683,-0.10565767499999999,0.07441269999999994,1.00002163565161,18330.783119418342,16951.336638846995,3,8,80,raw,visible_pair
beta_state[4],-0.02405306887370075,-0.026470300000000002,0.042884456036096634,-0.103856275,0.06799374249999986,0.9999243214784225,19636.560278337998,15174.116569751104,4,9,90,raw,visible_pair
beta_state[5],-0.025905235395563497,-0.02793975,0.04248730067986193,-0.104228775,0.0653191274999999,1.0000836327936031,20763.704200499436,17596.616290957558,5,10,100,raw,visible_pair
beta_state[6],-0.0325717172126877,-0.0334398,0.04140178720784377,-0.112697875,0.052261414999999964,1.0001288125925814,22301.929190488652,18435.91002434228,6,11,110,raw,visible_pair
beta_state[7],-0.0400544115904355,-0.0392402,0.04139193416680794,-0.12552012499999998,0.03817657999999994,1.0001899442647524,21043.91432550972,14709.539075199327,7,12,120,raw,visible_pair
beta_state[8],-0.044763229665039,-0.0428777,0.04211774846667736,-0.136488275,0.03217541749999967,1.0001572841091042,19245.50157264539,14971.279203437041,8,13,130,raw,visible_pair
beta_state[9],-0.045951628935497264,-0.04397885,0.04218053031102225,-0.13695364999999998,0.03177414249999992,1.0001786839342879,18905.261956077356,14862.507563406245,9,14,140,raw,visible_pair
beta_state[10],-0.044459493441735,-0.04286575,0.04272671333847788,-0.1361372,0.036533444999999935,1.000170320862744,19974.381342035682,15403.515447141966,10,15,150,raw,visible_pair
beta_state[11],-0.042239911693243,-0.040774000000000005,0.04426942370471073,-0.13542235000000002,0.043407499999999856,1.0000208876873293,20033.879017747586,13759.965057382207,11,16,160,raw,visible_pair
beta_state[12],-0.036010748250736996,-0.0362974,0.046962769092059285,-0.129720275,0.06126326499999993,1.0002040620120678,21185.259014043815,17284.62131294439,12,17,170,raw,visible_pair
beta_state[13],-0.028807743659455997,-0.03179165,0.055083643184040604,-0.132050075,0.09508212249999992,1.0000406774213744,20540.417826054058,16143.038221090099,13,18,180,raw,visible_pair
