"mode","bin_model","bin_data","window_end_s","mean_beta_invisible_bin","mean_beta_visible_bin","delta_mean","delta_q2.5","delta_q97.5","p_delta_gt0","cri_excl_zero"
"raw",1,6,60,0.145224522688166,-0.0348336285818709,0.180058151270036,0.0257905075,0.344290225,0.98755,1
"raw",2,7,70,0.148681316576651,-0.0280105722168876,0.176691888793537,0.0392112425,0.318464275,0.9929,1
"raw",3,8,80,0.14568275889005,-0.0234427033549672,0.169125462245017,0.033353232,0.3035601825,0.99145,1
"raw",4,9,90,0.138825180929245,-0.0240530688737008,0.162878249802945,0.03028206775,0.2938063125,0.9903,1
"raw",5,10,100,0.122075325066625,-0.0259052353955634,0.147980560462188,0.0100985255,0.2730137625,0.98245,1
"raw",6,11,110,0.11073313599471,-0.0325717172126878,0.143304853207399,0.0021218175,0.2684185475,0.97645,1
"raw",7,12,120,0.109644017013555,-0.0400544115904355,0.149698428603991,0.0049549605,0.279343125,0.97815,1
"raw",8,13,130,0.115076366864369,-0.044763229665039,0.159839596529408,0.0096740075,0.2946611475,0.9806,1
"raw",9,14,140,0.141150618752987,-0.0459516289354972,0.187102247688484,0.0456118975,0.327542925,0.99425,1
"raw",10,15,150,0.17757762721305,-0.0444594934417349,0.222037120654785,0.084482135,0.372590735,0.99895,1
"raw",11,16,160,0.1950742970002,-0.042239911693243,0.237314208693443,0.096426215,0.39118321,0.99925,1
"raw",12,17,170,0.228076546031,-0.036010748250737,0.264087294281736,0.11121010375,0.439451245,0.9996,1
"raw",13,18,180,0.244699274342001,-0.0288077436594558,0.273507018001456,0.0950291485,0.4716318425,0.99795,1
"detrend",1,6,60,0.15237610889975,-0.0272740604706394,0.179650169370389,0.019780815,0.35311573,0.98575,1
"detrend",2,7,70,0.15728457024725,-0.0198251131351717,0.177109683382421,0.0383683275,0.3245253425,0.9929,1
"detrend",3,8,80,0.152415439873671,-0.014589287763498,0.167004727637168,0.0322959575,0.30639481,0.9907,1
"detrend",4,9,90,0.139368724374895,-0.0144780221049791,0.153846746479874,0.017935295,0.2865457475,0.9855,1
"detrend",5,10,100,0.118176264391784,-0.0152151524679041,0.133391416859688,-0.011179473,0.2586898725,0.9666,0
"detrend",6,11,110,0.109025472771203,-0.0218516015075074,0.13087707427871,-0.01526791825,0.260487475,0.9621,0
"detrend",7,12,120,0.108841661998445,-0.0282715106134051,0.13711317261185,-0.01044869,0.271096345,0.9666,0
"detrend",8,13,130,0.11837994515268,-0.0313441075391645,0.149724052691846,0.000718674999999997,0.288790685,0.97565,1
"detrend",9,14,140,0.149168643379551,-0.028766733024935,0.177935376404485,0.0381786825,0.323641075,0.9931,1
"detrend",10,15,150,0.1830659159145,-0.0237298259320396,0.20679574184654,0.0675757825,0.3600255675,0.9976,1
"detrend",11,16,160,0.19818470241105,-0.0136934623112572,0.211878164722308,0.067383805,0.364477324999999,0.99715,1
"detrend",12,17,170,0.225524528305799,-0.00190796717857251,0.227432495484372,0.0657975975,0.3977131726,0.9955,1
"detrend",13,18,180,0.237084102754,0.00857146457786803,0.228512638176132,0.035669765,0.4232615625,0.98735,1
"diff",1,6,60,0.140367885768495,-0.043125255498882,0.183493141267377,-0.0159734175,0.41946235,0.96465,0
"diff",2,7,70,0.137346688126435,-0.0439193590061849,0.181266047132619,0.000717334249999998,0.397850325,0.97565,1
"diff",3,8,80,0.11872324725623,-0.0336312595023445,0.152354506758573,-0.02078951475,0.3421777,0.9589,0
"diff",4,9,90,0.101130976164079,-0.017136807654992,0.118267783819073,-0.06196399,0.29729386,0.9095,0
"diff",5,10,100,0.0659730147113455,-0.00664589571495393,0.0726189104262987,-0.1370970675,0.239355895,0.8,0
"diff",6,11,110,0.0582558367334069,-0.0143671688053145,0.0726230055387216,-0.12794308525,0.2387160345,0.79775,0
"diff",7,12,120,0.0484059860719041,-0.0343252531337254,0.0827312392056302,-0.11839661,0.2630878875,0.8143,0
"diff",8,13,130,0.05820655253126,-0.0426672765131612,0.100873829044421,-0.09879863125,0.2899444525,0.8582,0
"diff",9,14,140,0.0951504387206042,-0.0403841961637137,0.135534634884319,-0.0506800775,0.32790375,0.92975,0
"diff",10,15,150,0.132008367757626,-0.0303778314097652,0.16238619916739,-0.014266465,0.3626175225,0.96445,0
"diff",11,16,160,0.14461466079345,-0.0108798999549799,0.155494560748429,-0.0370415575,0.3506094425,0.94965,0
"diff",12,17,170,0.1662890160093,0.00772056297927498,0.158568453030025,-0.0555689625,0.368800637499999,0.93575,0
"diff",13,18,180,0.175749896524401,0.0201755081868297,0.155574388337569,-0.0905255025,0.39207103125,0.9051,0
