condition,dyad_id,micro_P3_zS,n_sessions,macro_real,n_windows_real,macro_shuffled,n_windows_shuf,macro_index
invisible,20170705_01_02,-0.4863424149358694,3,0.18407850829423766,39,-0.01403319776377001,351,0.19811170605800768
invisible,20170705_03_04,0.6976543506723432,3,0.18766730703792553,39,0.036029437267257866,351,0.15163786977066768
invisible,20170707_01_02,-0.14715514373452823,3,0.05262188088227221,39,0.015050598929637633,351,0.03757128195263458
invisible,20170707_03_04,-1.0841187694873602,3,0.535938980866019,39,0.13248096634734158,351,0.4034580145186774
invisible,20170707_05_06,-0.9487583065072733,3,0.12176979951192593,39,0.11817040832339189,351,0.003599391188534043
invisible,20170707_07_08,0.6792976411595768,3,0.023269966247545678,39,0.03370322633348027,351,-0.010433260085934589
invisible,20170707_09_10,-0.4907765623311211,3,0.08087011454004382,39,-3.5727070319860126e-4,351,0.08122738524324243
invisible,20170707_11_12,-0.6135183173811782,3,0.2699168180741258,39,0.002957326537340401,351,0.26695949153678544
invisible,20170710_13_14,-0.9795189047867318,3,0.07335386936420461,39,0.11133234484115097,351,-0.037978475476946355
invisible,20170710_15_16,-0.9252206682421793,3,0.4883152876062867,39,0.02764041213051876,351,0.4606748754757679
visible,20170706_01_02,-0.6715703667095427,3,0.023339644809978865,39,0.027973336266096632,348,-0.004633691456117767
visible,20170706_03_04,1.2121038763771061,3,0.1281465724525513,39,0.07300683319831547,348,0.05513973925423582
visible,20170706_05_06,0.15189885129121566,3,-0.13997285055653624,39,0.12245192545397761,348,-0.26242477601051384
visible,20170706_11_12,0.5136901418560151,3,0.2977560053354655,39,0.17969916320070725,348,0.11805684213475823
visible,20170710_01_02,1.726446193110491,3,0.2111326762957554,39,0.10500455665721031,348,0.1061281196385451
visible,20170710_07_08,0.38475124677320915,3,0.06051510025032653,36,0.03818530200269971,351,0.02232979824762682
visible,20170714_01_02,0.3071296527241414,3,-0.18845933291192674,39,0.02143975678071727,348,-0.209899089692644
visible,20170714_03_04,-0.21782249392221895,3,0.06844990874735629,39,0.05909029629372633,348,0.009359612453629963
visible,20170714_05_06,0.6024973715690789,3,0.2099968794664534,39,0.00902732262553807,348,0.20096955684091533
visible,20170714_07_08,-0.23275341773707225,3,-0.3104947750593087,39,0.07021305305503941,348,-0.3807078281143481
