delta,condition,dyad_id,session,pair_id,z_S,p_S,p_holm_within_dyad,p_bh_within_family
0.1,invisible,20170705_01_02,1,20170705_01_02_01,1.3577677111240398,0.1082891710828917,0.3248675132486751,0.8121687831216877
0.1,invisible,20170705_01_02,2,20170705_01_02_02,-2.7443358943697422,0.995900409959004,1.0,0.995900409959004
0.1,invisible,20170705_01_02,3,20170705_01_02_03,-0.3890493400143447,0.6714328567143286,1.0,0.995900409959004
0.1,invisible,20170705_03_04,1,20170705_03_04_01,1.524905621727524,0.0720927907209279,0.1441855814418558,0.720927907209279
0.1,invisible,20170705_03_04,2,20170705_03_04_02,0.3775299546693682,0.3827617238276172,0.3827617238276172,0.995900409959004
0.1,invisible,20170705_03_04,3,20170705_03_04_03,2.190915699283289,0.0191980801919808,0.057594240575942396,0.575942405759424
0.1,invisible,20170707_01_02,1,20170707_01_02_01,0.4458122029965812,0.3580641935806419,1.0,0.995900409959004
0.1,invisible,20170707_01_02,2,20170707_01_02_02,-0.3713092234359519,0.650934906509349,1.0,0.995900409959004
0.1,invisible,20170707_01_02,3,20170707_01_02_03,-1.793341606832194,0.9627037296270372,1.0,0.995900409959004
0.1,invisible,20170707_03_04,1,20170707_03_04_01,0.5045772145938547,0.320967903209679,0.9629037096290369,0.995900409959004
0.1,invisible,20170707_03_04,2,20170707_03_04_02,-1.975017085880986,0.984001599840016,1.0,0.995900409959004
0.1,invisible,20170707_03_04,3,20170707_03_04_03,-1.0357441574796715,0.8665133486651335,1.0,0.995900409959004
0.1,invisible,20170707_05_06,1,20170707_05_06_01,0.2161408191474966,0.4408559144085591,1.0,0.995900409959004
0.1,invisible,20170707_05_06,2,20170707_05_06_02,-1.1364008575650058,0.8847115288471152,1.0,0.995900409959004
0.1,invisible,20170707_05_06,3,20170707_05_06_03,-2.274598892628021,0.99000099990001,1.0,0.995900409959004
0.1,invisible,20170707_07_08,1,20170707_07_08_01,0.99585196870635,0.178982101789821,0.357964203579642,0.894910508949105
0.1,invisible,20170707_07_08,2,20170707_07_08_02,-1.6129519753849753,0.9547045295470452,0.9547045295470452,0.995900409959004
0.1,invisible,20170707_07_08,3,20170707_07_08_03,1.5144277237282446,0.0698930106989301,0.20967903209679029,0.720927907209279
0.1,invisible,20170707_09_10,1,20170707_09_10_01,0.34710891152967,0.3880611938806119,1.0,0.995900409959004
0.1,invisible,20170707_09_10,2,20170707_09_10_02,-0.5111230413152175,0.7105289471052895,1.0,0.995900409959004
0.1,invisible,20170707_09_10,3,20170707_09_10_03,0.067990844303493,0.4955504449555044,1.0,0.995900409959004
0.1,invisible,20170707_11_12,1,20170707_11_12_01,-1.60926191935627,0.9546045395460454,1.0,0.995900409959004
0.1,invisible,20170707_11_12,2,20170707_11_12_02,0.6628801775898631,0.2864713528647135,0.8594140585941404,0.995900409959004
0.1,invisible,20170707_11_12,3,20170707_11_12_03,-0.1693733774483076,0.5912408759124088,1.0,0.995900409959004
0.1,invisible,20170710_13_14,1,20170710_13_14_01,-1.4311622462927918,0.9285071492850716,1.0,0.995900409959004
0.1,invisible,20170710_13_14,2,20170710_13_14_02,1.148016507064019,0.1501849815018498,0.45055494450554945,0.894910508949105
0.1,invisible,20170710_13_14,3,20170710_13_14_03,-2.29447749333928,0.9873012698730128,1.0,0.995900409959004
0.1,invisible,20170710_15_16,1,20170710_15_16_01,-1.302202685200076,0.9157084291570844,1.0,0.995900409959004
0.1,invisible,20170710_15_16,2,20170710_15_16_02,-0.4786211877739421,0.7124287571242875,1.0,0.995900409959004
0.1,invisible,20170710_15_16,3,20170710_15_16_03,0.1401391538313933,0.4818518148185181,1.0,0.995900409959004
0.1,visible,20170706_01_02,1,20170706_01_02_01,-0.7020681614019687,0.7728227177282272,1.0,0.8586919085869191
0.1,visible,20170706_01_02,2,20170706_01_02_02,0.5672327191868229,0.3054694530546945,0.9164083591640835,0.6680760495379032
0.1,visible,20170706_01_02,3,20170706_01_02_03,-0.4106441716680083,0.675032496750325,1.0,0.81003899610039
0.1,visible,20170706_03_04,1,20170706_03_04_01,0.9538986619968878,0.1878812118788121,0.3757624237576242,0.6680760495379032
0.1,visible,20170706_03_04,2,20170706_03_04_02,0.1206975208303007,0.4676532346765323,0.4676532346765323,0.6680760495379032
0.1,visible,20170706_03_04,3,20170706_03_04_03,1.6458802236914212,0.0596940305969403,0.1790820917908209,0.6309369063093689
0.1,visible,20170706_05_06,1,20170706_05_06_01,0.2365922909903857,0.4237576242375762,1.0,0.6680760495379032
0.1,visible,20170706_05_06,2,20170706_05_06_02,0.2460286830270619,0.4261573842615738,1.0,0.6680760495379032
0.1,visible,20170706_05_06,3,20170706_05_06_03,-0.0104404886087729,0.5394460553944606,1.0,0.7036252896449485
0.1,visible,20170706_11_12,1,20170706_11_12_01,1.4094840173131122,0.0941905809419058,0.1883811618838116,0.6680760495379032
0.1,visible,20170706_11_12,2,20170706_11_12_02,1.7385553886445044,0.0503949605039496,0.1511848815118488,0.6309369063093689
0.1,visible,20170706_11_12,3,20170706_11_12_03,-0.89537061367183,0.8416158384161584,0.8416158384161584,0.8706370742236121
0.1,visible,20170710_01_02,1,20170710_01_02_01,1.6175219486201482,0.0630936906309369,0.18928107189281068,0.6309369063093689
0.1,visible,20170710_01_02,2,20170710_01_02_02,1.1238407740854637,0.1567843215678432,0.3135686431356864,0.6680760495379032
0.1,visible,20170710_01_02,3,20170710_01_02_03,0.994505836705116,0.1772822717728227,0.3135686431356864,0.6680760495379032
0.1,visible,20170710_07_08,1,20170710_07_08_01,0.3917040724880901,0.3713628637136286,1.0,0.6680760495379032
0.1,visible,20170710_07_08,2,20170710_07_08_02,0.3519716916684047,0.3601639836016398,1.0,0.6680760495379032
0.1,visible,20170710_07_08,3,20170710_07_08_03,0.3676583283559269,0.3942605739426057,1.0,0.6680760495379032
0.1,visible,20170714_01_02,1,20170714_01_02_01,0.1955878912848994,0.4548545145485451,0.9536046395360462,0.6680760495379032
0.1,visible,20170714_01_02,2,20170714_01_02_02,0.4160825239734994,0.3664633536646335,0.9536046395360462,0.6680760495379032
0.1,visible,20170714_01_02,3,20170714_01_02_03,0.5563990084602126,0.3178682131786821,0.9536046395360462,0.6680760495379032
0.1,visible,20170714_03_04,1,20170714_03_04_01,-0.5363554643297529,0.7217278272172782,1.0,0.832762877558398
0.1,visible,20170714_03_04,2,20170714_03_04_02,-0.9332962542089288,0.831916808319168,1.0,0.8706370742236121
0.1,visible,20170714_03_04,3,20170714_03_04_03,0.951880830548134,0.1821817818218178,0.5465453454654534,0.6680760495379032
0.1,visible,20170714_05_06,1,20170714_05_06_01,0.4485027440565853,0.3494650534946505,0.8537146285371462,0.6680760495379032
0.1,visible,20170714_05_06,2,20170714_05_06_02,-0.0074100873023904,0.5244475552444755,0.8537146285371462,0.7036252896449485
0.1,visible,20170714_05_06,3,20170714_05_06_03,0.6410707051759195,0.2845715428457154,0.8537146285371462,0.6680760495379032
0.1,visible,20170714_07_08,1,20170714_07_08_01,-1.2965617218387857,0.907909209079092,1.0,0.907909209079092
0.1,visible,20170714_07_08,2,20170714_07_08_02,0.4775925490509675,0.3364663533646635,1.0,0.6680760495379032
0.1,visible,20170714_07_08,3,20170714_07_08_03,-0.1758358443450324,0.601039896010399,1.0,0.7512998700129988
0.2,invisible,20170705_01_02,1,20170705_01_02_01,-0.2811407473351536,0.6499350064993501,1.0,0.9733026697330268
0.2,invisible,20170705_01_02,2,20170705_01_02_02,-1.02729384437978,0.8680131986801319,1.0,0.9733026697330268
0.2,invisible,20170705_01_02,3,20170705_01_02_03,-0.1062929180947976,0.5860413958604139,1.0,0.9733026697330268
0.2,invisible,20170705_03_04,1,20170705_03_04_01,1.1293751474172242,0.1480851914808519,0.4442555744425557,0.9733026697330268
0.2,invisible,20170705_03_04,2,20170705_03_04_02,0.2791695571937727,0.4253574642535746,0.6137386261373862,0.9733026697330268
0.2,invisible,20170705_03_04,3,20170705_03_04_03,0.6182859577055759,0.3068693130686931,0.6137386261373862,0.9733026697330268
0.2,invisible,20170707_01_02,1,20170707_01_02_01,-0.8110923562472145,0.807019298070193,1.0,0.9733026697330268
0.2,invisible,20170707_01_02,2,20170707_01_02_02,-0.526453409286803,0.7213278672132787,1.0,0.9733026697330268
0.2,invisible,20170707_01_02,3,20170707_01_02_03,-1.1942189187758323,0.9104089591040896,1.0,0.9733026697330268
0.2,invisible,20170707_03_04,1,20170707_03_04_01,-0.0409069664926903,0.5552444755524447,1.0,0.9733026697330268
0.2,invisible,20170707_03_04,2,20170707_03_04_02,1.8819139729237555,0.0364963503649635,0.1094890510948905,0.5474452554744526
0.2,invisible,20170707_03_04,3,20170707_03_04_03,0.0504413659169841,0.5275472452754725,1.0,0.9733026697330268
0.2,invisible,20170707_05_06,1,20170707_05_06_01,-1.0926297413822568,0.8707129287071292,1.0,0.9733026697330268
0.2,invisible,20170707_05_06,2,20170707_05_06_02,-0.9963936893780933,0.8518148185181482,1.0,0.9733026697330268
0.2,invisible,20170707_05_06,3,20170707_05_06_03,-1.122388287667001,0.8831116888311169,1.0,0.9733026697330268
0.2,invisible,20170707_07_08,1,20170707_07_08_01,1.8852461165223495,0.0351964803519648,0.1055894410558944,0.5474452554744526
0.2,invisible,20170707_07_08,2,20170707_07_08_02,-1.920904263075011,0.9652034796520348,1.0,0.9733026697330268
0.2,invisible,20170707_07_08,3,20170707_07_08_03,-0.0292462703698837,0.5705429457054294,1.0,0.9733026697330268
0.2,invisible,20170707_09_10,1,20170707_09_10_01,-0.1171808624971879,0.5615438456154385,1.0,0.9733026697330268
0.2,invisible,20170707_09_10,2,20170707_09_10_02,-1.244933177439718,0.9211078892110788,1.0,0.9733026697330268
0.2,invisible,20170707_09_10,3,20170707_09_10_03,-0.3547910984829469,0.6722327767223277,1.0,0.9733026697330268
0.2,invisible,20170707_11_12,1,20170707_11_12_01,-0.6538679070436249,0.771022897710229,0.771022897710229,0.9733026697330268
0.2,invisible,20170707_11_12,2,20170707_11_12_02,1.2133116411448586,0.1264873512648735,0.3794620537946205,0.9733026697330268
0.2,invisible,20170707_11_12,3,20170707_11_12_03,0.9284398302850116,0.2020797920207979,0.4041595840415958,0.9733026697330268
0.2,invisible,20170710_13_14,1,20170710_13_14_01,-1.5846677920339909,0.9543045695430457,1.0,0.9733026697330268
0.2,invisible,20170710_13_14,2,20170710_13_14_02,0.4211421149618772,0.3753624637536246,1.0,0.9733026697330268
0.2,invisible,20170710_13_14,3,20170710_13_14_03,-0.6302972602457476,0.7698230176982301,1.0,0.9733026697330268
0.2,invisible,20170710_15_16,1,20170710_15_16_01,-1.8316749568808943,0.9733026697330268,1.0,0.9733026697330268
0.2,invisible,20170710_15_16,2,20170710_15_16_02,-0.5664519224577835,0.7597240275972402,1.0,0.9733026697330268
0.2,invisible,20170710_15_16,3,20170710_15_16_03,-0.190477506138522,0.6004399560043996,1.0,0.9733026697330268
0.2,visible,20170706_01_02,1,20170706_01_02_01,-0.9334014083836066,0.8571142885711429,1.0,0.8998065710670313
0.2,visible,20170706_01_02,2,20170706_01_02_02,1.7337602601705375,0.0406959304069593,0.1220877912208779,0.311968803119688
0.2,visible,20170706_01_02,3,20170706_01_02_03,-0.1712387152738881,0.6078392160783922,1.0,0.8357914208579142
0.2,visible,20170706_03_04,1,20170706_03_04_01,-0.1063839459582194,0.579042095790421,0.9965003499650034,0.8357914208579142
0.2,visible,20170706_03_04,2,20170706_03_04_02,0.0461413294567622,0.4982501749825017,0.9965003499650034,0.8357914208579142
0.2,visible,20170706_03_04,3,20170706_03_04_03,1.3778047216069542,0.0892910708929107,0.2678732126787321,0.44645535446455353
0.2,visible,20170706_05_06,1,20170706_05_06_01,1.8224976035968148,0.0415958404159584,0.1247875212478752,0.311968803119688
0.2,visible,20170706_05_06,2,20170706_05_06_02,0.4280852774560201,0.3661633836616338,0.6493350664933506,0.8357914208579142
0.2,visible,20170706_05_06,3,20170706_05_06_03,0.5467741511434864,0.3246675332466753,0.6493350664933506,0.8357914208579142
0.2,visible,20170706_11_12,1,20170706_11_12_01,1.1168537739220372,0.1514848515148485,0.302969703029697,0.6492207922064936
0.2,visible,20170706_11_12,2,20170706_11_12_02,2.0611740553199778,0.0241975802419758,0.0725927407259274,0.311968803119688
0.2,visible,20170706_11_12,3,20170706_11_12_03,-0.2705986430159638,0.6332366763323668,0.6332366763323668,0.8357914208579142
0.2,visible,20170710_01_02,1,20170710_01_02_01,0.0966081816512605,0.5227477252274773,0.5227477252274773,0.8357914208579142
0.2,visible,20170710_01_02,2,20170710_01_02_02,2.888856822102805,0.0034996500349965,0.0104989501049895,0.104989501049895
