delta,condition,raw_ge1,raw_ge2,raw_ge3,holm_ge1,holm_ge2,holm_ge3,bh_ge1,bh_ge2,bh_ge3,n_dyads,binom_p_ge1_vs_chance
0.1,invisible,1,0,0,0,0,0,0,0,0,10,0.7853612360570627
0.1,visible,0,0,0,0,0,0,0,0,0,10,0.9999999999999999
0.2,invisible,2,0,0,0,0,0,0,0,0,10,0.4283079780618861
0.2,visible,4,0,0,1,0,0,0,0,0,10,0.04245855545887354
0.3,invisible,0,0,0,0,0,0,0,0,0,10,0.9999999999999999
0.3,visible,1,0,0,0,0,0,0,0,0,10,0.7853612360570627
0.5,invisible,2,0,0,1,0,0,0,0,0,10,0.4283079780618861
0.5,visible,1,0,0,1,0,0,0,0,0,10,0.7853612360570627
1.0,invisible,1,0,0,0,0,0,0,0,0,10,0.7853612360570627
1.0,visible,3,1,0,1,0,0,0,0,0,10,0.16102558220589597
