Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28
1,2.9,3.9,6.5,7,7.5,8.1,8.6,9.1,9.7,10.2,10.7,11.2,11.7,12,12.5,13,13.4,13.9,14.3,14.8,15.2,15.7,16.3,16.8,17.4,17.8,18.4,18.9
2,21.2,21.7,22.2,22.8,23.5,23.9,24.3,24.9,25.5,26.1,26.5,27,,,,,,,,,,,,,,,,
3,29.1,29.9,30.3,30.8,31.2,31.7,32.2,32.6,32.9,33.4,34,34.6,35.1,35.6,36.2,36.7,37.2,,,,,,,,,,,
4,38.7,39.2,39.7,40.5,41.4,41.9,42.3,42.8,43.2,43.6,44.1,,,,,,,,,,,,,,,,,
5,45.1,46.4,46.8,47.3,47.9,48.5,49.3,49.7,50.2,50.6,51,51.5,52.1,52.5,53.2,53.6,54.1,,,,,,,,,,,
6,55.7,56.4,56.9,57.3,58,,,,,,,,,,,,,,,,,,,,,,,
7,59.3,59.8,60.4,60.8,61.3,61.6,62.1,62.6,,,,,,,,,,,,,,,,,,,,
8,63.6,64,64.4,64.7,65.2,65.6,66.1,66.4,67,67.5,67.9,,,,,,,,,,,,,,,,,
9,70.6,71.2,71.8,72.3,72.9,73.3,73.8,74.3,74.7,75.3,75.6,76.1,76.7,77.1,77.6,,,,,,,,,,,,,
10,78.3,79,79.8,80.5,80.8,81.4,82.2,82.8,83.2,83.9,,,,,,,,,,,,,,,,,,
11,85.2,85.9,86.5,86.9,87.3,87.8,88.4,89,89.7,90.5,,,,,,,,,,,,,,,,,,
12,92.7,93.3,94.1,94.8,95.2,95.7,96.2,96.7,97.2,97.7,98.2,98.7,99.1,99.6,100.1,101,101.8,,,,,,,,,,,
13,104.1,104.8,105.5,106.2,106.8,107.5,108,108.6,109.1,109.6,110.1,110.5,111.1,111.6,112.1,112.7,113.6,,,,,,,,,,,
14,116.7,117.4,118,118.6,119.4,119.9,120.5,121.4,121.9,122.3,122.8,123.3,123.8,124.3,124.9,125.6,126.2,127.2,,,,,,,,,,
15,129.5,130.3,131,131.6,132.2,132.8,133.4,134,134.6,135.4,135.9,136.4,136.9,137.3,137.8,138.3,138.9,139.6,,,,,,,,,,
16,141.3,142,142.6,,,,,,,,,,,,,,,,,,,,,,,,,
17,143.6,144.2,144.5,145.3,145.7,146.2,146.9,147.8,149.6,150,150.5,,,,,,,,,,,,,,,,,
18,152.2,153,153.8,155.2,158.5,159,160.7,161.7,162.3,162.9,164.8,168.8,169.7,172,174.7,178.7,,,,,,,,,,,,
