Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32,Chew_33
1,11.1,11.9,12.4,12.9,13.4,13.9,14.3,14.9,15.5,16,17.7,18.4,19.4,20,21.9,,,,,,,,,,,,,,,,,,
2,24.4,25.5,25.9,26.3,26.7,27.1,27.8,28.4,29.6,30.8,,,,,,,,,,,,,,,,,,,,,,,
3,34.4,35.1,35.5,36,36.7,37.2,37.7,38.3,38.9,39.8,40.3,40.9,41.4,,,,,,,,,,,,,,,,,,,,
4,44.2,44.9,45.5,46,46.6,47.1,48,48.6,49.3,50.2,50.9,51.5,52.7,53.4,,,,,,,,,,,,,,,,,,,
5,54.8,55.3,55.8,56.4,57,57.6,58.3,59.1,60.1,60.6,62.4,63.6,64.5,65.2,,,,,,,,,,,,,,,,,,,
6,67,67.5,68,68.3,68.8,69.2,70.1,70.5,70.9,71.4,72.4,72.8,74.1,74.4,75.1,76.6,77.7,,,,,,,,,,,,,,,,
7,80,80.8,81.1,81.8,82.1,82.8,83.3,83.9,84.4,85.5,,,,,,,,,,,,,,,,,,,,,,,
8,87.3,87.9,88.3,88.9,89.5,90.1,90.6,91.7,92.1,,,,,,,,,,,,,,,,,,,,,,,,
9,95.4,96,96.5,96.9,97.4,98,98.5,99,99.6,100,100.6,101.5,102.3,102.9,103.6,104.3,105.3,106.2,106.8,107.6,108.1,109,110.7,112.8,114.2,114.8,115.6,116.9,,,,,
10,125.3,126.1,126.8,127.3,127.7,128.2,128.6,129.1,129.6,130.1,131.1,131.5,132,133.8,,,,,,,,,,,,,,,,,,,
11,135.9,136.3,137,137.5,137.9,138.4,138.9,139.4,140.2,140.9,141.4,141.9,142.5,143,143.6,144.4,144.9,145.6,146.7,148.2,150.4,151,152.2,153.8,154.7,155.3,156.2,157,157.8,158.9,159.6,160.3,161.2
12,164.5,165.1,165.8,166.8,167.1,167.6,168.2,168.9,170.1,170.4,171.2,171.6,172.6,173.7,174.6,175.2,175.7,176.4,177.1,178.4,179.3,,,,,,,,,,,,
