Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24
1,4.8,5.5,6.4,7.3,8.2,8.9,9.8,10.7,11.5,12.2,12.8,13.3,14.1,14.8,15.7,16.6,,,,,,,,
2,18.7,19.7,20.5,21.7,22.4,23.4,24.2,24.9,25.5,26.1,26.9,27.7,28.4,29.1,,,,,,,,,,
3,30.4,31.4,32.1,33.2,33.8,34.3,34.8,35.3,36.2,36.8,37.5,38.1,38.7,,,,,,,,,,,
4,40.3,41,41.8,42.4,43,43.6,44.1,44.9,45.5,46.1,46.7,47.6,48.5,49,49.7,50.5,51.3,52,52.6,53.4,,,,
5,56.2,56.4,57,57.5,58.5,59.1,59.5,60.1,60.6,61.2,62.2,62.7,63.2,64.5,65.5,67.9,68.5,69.3,70,,,,,
6,72.2,73.1,73.5,74.1,74.6,75,75.4,76.3,78.8,79.1,80.5,82.8,83.6,84.5,,,,,,,,,,
7,87.3,87.9,88.6,89.3,89.8,90.3,90.8,91.4,91.9,92.4,93,93.6,94.1,94.5,95.1,95.7,96.4,97.5,98,98.6,99.3,100.3,,
8,102.2,103,103.5,104.1,104.6,105.1,105.7,106.6,107.1,107.5,108,108.6,109,109.5,111.1,111.8,,,,,,,,
9,114,114.7,115.3,115.9,116.4,116.9,117.5,117.9,118.4,118.8,119.5,120.1,120.7,121.2,121.9,122.7,123.2,123.8,125.8,126.2,,,,
10,127.8,128.4,129,129.7,130.3,131,131.6,132.2,132.9,133.9,134.7,,,,,,,,,,,,,
11,135.9,136.7,137.5,138.4,139,139.9,140.9,141.5,143.9,144.6,145.4,145.9,,,,,,,,,,,,
12,147.7,148.6,149.4,150.2,151.1,151.7,152.3,153.1,153.7,154.4,155,155.9,156.5,157.2,157.9,158.8,159.3,160,160.7,161.4,162,162.7,163.4,164.3
13,166.2,167,168.6,169.6,170.4,171,171.5,172.4,173.2,173.7,174.2,174.9,175.6,176.3,177,177.5,178.2,178.9,179.6,,,,,
