Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12
1,3.7,4.6,5.5,5.9,6.6,7.2,7.8,8.6,,,,
2,10.4,11.3,11.8,12.7,13.3,14,14.6,,,,,
3,16.4,17.1,17.8,18.5,19.1,19.6,20.1,20.7,21.2,,,
4,22.6,23.3,23.8,24.3,24.9,25.5,26,,,,,
5,27.1,27.6,28.3,28.9,29.5,30,,,,,,
6,31.2,32.1,32.6,33.2,33.9,34.5,35.1,35.6,36.2,36.7,,
7,37.7,38.6,39.1,39.6,40.2,40.8,41.4,41.9,,,,
8,43,43.8,44.3,44.8,45.5,46.1,46.6,47.2,47.7,,,
9,49.3,49.8,50.4,51,51.8,52.3,53,53.6,54.2,54.9,,
10,56.4,57.4,58.1,58.8,59.5,60,60.5,61.1,61.7,,,
11,63.1,63.9,64.7,65.2,65.7,66.3,66.9,67.4,68.1,68.7,,
12,69.8,70.7,71.3,71.8,72.4,72.9,73.4,74,74.5,75.5,,
13,76.5,77.4,78.5,79.2,79.9,80.6,81.3,82,82.7,83.3,83.9,84.5
14,86,87,87.7,88.3,89.2,89.7,90.3,90.7,,,,
15,91.4,92.1,92.6,93.2,93.8,94.4,95,95.5,,,,
16,96.2,97,97.6,98.1,98.6,99.1,99.7,100.4,100.9,101.4,,
17,102.4,103.2,103.9,104.5,104.9,105.4,105.9,106.3,106.8,,,
18,107.8,108.6,109.7,110.8,111.5,112.1,112.7,113.1,113.6,114.3,114.7,115.3
19,117,118.3,119.8,121.3,121.8,122.4,123,123.6,,,,
20,124.6,125.5,126.2,126.9,127.5,128.2,128.8,,,,,
21,130.4,131.3,131.9,132.5,133.5,134,134.6,135,135.7,136.5,137.3,
22,137.8,138.4,139.4,140.3,140.8,,,,,,,
23,142,143,143.5,144.1,144.7,145.4,145.9,146.5,147.1,147.7,,
24,148.4,149.3,149.9,150.4,151,151.7,152.2,152.8,,,,
25,154,154.9,155.5,156.1,156.7,157.3,,,,,,
26,158.5,159.3,159.8,160.2,160.8,,,,,,,
27,161.9,162.8,163.5,164.2,164.8,165.4,,,,,,
28,166.5,167.4,168.1,168.5,169.2,169.7,170.4,170.9,171.5,,,
29,173,173.7,174.4,174.8,,,,,,,,
30,175.9,176.6,177.5,178,178.5,,,,,,,
31,179.2,179.6,,,,,,,,,,
