Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18
1,3.4,4.2,5.1,5.7,6.5,7.1,8.1,8.9,9.6,10.3,,,,,,,,
2,11.7,12.4,12.9,13.5,14.3,15,15.6,16.5,17.1,17.8,18.4,19.4,20.4,,,,,
3,21.6,22.4,23,23.6,24.7,25.2,26.3,26.9,27.4,28.1,28.8,29.5,30.1,31.3,,,,
4,33.1,33.8,34.4,34.9,35.7,36.3,36.8,37.5,38.2,38.9,40.1,,,,,,,
5,42.5,43.5,44.2,44.7,45.5,46.2,46.8,47.7,48.4,49.1,50.1,51,51.7,52.3,53.1,,,
6,55.9,56.5,57.3,57.9,58.8,59.6,60.2,60.9,61.5,62.4,63.3,64.1,65.1,65.8,66.5,67.2,68.2,
7,69.7,70.6,71.5,72.3,73,73.5,74.2,74.8,75.7,76.4,77,77.7,78.5,79.2,80.1,,,
8,81.9,82.8,83.5,84.1,84.8,85.4,86.2,87,87.6,88.3,89.2,89.9,91.4,92.3,,,,
9,94.2,95.1,95.8,96.5,97.1,97.9,98.5,99.2,99.9,100.7,101.6,102.4,103.1,103.9,105.4,,,
10,107.4,108,108.7,109.4,110.1,111,111.6,112.3,113.2,113.9,114.6,115.7,116.8,,,,,
11,118.4,119.3,120.4,121.1,121.7,122.4,122.9,123.6,124.4,125,125.7,126.7,,,,,,
12,127.7,128.6,129.4,130.6,131.4,132.1,132.8,133.6,134.2,134.8,135.6,136.3,137.1,137.8,138.3,139.4,140.2,141
13,141.9,143.1,143.9,144.7,145.6,146.2,146.7,147.4,148.2,149,149.6,150.4,152.7,,,,,
14,154.5,155.2,155.8,156.3,157.2,157.9,158.6,159.4,160.2,160.9,161.7,162.7,163.6,164.1,165.4,,,
15,167.5,168.1,169.1,169.6,170.3,172,173.5,174.2,174.8,175.5,176.6,177.2,178.1,,,,,
