Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19
1,2.6,3.2,3.8,4.4,4.8,5.4,5.9,6.7,7.2,7.6,,,,,,,,,
2,8.4,9,9.7,10.2,10.7,11.2,11.8,12.3,12.9,13.6,14.1,14.7,15.3,15.9,16.4,,,,
3,17.5,18.1,18.7,19.3,19.9,20.4,20.9,21.3,21.9,,,,,,,,,,
4,23.1,23.7,24.3,25,25.5,26.5,27.3,27.9,28.4,29.3,30,30.5,31.1,31.9,,,,,
5,32.4,32.9,33.5,34,34.7,35.3,35.9,36.4,37,37.6,38.9,40,41,,,,,,
6,42.4,42.8,43.4,44.1,44.8,45.4,45.9,46.6,47.3,48.2,48.9,50.5,51.7,,,,,,
7,52.2,52.9,53.5,54.1,54.7,55.5,56.1,56.7,57.3,57.9,,,,,,,,,
8,58.7,59.4,59.9,60.4,61,61.5,62.3,62.9,63.5,64.6,65.7,,,,,,,,
9,67.1,67.9,68.6,69.3,70.1,70.7,,,,,,,,,,,,,
10,71.3,72.1,72.9,73.6,74.5,75.1,75.6,76.2,77.7,,,,,,,,,,
11,78.6,79.2,79.9,80.5,81.3,81.9,82.4,82.9,83.5,84.1,84.6,85.2,85.9,,,,,,
12,86.5,87.2,87.8,88.4,89,89.4,90,90.6,91.3,91.9,92.7,93.4,94.1,94.8,97.2,97.8,,,
13,99.5,100.1,101.3,102,102.6,103.1,103.8,104.4,105,105.5,106.2,107,107.6,108.3,108.9,109.6,110.3,110.9,113.1
14,114.8,115.8,116.4,116.9,117.5,118,118.6,119.2,119.9,120.5,,,,,,,,,
15,121.9,122.6,123.1,123.7,124.3,124.7,125.3,126,,,,,,,,,,,
16,127.1,127.9,128.5,129.1,129.7,130.2,130.8,131.4,132,132.6,133.2,133.8,,,,,,,
17,134.9,137.2,137.8,138.6,139.2,139.8,140.4,140.9,141.4,142.1,143,143.5,144.4,,,,,,
18,145.3,146.2,146.8,147.4,148.1,148.7,149.3,149.9,150.5,151,151.6,152.1,,,,,,,
19,152.6,153.3,153.9,154.5,155.1,155.8,156.8,157.6,158.1,158.8,159.5,160.2,161.2,162,162.8,,,,
20,164.9,165.7,166.5,167.1,168,168.4,169.2,170.7,171.2,171.7,172.3,172.9,173.6,,,,,,
21,174.7,175.3,175.9,176.5,177.1,177.8,178.5,179.1,179.7,,,,,,,,,,
