Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22
1,5.3,7.8,8.5,9.1,9.7,10.3,11.1,11.9,12.5,13.5,,,,,,,,,,,,
2,16,16.6,17.4,18.1,18.9,19.4,20.2,20.9,21.6,22.1,22.9,,,,,,,,,,,
3,24.6,25.7,26.8,28,28.7,29.5,30.2,31.2,31.9,32.6,33.4,34.5,35.7,36.3,37.3,,,,,,,
4,38.9,40.5,41.2,41.9,42.6,43.3,43.9,44.6,45.3,46,46.7,47.5,48.1,49.3,49.9,50.6,51.5,52.5,,,,
5,55.7,56.7,57.4,58,58.7,59.4,60.4,61.2,61.8,,,,,,,,,,,,,
6,63.8,64.9,66.1,67,67.8,68.7,69.4,70.3,71.1,72,72.9,73.7,74.6,75.8,76.8,78.2,79.4,80.2,82,82.8,85.4,
7,89.8,90.6,91.2,91.8,92.4,93,93.5,94.2,94.8,95.3,95.9,96.6,97.2,,,,,,,,,
8,100,100.7,101.3,101.9,102.7,103.7,104.8,105.5,106.1,106.8,107.9,,,,,,,,,,,
9,109.9,111.6,112.1,112.8,113.4,114.1,114.7,115.5,116.3,117,117.6,118.5,119.3,,,,,,,,,
10,121.7,122.5,123,123.6,124.1,125,125.7,127.1,127.9,129,129.6,130.4,131.1,132.1,133,134,135,,,,,
11,138.4,140.8,141.4,142,142.7,143.4,144.1,145,146,146.6,147.7,148.7,149.7,151.8,152.7,153.8,154.6,156.5,158.6,159.9,161.2,162.1
12,166.6,169.6,170.1,171.2,172.1,173.2,174.2,175.7,,,,,,,,,,,,,,
13,178.8,179.5,,,,,,,,,,,,,,,,,,,,
