Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20
1,10,11.5,12.6,13.3,13.9,14.6,15.3,16.1,,,,,,,,,,,,
2,17.9,19,19.7,20.3,21.3,22,22.6,23.5,24.1,24.9,25.6,26.2,26.8,27.6,28.5,29.2,30.1,30.7,,
3,34.7,35.6,36.2,36.9,37.5,38.2,38.7,39.4,40.2,41.1,,,,,,,,,,
4,43.6,44.4,45.1,45.6,46.5,47.5,48.3,49.2,50.3,51,,,,,,,,,,
5,53.4,54.3,54.9,55.6,56.5,57.1,58,58.9,59.5,60.3,61.2,,,,,,,,,
6,63.4,64.2,65.1,65.9,66.7,67.3,67.9,68.8,69.4,70.3,71,,,,,,,,,
7,72.6,73.3,74,74.7,75.3,76,76.6,77.5,78.2,78.7,79.3,79.9,80.7,81.5,82.2,83.1,84.3,85.1,85.8,86.9
8,89.9,91.1,92,92.6,93.3,94,94.8,95.4,96.3,97.2,97.9,,,,,,,,,
9,101.1,102.1,102.6,103.2,103.9,105,106,106.9,107.5,108.1,108.8,109.4,110.1,110.6,112,112.4,113.5,114.1,114.8,116.1
10,119.3,120,120.6,121.1,121.7,122.4,123,123.8,124.5,125.3,126,126.7,127.8,128.5,129.4,130.3,,,,
11,133.7,134.8,135.5,136.3,136.8,137.4,,,,,,,,,,,,,,
12,139.2,140,140.7,141.3,141.8,142.4,143.2,143.8,,,,,,,,,,,,
13,145.9,146.8,147.3,147.9,148.6,149.5,150,150.7,151.4,,,,,,,,,,,
14,153.3,154.2,155,155.9,156.5,157.3,158,158.6,159.3,159.9,160.4,161.1,162.1,162.9,163.5,164.2,165,165.9,166.5,167.4
15,170.9,171.5,172.3,173,173.9,174.5,175.5,176.4,177.8,179,,,,,,,,,,
