Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23
1,5.9,6.8,7.6,8.2,9,9.7,10.2,10.8,11.7,12.3,13,13.6,14.2,15,15.8,,,,,,,,
2,17.5,18.5,19.2,19.6,20.2,20.9,21.4,22.1,,,,,,,,,,,,,,,
3,23.3,24.1,24.5,25.2,25.7,26.3,26.8,27.3,28.1,28.8,29.4,30,30.9,31.8,32.4,33,33.7,,,,,,
4,36.7,37.8,38.4,39,39.5,39.9,40.4,41.1,41.6,42.2,42.8,43.4,44,44.6,45.6,46.2,46.8,47.5,48,48.5,49.6,50.1,50.7
5,52.1,52.8,53.3,53.8,54.4,54.9,55.5,56.1,56.7,57.4,57.9,58.5,59.2,59.8,60.5,61.1,61.6,62.3,62.9,,,,
6,65.7,66.4,66.9,67.4,67.9,68.3,68.9,69.6,70.2,70.8,71.5,72.2,73.4,,,,,,,,,,
7,74.6,75.3,76,76.5,77.2,77.7,78.3,78.9,79.6,80.3,81.1,82.2,,,,,,,,,,,
8,84.4,85.6,86.4,87.2,87.9,88.5,89.2,89.9,90.4,91,91.8,92.3,93.2,93.7,,,,,,,,,
9,94.9,95.7,96.3,96.8,97.3,97.9,98.4,99.1,99.7,100.3,100.9,101.6,102.6,103.4,104.1,,,,,,,,
10,105.3,106.2,106.6,107.3,107.9,108.6,109.3,109.9,110.5,111.1,111.9,112.7,,,,,,,,,,,
11,115.6,116.4,117,117.8,118.4,119.1,119.7,120.5,121.1,121.8,122.5,123.1,123.8,124.3,125,125.6,126.3,126.9,127.9,129.1,129.8,130.6,
12,132,132.7,133.5,134.2,134.9,135.6,136.2,136.7,137.3,138,138.6,139.4,140.4,,,,,,,,,,
13,142.2,143.3,144.7,145.3,145.9,146.7,147.3,148.1,148.6,149.4,150,150.8,151.5,152.1,152.9,153.6,,,,,,,
14,158.7,159.3,159.9,160.4,160.9,161.5,162.2,162.9,163.7,,,,,,,,,,,,,,
15,165.4,166.5,167.2,167.8,168.5,169,169.6,170.5,171.1,171.7,172.3,173.1,173.7,174.5,175.3,176.1,177.8,178.8,,,,,
16,179.7,,,,,,,,,,,,,,,,,,,,,,
