Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,,,,,,,,,,,,
1,2.9,3.4,4,4.5,4.9,5.5,,,,,,,,,,,,,,,,,,,,
2,6.6,7.2,8.3,9.3,10.2,11.1,12.6,14.1,,,,,,,,,,,,,,,,,,
3,14.6,15.3,16,17.2,17.8,18.4,,,,,,,,,,,,,,,,,,,,
4,20.6,21.5,22.3,22.9,23.6,24.1,24.5,25.1,25.5,26,26.6,27,27.4,28,,,,,,,,,,,,
5,29.2,30.2,31.1,31.8,32.4,33,33.5,34.1,34.6,35.3,35.8,,,,,,,,,,,,,,,
6,36.8,37.6,38.3,38.7,39.1,,,,,,,,,,,,,,,,,,,,,
7,39.9,40.5,40.9,41.4,41.9,42.5,43.1,,,,,,,,,,,,,,,,,,,
8,43.9,44.3,44.9,45.4,46,46.6,47,47.6,48.2,48.7,49.1,,,,,,,,,,,,,,,
9,49.9,50.5,51,51.7,52.2,52.8,53.8,,,,,,,,,,,,,,,,,,,
10,55.7,56.3,56.8,57.4,58,58.6,59.1,59.7,,,,,,,,,,,,,,,,,,
11,60.6,61,61.6,62.2,62.7,63.3,63.9,64.3,64.8,65.4,66,66.4,66.9,67.4,,,,,,,,,,,,
12,68,68.6,69.2,69.8,70.3,,,,,,,,,,,,,,,,,,,,,
13,71.2,72,72.9,73.5,,,,,,,,,,,,,,,,,,,,,,
14,75,75.6,76.1,76.7,77.2,,,,,,,,,,,,,,,,,,,,,
15,78.8,79.4,79.9,80.5,81.1,81.7,82.3,82.7,83.2,83.7,84.3,84.8,,,,,,,,,,,,,,
16,86,86.4,87.1,87.8,88.2,88.7,89.1,89.5,90.1,90.6,,,,,,,,,,,,,,,,
17,91.3,91.8,92.2,92.8,93.3,93.7,94.3,94.9,,,,,,,,,,,,,,,,,,
18,95.7,96.3,96.8,97.3,97.8,98.5,99.1,99.8,,,,,,,,,,,,,,,,,,
19,100.6,101.2,101.6,102.1,102.7,103.3,103.7,104.2,104.8,,,,,,,,,,,,,,,,,
20,105.7,106.2,106.7,107.2,107.7,108.1,108.5,109,109.5,110.1,110.8,,,,,,,,,,,,,,,
21,111.8,112.3,112.8,113.3,113.7,114.2,,,,,,,,,,,,,,,,,,,,
22,115.3,115.7,116.1,116.7,117.2,117.8,118.4,,,,,,,,,,,,,,,,,,,
23,120.5,121.3,121.7,122.2,122.6,123.1,123.6,124.2,124.7,,,,,,,,,,,,,,,,,
24,125.7,126.2,126.7,127.1,127.5,128,128.4,,,,,,,,,,,,,,,,,,,
25,130,130.6,131.1,131.6,132,132.5,133.3,134,134.5,135.5,136.3,,,,,,,,,,,,,,,
26,137.3,138,138.5,139,139.5,140,140.6,,,,,,,,,,,,,,,,,,,
27,141.6,142.2,142.8,143.5,144,144.6,145.1,,,,,,,,,,,,,,,,,,,
28,146.1,146.8,147.2,147.8,148.3,148.9,149.4,150.2,,,,,,,,,,,,,,,,,,
29,151.2,151.8,152.2,152.6,,,,,,,,,,,,,,,,,,,,,,
30,153.1,153.5,153.9,154.4,154.9,156.3,157.2,158.2,158.8,160.3,161.1,162.3,163.3,164.5,165.8,167.2,168.3,169.4,170.1,170.8,171.8,173.3,174.2,175,177.8,179.5
