Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32
1,6.6,7.5,8.3,9,9.6,10.2,11,11.7,12.4,13.2,14,14.7,15.3,16.1,17,,,,,,,,,,,,,,,,,
2,20.3,21.1,22.1,23.2,24,24.7,25.4,26.5,27.1,27.9,29,31.1,31.8,32.7,33.7,34.4,35.4,,,,,,,,,,,,,,,
3,37.4,38.5,39.2,40,40.8,41.4,42.1,43,43.8,44.8,45.3,45.9,46.8,47.4,,,,,,,,,,,,,,,,,,
4,48.9,49.8,50.5,51.4,52.2,53,53.9,54.7,55.6,56.5,57.3,57.9,59,59.7,60.7,61.9,,,,,,,,,,,,,,,,
5,63.8,66.6,67.1,67.8,68.4,69.1,70.2,70.7,71.4,72.1,72.7,73.3,74.1,75,75.5,77.5,78.2,,,,,,,,,,,,,,,
6,79.7,80.6,81.3,82.2,83,83.8,84.4,85.2,86,,,,,,,,,,,,,,,,,,,,,,,
7,89.4,90.2,91,91.7,92.4,93.1,93.6,94.2,94.7,95.8,96.4,97.1,97.8,98.6,99.3,100.1,100.8,,,,,,,,,,,,,,,
8,103.3,104,104.5,105.2,105.9,106.5,107.2,107.9,108.6,109.2,110,110.7,111.5,112.6,113.5,114.5,115.2,116.7,119.2,124.6,,,,,,,,,,,,
9,129.7,130.3,131,131.6,132.4,133.4,134.1,134.9,135.8,136.5,137.6,138.2,139.1,139.8,140.5,142.6,,,,,,,,,,,,,,,,
10,144.1,145,145.8,146.4,147.2,148.2,148.8,149.5,150.1,151,151.5,152.4,152.9,153.6,154.1,154.7,155.3,156,156.9,157.4,158.1,158.8,159.5,160.3,160.9,161.6,162.4,164.6,165.5,166.3,167.1,169.6
11,173.2,174,174.8,176.1,176.6,177.2,177.7,178.5,179.1,179.8,,,,,,,,,,,,,,,,,,,,,,
