Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25
1,6.4,7.7,8.3,9.1,9.9,11.1,11.7,12.2,12.9,13.5,14.3,15,15.6,16.2,17.1,17.7,18.5,20.1,20.8,21.4,22,22.9,23.5,,
2,25.4,26.4,27.3,27.9,28.7,29.4,30.2,31.1,32.3,32.8,33.6,34.2,34.8,35.8,,,,,,,,,,,
3,41.6,42.3,42.9,43.6,44.4,44.9,45.6,46.4,47,47.9,48.6,49.6,,,,,,,,,,,,,
4,51,51.9,52.5,53.1,53.7,54.4,55.2,55.9,56.7,57.4,58,58.7,59.4,60.1,60.8,,,,,,,,,,
5,62.9,63.7,64.3,65,65.8,66.3,66.8,67.4,68.3,69.1,69.8,70.5,70.9,71.6,72.1,73,73.5,74.5,75.1,75.7,76.5,,,,
6,81.6,82.8,83.5,84.3,84.8,85.5,86.2,86.8,87.7,88.4,89.1,89.8,90.4,91.1,92,92.8,93.6,94.4,95.1,96,98.4,,,,
7,103,103.8,104.8,105.2,105.9,106.8,107.6,,,,,,,,,,,,,,,,,,
8,108.8,109.5,110.2,110.9,111.6,112.3,113.1,113.8,114.5,115.1,116,116.7,117.3,118,118.7,119.8,120.3,121,121.6,122.4,123.3,124.2,125.2,,
9,127,127.9,129,129.9,130.8,131.7,132.2,133,133.9,134.9,135.9,137,137.9,,,,,,,,,,,,
10,140.4,141.4,142.4,143.1,144,144.6,145.2,145.7,146.4,147.2,148.1,148.6,149.2,149.9,151,151.8,153,154.4,155.2,,,,,,
11,158.3,159.2,159.7,160.5,161.2,162,162.5,163.1,163.7,164.2,165.3,165.8,166.5,168.2,169,169.8,170.6,171.8,172.5,173.4,174.1,175.7,177.4,178.6,179.8
