Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28
1,4.4,5.2,7.3,7.9,8.3,8.7,9.3,,,,,,,,,,,,,,,,,,,,,
2,10,10.6,11.3,11.8,12.3,12.8,13.2,13.7,14.1,14.6,15.1,15.6,16.2,16.8,17.3,18.1,18.5,18.9,,,,,,,,,,
3,21.6,22,22.4,22.9,23.4,23.9,24.9,26,26.6,,,,,,,,,,,,,,,,,,,
4,27.3,27.9,28.4,28.9,29.3,29.9,30.5,31,31.5,32.1,33.4,34.2,,,,,,,,,,,,,,,,
5,35.8,36.5,37.1,37.6,38.1,38.5,39,39.4,40.4,41.4,,,,,,,,,,,,,,,,,,
6,42,42.5,43.1,43.5,44,44.4,44.8,45.3,45.6,46.2,46.7,47.2,47.8,48.3,48.8,49.4,51.4,,,,,,,,,,,
7,52.7,53.7,54.2,54.9,55.6,56.1,56.6,57.1,57.6,58.3,58.9,59.7,60.3,61,61.7,,,,,,,,,,,,,
8,64.6,65.2,66,66.6,67.2,67.7,68.2,68.7,69.3,69.9,70.5,71.1,71.7,72.2,72.7,73.5,74.2,75.5,76.1,76.7,,,,,,,,
9,78.5,79.1,79.8,80.4,81,81.9,82.5,82.9,83.6,84.3,84.8,85.3,85.9,86.4,86.9,87.5,88.1,89.1,89.7,,,,,,,,,
10,92.2,92.9,93.5,94,94.4,95,95.6,96.1,96.6,97.2,97.7,98.1,98.7,99.3,99.8,100.3,,,,,,,,,,,,
11,101.6,102.2,102.8,103.2,103.8,104.3,104.9,105.4,105.9,106.5,107,107.6,108.1,108.7,109.2,109.9,110.7,111.3,111.8,112.7,,,,,,,,
12,113.9,114.6,115.3,115.9,116.4,116.9,117.5,118.1,118.7,119.1,119.7,120.3,120.9,121.5,122.3,122.8,,,,,,,,,,,,
13,123.5,124.3,124.8,125.4,126,126.6,127.1,127.7,128.2,128.7,129.2,129.7,130.3,130.9,131.6,132.2,132.8,134.2,134.9,135.4,136.9,137.9,139.4,,,,,
14,144.9,146.2,146.8,147.4,148,148.6,149.1,149.6,150.2,150.8,151.3,151.8,152.4,153.3,154,154.6,155.4,155.9,156.7,157.4,158.1,159,159.9,160.6,161.3,162.5,163.4,164.1
15,166.2,166.8,167.6,168.3,168.9,169.4,170,170.7,171.5,,,,,,,,,,,,,,,,,,,
16,173.5,174.5,175.1,175.6,176.2,176.8,177.4,178,178.6,179.2,179.9,,,,,,,,,,,,,,,,,
