Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32,Chew_33,Chew_34,Chew_35,Chew_36,Chew_37,Chew_38,Chew_39,Chew_40,Chew_41,Chew_42,Chew_43
1,5.8,7,7.6,8.2,8.6,9,9.6,10.2,10.6,11.1,11.6,12.2,12.6,13.2,13.7,14.2,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,17,17.4,17.8,18.3,18.9,19.4,20.1,20.7,21.1,21.7,22.2,22.7,23.3,23.8,24.5,25.1,25.7,26.2,26.9,28,28.8,29.3,29.8,31.4,,,,,,,,,,,,,,,,,,
3,33.2,33.8,34.4,34.9,35.7,36.3,36.9,37.5,38,38.4,39.2,39.5,39.9,40.4,41,41.5,42,43.1,43.6,44.2,,,,,,,,,,,,,,,,,,,,,,,
4,45.8,46.6,47.1,48,48.6,49.2,49.8,50.4,51,51.7,52.2,52.9,53.5,54,54.7,55.2,56,56.7,57.2,57.9,58.8,60.2,62.9,,,,,,,,,,,,,,,,,,,,
5,66.2,66.7,67.1,67.4,67.9,68.6,69.1,69.7,70.3,70.7,71.4,71.9,72.9,73.7,74.5,74.9,75.6,76.6,77.6,79.4,80.2,81.1,,,,,,,,,,,,,,,,,,,,,
6,82.3,82.8,83.4,83.9,84.4,84.9,85.5,86,86.5,87.1,87.6,88.2,88.7,89.2,89.6,90.1,90.7,91.2,91.8,92.4,93,93.5,94.2,,,,,,,,,,,,,,,,,,,,
7,97,97.6,98.1,98.7,99.2,99.8,100.2,100.8,101.3,101.8,102.4,102.9,103.5,104,104.4,105,105.6,106.1,106.5,107,107.6,108.3,108.9,110.1,111.4,112.2,113.2,113.9,114.6,,,,,,,,,,,,,,
8,118.4,119.6,120.1,120.6,121.1,121.6,122.3,122.8,123.5,124.1,124.8,125.2,125.7,126.5,127,127.5,128.1,128.7,129.2,130,130.4,131.1,131.8,132.5,133.1,133.8,134.4,135.2,135.8,137,138,138.5,139.1,139.5,140.1,141.3,142.1,145,146.2,149.6,152.8,154.5,155.1
9,156.7,157.6,158,158.7,159.2,160.2,160.5,161.1,161.7,162.2,162.8,163.4,164.1,164.8,165.2,165.8,166.4,167.1,167.7,168.9,169.7,170.2,170.8,172.4,172.9,174.1,175.3,176.1,,,,,,,,,,,,,,,
10,178.1,178.7,179.3,179.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
