Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18
1,3.3,4.3,4.9,5.5,6.1,6.6,7.2,7.9,8.4,9,9.8,,,,,,,
2,11.2,11.7,12.3,13,13.5,14.5,15.1,15.6,16.3,16.8,17.5,18,18.6,19.2,19.9,21.3,,
3,22.4,23.2,23.9,24.6,25.2,,,,,,,,,,,,,
4,26.2,26.9,27.4,28,28.6,29.1,29.8,30.3,30.9,31.5,32.2,32.6,33,33.6,34,34.7,,
5,36.1,37,37.5,38,38.6,39.1,39.6,40.1,40.6,41.1,41.7,42.4,43,43.6,44.1,,,
6,45.7,46.5,47.1,47.5,48.1,48.7,49.1,49.6,50.1,50.8,51.4,52.1,53.1,54.3,,,,
7,56.2,56.8,57.2,57.8,58.4,58.8,59.5,60.2,60.7,61.4,62.1,62.8,63.5,64.2,,,,
8,65.8,66.8,67.3,67.8,68.5,69.2,70,,,,,,,,,,,
9,71.1,71.8,72.3,72.7,73.3,74.1,74.7,75.8,76.2,76.8,77.6,,,,,,,
10,79,79.5,80.3,80.9,81.8,82.3,82.7,83.3,83.8,84.4,85.2,86.3,,,,,,
11,87.9,88.9,89.4,90.2,90.9,91.8,92.6,93.4,94.1,,,,,,,,,
12,95.3,95.9,96.5,97.2,97.7,98.1,99,99.7,100.2,100.9,101.5,102.2,102.7,,,,,
13,104,104.8,105.4,105.9,106.4,107,107.7,108.4,109.1,109.6,110.4,,,,,,,
14,111.7,112.4,112.9,113.5,114.3,115,115.4,115.9,116.4,117.1,117.7,118.2,118.9,119.6,,,,
15,120.4,121.3,121.6,122.1,122.6,123.2,123.9,124.6,125.5,126.4,,,,,,,,
16,128.1,128.8,129.4,130.1,130.9,131.5,132.2,133,133.6,134.6,135.4,,,,,,,
17,137.3,138,138.6,139.4,140.2,140.7,141.2,141.8,142.4,143.3,143.8,144.5,145.2,145.9,146.6,147.3,147.9,
18,150.3,150.9,151.4,152.1,152.8,153.4,154.1,155,156.2,,,,,,,,,
19,157.6,158.5,159,159.5,160,160.6,161.3,161.7,162.2,162.8,163.5,164.2,165,166,,,,
20,167.5,168.3,168.9,169.5,170.2,170.9,171.6,172.4,173.2,174.3,175.2,175.9,176.8,177.3,178,178.6,179.2,179.6
