Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21
1,4.7,5,5.5,6,6.5,7.1,7.6,8.2,,,,,,,,,,,,,
2,9.1,9.6,10,10.5,10.9,11.3,11.6,12.1,,,,,,,,,,,,,
3,12.8,13.5,14,14.4,14.9,15.4,15.8,16.3,16.8,17.2,17.6,18.3,,,,,,,,,
4,20.8,21.2,21.7,22.3,22.8,23.2,,,,,,,,,,,,,,,
5,24.7,25.2,25.7,26.1,26.6,27,27.3,27.9,28.4,,,,,,,,,,,,
6,29.9,30.4,30.9,31.4,32,32.4,33.2,33.9,34.9,35.5,36.2,38.5,39.2,,,,,,,,
7,41,42.8,43.2,43.9,,,,,,,,,,,,,,,,,
8,44.9,45.5,45.9,46.6,47,47.4,47.8,48.4,48.7,49.1,49.5,50.4,,,,,,,,,
9,52,52.4,52.8,53.5,53.9,54.5,54.9,,,,,,,,,,,,,,
10,56.1,56.8,57.5,58,58.6,59.1,59.8,60.7,61.2,61.8,,,,,,,,,,,
11,64,64.7,65.2,65.7,66.1,66.6,67.1,,,,,,,,,,,,,,
12,68.6,69,69.5,70,70.3,70.9,71.6,,,,,,,,,,,,,,
13,73.2,73.8,74.3,74.6,75.2,75.7,76.2,76.8,79.6,80.3,81.1,83.4,84.7,,,,,,,,
14,86.9,87.8,88.6,89.5,,,,,,,,,,,,,,,,,
15,91.5,92,,,,,,,,,,,,,,,,,,,
16,93.4,94.2,94.7,95.2,96.8,,,,,,,,,,,,,,,,
17,98.7,99.1,99.9,,,,,,,,,,,,,,,,,,
18,100.7,101.3,,,,,,,,,,,,,,,,,,,
19,102.1,102.8,103.3,103.8,104.6,105.5,105.9,106.4,107.1,,,,,,,,,,,,
20,108.3,109.5,110.3,111.1,111.7,112.2,112.9,113.5,114.1,114.7,115.3,116,116.7,117.6,118.4,119.4,120.5,121.4,123.3,124.1,124.9
21,139.3,139.8,140.4,140.9,,,,,,,,,,,,,,,,,
22,141.7,142.2,142.6,143.1,143.6,144.3,,,,,,,,,,,,,,,
23,145.4,146.1,146.6,147.1,147.6,,,,,,,,,,,,,,,,
24,148.5,149,149.5,150,150.5,151,151.5,153,153.8,154.5,155.1,157.1,157.6,159,159.5,160.6,,,,,
25,165.8,166.7,167.2,167.8,168.3,168.8,169.2,169.8,170.2,170.9,171.3,171.7,172.2,172.7,173.2,173.8,174.8,175.3,176.2,177.4,178.2
