Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20
1,2.7,3.3,3.8,4.3,4.8,5.2,5.8,6.6,7,7.5,8,8.8,9,9.5,10,10.5,11.3,12.3,,
2,13,13.5,14.1,14.6,15.1,15.8,16.3,17,17.5,18.1,18.7,19.3,20.1,20.6,21.4,21.9,22.6,,,
3,24.2,24.7,25.3,25.9,27,27.4,28.2,28.8,29.4,30.3,30.8,31.3,,,,,,,,
4,32.6,33.1,33.8,34.7,35.3,35.8,36.3,37.2,38.3,39.2,39.7,40.2,40.9,41.7,,,,,,
5,43.8,44.6,45.2,45.7,46.3,46.7,47.3,47.9,48.7,49.3,50,50.5,51.3,,,,,,,
6,52.1,52.7,53.3,53.9,54.5,55.1,55.8,56.5,57.1,57.7,58.5,59,,,,,,,,
7,60.5,61.1,61.7,62.2,63,63.6,64.2,64.7,65.3,65.9,66.8,67.4,68.2,69.2,69.7,70.3,,,,
8,72.1,72.8,73.5,73.9,74.7,75.3,75.9,76.7,77.1,77.7,78.2,78.8,79.5,,,,,,,
9,81.4,82.3,83.3,84.4,84.9,85.2,85.8,86.3,86.9,87.4,88,88.7,89.2,89.7,90.7,91.1,91.8,92.6,93.4,93.8
10,95.4,96,96.4,97.1,97.6,98.2,99,99.9,100.5,101.4,102,,,,,,,,,
11,103.4,104.1,104.7,105.2,105.6,106.2,106.7,107.3,107.9,108.7,109.5,109.8,110.4,111.1,111.9,,,,,
12,114.5,115.3,115.9,116.5,117.2,118,118.6,119.3,119.8,120.5,,,,,,,,,,
13,121.7,122.4,123,123.6,124.1,124.5,125,125.6,126.4,127.1,127.9,128.5,129.2,130,130.5,,,,,
14,132.7,133.2,134.2,134.9,135.4,135.9,136.6,137.5,138.2,138.7,139.4,140.1,140.8,141.5,142,142.7,143.5,,,
15,144.6,145.2,145.9,146.6,147.3,147.9,148.7,149.2,150.1,150.8,152.1,152.8,153.5,,,,,,,
16,156.9,158.1,159.7,160.5,161.2,161.9,162.4,163,163.6,164.2,164.9,165.3,166.2,166.8,167.5,168,168.6,169.1,169.7,
17,171.9,172.6,173.2,174,174.5,175.2,175.9,176.5,177.7,178.3,178.9,179.8,,,,,,,,
