Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19
1,3,4,4.8,5.3,5.9,6.6,7.2,7.8,8.5,9.1,9.6,10.2,10.7,11.3,11.9,12.5,13.2,14.1,14.8
2,15.4,16.3,16.7,17.4,18,18.6,19.3,19.8,20.4,21,21.6,22.3,22.8,23.4,23.9,24.5,,,
3,25.5,26.2,26.7,27.2,27.8,28.2,28.8,29.3,29.9,30.5,31.1,31.6,32.2,32.7,33.4,,,,
4,34.2,35.1,35.7,36.4,37,37.7,38.5,39.1,39.6,40.1,40.6,41.2,41.9,,,,,,
5,43.2,44.1,44.9,45.4,45.9,46.4,46.9,47.7,48.2,48.9,49.5,50,50.6,51.2,51.8,52.5,,,
6,53.5,54.1,55.1,55.7,56.3,57.1,57.6,58.3,59.2,59.9,60.4,60.9,61.4,62,62.6,,,,
7,63.8,64.8,65.6,66.2,66.8,67.2,67.8,68.4,69.1,69.8,70.3,71,71.8,72.6,,,,,
8,73.2,74.3,74.9,75.8,76.6,77.1,77.9,78.5,79.2,79.7,80.5,81.1,82,82.8,83.4,,,,
9,84.4,85.1,85.9,86.4,87,87.7,88.4,89.1,89.6,90.2,90.7,91.3,91.9,92.5,93.1,,,,
10,94.5,95.3,95.8,96.5,96.9,97.4,98.2,98.6,99.4,100,100.6,101.3,101.8,102.4,103.1,,,,
11,104.6,105.3,106,107.1,108,109.1,109.8,110.7,111.3,112,,,,,,,,,
12,113.4,114.7,115.5,115.9,116.8,117.5,118,118.6,119.2,119.7,120.3,121,122.1,123.1,,,,,
13,124.2,124.8,125.8,126.5,126.9,127.6,128.4,129.3,130.2,130.8,131.3,132.1,132.9,,,,,,
14,134.7,135.4,136,136.7,137.4,138,138.9,139.8,140.4,140.9,141.5,142.2,142.7,143.3,143.9,144.5,,,
15,146.7,147.4,148,148.7,149.6,150.2,150.9,151.6,152.1,152.6,,,,,,,,,
16,154.1,154.7,155.4,156,156.7,157.4,158.1,158.7,159.4,159.9,160.8,161.6,,,,,,,
17,163.2,163.7,164.3,164.8,165.8,166.6,167.3,167.8,168.4,169.1,169.6,170.7,,,,,,,
18,171.8,172.5,173.2,173.7,174.4,175,175.6,176.2,176.9,177.6,178.3,178.7,179.3,179.7,,,,,
