Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22
1,10,11.3,12.1,12.5,13,13.5,14,14.5,15.7,,,,,,,,,,,,,
2,16.5,17.3,17.8,18.3,18.9,19.5,20.3,21,22.3,22.8,23.7,24.6,25.8,,,,,,,,,
3,28,28.4,29,29.5,29.9,30.7,31.3,32.3,33.1,,,,,,,,,,,,,
4,36.9,37.7,38.3,39,39.7,40.5,41.2,41.9,42.7,43.5,44.2,45,,,,,,,,,,
5,46.5,47.1,47.6,48.3,49,,,,,,,,,,,,,,,,,
6,49.8,50.5,51,51.6,52.3,52.7,53.4,53.9,54.4,55.9,,,,,,,,,,,,
7,56.9,57.5,58.1,58.7,59.2,59.9,60.4,61.3,61.8,62.5,63,,,,,,,,,,,
8,70,71,72.2,72.8,73.5,74.2,75,75.6,76.2,76.9,,,,,,,,,,,,
9,78.1,78.8,79.2,79.7,80.2,80.7,81.3,81.8,82.4,84.7,,,,,,,,,,,,
10,86.7,87.6,88,88.7,89.2,89.9,91.1,91.5,91.9,92.3,92.9,93.6,94.1,94.8,95.5,96,96.4,96.9,98.6,99.3,100.3,103.4
11,106.9,107.5,108.2,108.7,109.2,109.8,110.4,110.8,111.3,111.7,112.2,112.7,113.3,114,,,,,,,,
12,129.9,130.3,131.1,131.4,132.1,132.6,133.1,133.5,134.2,134.7,135.5,136.4,,,,,,,,,,
13,138.3,139,139.7,140.2,140.7,141.2,141.8,142.5,143.1,143.7,144.5,145.4,151.9,152.5,153.4,154.1,154.5,158.3,,,,
