Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18
1,5.2,6.2,6.9,7.7,8.3,9.2,10,10.7,11.4,12.1,12.7,13.5,14.1,,,,,
2,15.7,16.4,17.2,17.9,18.7,19.3,20.1,20.7,21.6,22.9,23.7,24.5,25.4,,,,,
3,28.3,29.1,29.9,30.9,31.5,32.1,32.9,33.8,,,,,,,,,,
4,35.5,36.2,36.9,37.5,38.3,38.9,39.6,40.5,41.7,42.5,43.3,,,,,,,
5,45.6,46.4,47.1,47.8,48.5,49.1,49.9,50.6,51.3,51.9,52.5,53.3,54.1,54.6,,,,
6,59.2,60.3,61.4,62,62.6,63.2,63.8,64.4,65,65.8,66.4,,,,,,,
7,67.8,68.5,69.1,69.6,70.2,70.8,71.6,72.1,72.9,,,,,,,,,
8,74.2,74.7,75.2,75.8,76.3,76.9,77.5,78,,,,,,,,,,
9,79.7,80.2,80.8,81.3,81.9,82.5,83.3,83.9,84.5,,,,,,,,,
10,87.2,88.3,89.5,90.6,91.2,91.7,92.3,92.9,93.4,94.1,94.7,95.3,95.9,96.4,97.3,,,
11,99.4,100,100.6,101.1,101.6,102.2,102.8,103.5,104.3,105,105.9,,,,,,,
12,108,109.4,110.2,110.8,111.6,112.2,112.7,113.3,113.9,114.5,115.1,115.9,116.7,117.4,,,,
13,119.7,120.7,121.2,121.9,122.4,122.9,123.5,124.3,124.8,125.4,125.9,126.5,127.1,127.6,128.4,129.3,130.5,131.3
14,133.7,134.5,135.4,136,136.7,137.3,137.8,138.5,139.1,139.8,140.3,140.8,141.4,142.1,142.7,143.4,,
15,145.3,145.9,146.7,147.3,148.1,148.9,149.6,150.4,151.1,151.8,,,,,,,,
16,153.2,153.8,154.4,155,155.6,156.4,156.9,157.6,158.3,159,159.6,160.6,161.2,,,,,
17,163.6,164.8,165.6,166.2,167,167.6,168.1,168.7,169.2,169.9,170.5,171.1,171.7,172.3,,,,
18,174,174.6,175,175.6,176.3,176.8,177.4,178,178.6,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
