Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16
1,4.3,5.8,6.9,7.4,8,8.5,9.2,9.9,,,,,,,,
2,11.7,12.6,13.5,14.5,15.4,16.2,16.8,17.4,17.9,18.4,19,,,,,
3,21.2,22,23,23.6,24.3,24.9,25.4,25.9,26.6,27.4,28,28.6,29.4,,,
4,31.7,32.3,32.9,33.6,34.4,35.1,35.7,36.3,36.9,37.5,38.1,38.6,39.5,40.1,41,41.8
5,45.4,46.1,46.8,47.9,48.5,49.1,49.7,50.3,50.9,51.4,52,52.8,53.5,54,54.8,56
6,58.2,59,59.8,60.5,61.3,61.9,62.6,63.3,64.1,64.9,65.7,,,,,
7,66.8,67.4,68.2,68.9,69.4,70.1,70.6,71.1,71.7,72.4,,,,,,
8,74.7,75.4,76.2,76.9,77.4,78.2,78.7,79.3,80,80.6,81.3,,,,,
9,83.2,83.8,84.5,85.5,86,86.6,87.2,88,89,89.5,,,,,,
10,91.2,92.3,93.1,93.8,94.3,94.8,95.4,96,96.6,97.2,98,99.1,99.8,,,
11,103.4,104.1,105.2,105.9,106.6,107.1,107.5,108,108.7,109.3,109.8,110.4,111.2,,,
12,112.5,113.2,113.8,114.5,115.6,117,117.8,118.8,119.8,121.9,,,,,,
13,122.7,123.5,124.2,124.9,125.4,126.1,126.9,127.5,128.1,128.7,129.3,,,,,
14,130.2,130.9,131.5,132,132.5,133.1,133.6,134.1,134.8,135.5,136.1,136.7,137.5,138,,
15,139.7,140.5,141.8,142.1,142.4,143,143.4,143.9,144.8,145.4,,,,,,
16,146.3,147,147.8,148.8,149.3,,,,,,,,,,,
17,150.8,151.8,152.5,152.9,153.4,154,154.4,155.1,155.9,156.5,157.1,157.6,158.2,,,
18,160.8,162.1,162.7,163.5,164,164.6,165.1,165.7,166.4,167,,,,,,
19,168.6,169.5,170.1,170.7,171.5,172.2,172.7,173.2,173.7,174.4,175,,,,,
20,176.7,177.6,178.4,179.3,179.8,,,,,,,,,,,
