Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14
1,4.5,5.2,5.9,6.5,7.1,7.8,8.5,9,9.6,10.3,11,,,
2,12.2,12.9,13.7,14.2,14.9,15.7,16.5,,,,,,,
3,18.4,18.9,19.4,20.1,20.8,21.6,22.1,22.6,23.3,,,,,
4,25.8,26.5,27.3,28,28.7,29.4,29.9,30.6,31.4,32.2,33,,,
5,34.1,34.7,35.2,35.8,36.4,37.2,,,,,,,,
6,37.8,38.5,39,39.4,40,40.6,41.2,42,42.9,43.5,,,,
7,46.9,47.9,48.7,49.4,50.2,50.8,51.7,52.2,52.7,,,,,
8,54.6,55.5,56.3,57,57.6,58.2,58.7,59.4,60,,,,,
9,61.7,62.5,63.1,63.7,64.2,64.9,65.6,66.4,67.2,67.8,68.5,69.7,,
10,71.2,72,72.7,73.4,74.1,74.8,75.4,,,,,,,
11,77.1,77.9,78.6,79.4,80.1,80.9,81.3,81.8,82.5,83.2,83.9,84.8,85.5,86.3
12,88.8,90.1,90.9,91.5,92.1,92.8,93.4,94.1,94.5,95.1,95.6,96.1,,
13,97.9,98.8,99.4,100.1,101.2,101.6,102.2,102.9,103.5,104,104.6,105.4,106.4,108.4
14,109.5,110.2,111.3,112.2,112.9,113.4,113.9,114.5,115.6,117.4,,,,
15,119.4,120.5,121.4,122.2,122.9,123.5,124.3,125.1,125.6,126.2,126.9,127.5,128.1,128.7
16,131.3,132.1,132.9,133.7,134.2,134.9,135.4,136,136.6,137.3,138.1,,,
17,139.6,140.5,141.1,141.7,142.3,142.9,143.5,144.2,144.9,145.7,,,,
18,147.3,148,148.6,149.3,150,150.6,151.3,152,,,,,,
19,153.4,154.3,154.9,155.5,156.2,156.8,157.5,158.2,158.9,159.6,160.8,162,164.2,164.8
20,165.9,166.9,167.7,168.4,169.1,169.6,170.1,170.8,171.2,172,172.6,,,
21,173.8,174.5,174.9,175.7,176.3,176.9,177.6,178.1,178.5,179.4,179.9,,,
