Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23
1,5.2,6.1,7,7.7,8.5,9.3,10.2,11,11.7,12.4,13,13.7,14.3,15.2,16.3,,,,,,,,
2,18.4,19.2,20.1,20.9,21.7,22.5,23.2,24,24.8,25.8,26.7,27.5,28.5,29.2,,,,,,,,,
3,31.2,31.9,32.7,33.3,33.9,34.7,35.4,36.1,36.9,37.6,,,,,,,,,,,,,
4,40.2,41.2,41.9,42.5,43.1,43.7,44.3,44.9,45.5,46.1,47,47.6,48.3,49,49.8,50.4,,,,,,,
5,54.1,55.2,56.1,57.6,58.1,59,59.7,60.3,60.9,61.5,62.2,62.8,63.4,64.1,64.8,65.7,66.5,67.3,68.1,68.7,69.5,70.2,71
6,74.2,75,75.9,76.9,77.7,78.6,79.3,80.1,80.7,81.3,81.9,82.5,83.2,84.1,,,,,,,,,
7,86.7,87.4,88,88.7,89.3,89.8,90.3,91.1,91.7,92.3,93,93.7,,,,,,,,,,,
8,95.3,96.1,98.1,98.6,99.2,99.9,100.6,101.2,101.8,102.3,103.2,103.9,104.5,105.2,105.7,106.2,106.8,107.4,108.7,109.9,112,,
9,113.3,114,115,115.6,116.2,116.7,117.4,118,118.7,119.3,120,120.7,121.5,122.3,122.9,123.6,,,,,,,
10,125.7,126.3,126.9,127.4,128.3,128.9,129.7,130.7,131.7,132.9,,,,,,,,,,,,,
11,136,136.9,137.7,138.3,139,139.7,140.4,141.1,141.7,142.5,143.1,144,,,,,,,,,,,
12,147.6,148.4,149.4,150.3,151.4,152.1,152.9,153.7,154.5,155.4,156.1,156.5,157.2,157.8,158.5,159.4,160.3,160.9,161.6,163.4,,,
13,167,168.5,169.7,170.5,171,171.7,172.2,173,173.9,174.5,175,175.6,176.4,177.8,179.5,,,,,,,,
