Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32,Chew_33,Chew_34,Chew_35,Chew_36
1,5,5.8,6.3,6.9,7.4,8.2,8.7,9.1,9.6,10,10.4,10.9,11.5,11.9,12.5,13.1,14.3,,,,,,,,,,,,,,,,,,,
2,16,16.5,17.1,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20.5,21.1,21.7,22.2,22.7,23.4,24,24.6,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25.8,26.4,26.8,27.4,27.8,28.4,29.1,29.6,31.3,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34.1,34.6,35,35.5,35.9,36.4,37,37.5,38,38.5,39.1,39.6,40.1,40.6,41.2,41.8,42.8,43.5,44.2,,,,,,,,,,,,,,,,,
6,45.2,45.8,46.4,46.9,47.4,48,48.7,49.5,50.3,51.1,51.9,52.7,,,,,,,,,,,,,,,,,,,,,,,,
7,53.4,54.1,54.7,55.4,56,56.4,56.9,57.3,57.8,58.3,58.8,59.3,59.9,60.3,60.8,61.2,61.8,62.2,,,,,,,,,,,,,,,,,,
8,63.7,64.5,64.9,65.6,66.5,67,67.5,68.2,68.7,69.3,69.9,70.7,71.4,72.3,73.1,73.5,74,74.5,75.1,75.6,76.2,,,,,,,,,,,,,,,
9,77.6,78.2,78.7,79.2,79.6,80.1,80.6,81.1,81.7,82.2,83.2,83.9,84.7,85.4,86,86.5,87.1,87.6,88.5,89.3,90.2,90.8,,,,,,,,,,,,,,
10,93.4,94.2,94.9,95.5,96,96.5,97,97.8,98.3,98.8,99.3,99.8,100.4,100.9,101.8,102.3,102.9,103.7,104.1,104.7,105.5,106.1,107.4,,,,,,,,,,,,,
11,108.6,109.7,110.4,111,111.8,112.4,113.1,113.6,114.2,114.7,115.5,116,117.3,117.7,118.2,118.7,119.2,,,,,,,,,,,,,,,,,,,
12,120.3,120.9,121.4,121.9,122.3,122.9,123.6,124,124.6,125.1,125.5,126,126.5,127.1,127.9,128.5,129,129.6,130.2,130.8,131.6,132.1,132.6,133.9,,,,,,,,,,,,
13,135.8,136.6,137.2,137.9,138.3,138.9,139.5,139.9,140.4,140.9,141.3,141.8,142.5,143.1,143.5,143.9,144.5,145.4,145.8,146.3,146.8,147.2,147.7,148.2,148.8,149.3,149.8,150.3,151.3,152.1,152.9,154.1,154.6,155.7,156.3,157.1
14,160,160.8,161.3,161.8,162.2,162.7,163.3,163.9,164.5,165.1,165.7,166.2,166.9,167.3,167.9,168.4,169,169.8,170.3,170.9,171.5,172,172.9,173.9,175.1,176.6,177.4,178.1,179.1,,,,,,,
