Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32
1,4.9,6.1,6.6,7.2,7.8,8.3,8.9,9.5,10.1,10.6,,,,,,,,,,,,,,,,,,,,,,
2,11.2,11.7,12.1,12.5,13.1,13.6,14.1,14.5,14.9,15.4,15.9,16.6,17,17.5,17.9,19.1,19.7,,,,,,,,,,,,,,,
3,21.3,22.2,22.7,23.2,23.8,24.4,24.9,25.4,25.8,26.3,26.8,27.3,27.8,28.3,28.8,29.3,29.9,30.4,30.9,31.4,32,32.4,33,33.5,34.2,35.3,36.2,37.2,37.9,38.8,39.7,
4,40.8,41.3,42.1,42.5,43,43.6,44.1,44.6,45,45.4,45.9,46.4,46.9,47.6,48,48.4,49.2,50.1,50.5,,,,,,,,,,,,,
5,51.1,51.7,52.1,52.6,53.1,53.5,54.2,54.7,55.2,55.7,56.1,57,57.5,57.9,,,,,,,,,,,,,,,,,,
6,59.8,60.4,60.9,61.4,62,62.6,63.1,63.6,64.1,64.5,65,65.6,66.1,66.7,67.2,67.7,68.3,68.8,69.3,69.8,70.3,70.8,71.3,71.9,72.3,72.7,73.3,73.9,74.6,75.3,75.9,76.5
7,77.8,78.4,79,79.4,79.9,80.4,80.9,81.4,82,82.6,83.2,83.7,84.2,85.7,,,,,,,,,,,,,,,,,,
8,87.4,88.6,89.1,89.5,90.1,90.7,91.2,91.8,92.4,92.8,93.3,93.8,,,,,,,,,,,,,,,,,,,,
9,95.2,95.7,96.2,96.6,97,97.5,98,98.6,99,99.5,100,100.6,101.2,102.1,,,,,,,,,,,,,,,,,,
10,102.9,103.5,103.9,104.3,104.8,105.2,105.8,106.4,107.2,107.9,108.4,109,109.5,110.2,111,111.7,,,,,,,,,,,,,,,,
11,112.4,113,113.4,114,114.4,114.8,,,,,,,,,,,,,,,,,,,,,,,,,,
12,116,116.7,117.4,117.9,118.3,118.8,119.4,120,120.6,121.2,121.7,122.2,122.7,123.1,123.7,124.2,,,,,,,,,,,,,,,,
13,125.2,125.9,126.4,126.9,127.4,127.9,128.4,128.9,129.5,,,,,,,,,,,,,,,,,,,,,,,
14,130.7,131.2,131.7,132.2,132.8,133.4,133.9,134.4,134.7,135.3,135.8,136.3,136.9,137.3,137.9,138.4,138.8,139.4,139.9,140.5,141.3,141.9,142.6,143.3,144.1,144.7,145.3,145.9,,,,
15,147.9,148.6,149.5,150,150.5,151.2,151.6,152.2,152.6,153,153.6,154.1,154.6,155.1,155.7,156.2,157,157.5,157.9,158.5,,,,,,,,,,,,
16,159.2,159.7,160.3,160.7,161.2,161.6,162.1,162.5,163.1,163.7,164.7,166.1,166.6,167.1,167.8,168.5,169.2,170,170.6,171.2,,,,,,,,,,,,
17,171.9,172.4,173.1,173.6,174.2,174.7,175.4,176.4,176.8,177.4,177.8,178.3,178.6,179.2,,,,,,,,,,,,,,,,,,
