Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19
1,4.8,6,6.6,7.3,8,8.7,9.5,,,,,,,,,,,,
2,14.4,15.5,16.1,16.8,17.9,18.5,19.4,19.9,20.4,20.8,21.6,22.5,,,,,,,
3,24.2,24.8,25.4,26,27.2,28.4,,,,,,,,,,,,,
4,30.4,31.5,32.3,33.2,34.5,35.5,36.5,37.3,38,,,,,,,,,,
5,40.2,41.5,42.2,43,43.8,44.5,,,,,,,,,,,,,
6,45.9,46.8,47.4,48.1,48.6,,,,,,,,,,,,,,
7,50.9,51.9,52.5,53,53.9,55,56.1,56.6,57.4,57.9,58.4,,,,,,,,
8,61.2,62.4,63.2,63.7,64.7,65.4,66,66.9,67.6,68.2,68.9,,,,,,,,
9,71.7,72.8,73.5,74.2,75.5,76.7,77.3,78.1,78.7,,,,,,,,,,
10,81.3,82.2,83.1,83.7,84.4,85,86,87,87.5,88.3,89,89.9,,,,,,,
11,91.4,92.4,93.1,93.8,94.7,95.6,96.3,97.4,98,98.6,99.2,99.8,100.9,101.6,102.3,,,,
12,105.7,107,107.9,108.4,109.4,110.3,111.1,111.9,112.6,113.3,114.1,114.8,115.3,116.1,116.8,117.4,118,118.8,119.8
13,123.9,124.8,125.5,126.1,126.9,127.4,128.5,129.3,130.3,131,131.9,132.7,133.5,134.2,,,,,
14,136.2,136.9,137.5,138.3,138.9,139.7,140.4,141.2,142,142.8,143.6,144.3,145.2,147.1,,,,,
15,150.3,151.6,152.5,153.5,154.4,155.3,156.1,157,157.8,158.9,160,160.8,161.7,162.7,,,,,
16,164.6,165.3,166.6,167.6,168.6,,,,,,,,,,,,,,
17,171.1,172.4,173.9,174.6,175.3,176,176.8,177.6,178.5,179.3,,,,,,,,,
