Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21
3.2,4.1,5.0,6.0,6.5,7.2,7.7,8.4,8.9,9.4,9.9,10.6,11.8,12.4,13.4,,,,,,
15.8,17.0,17.7,18.3,18.8,19.3,19.8,20.5,21.0,21.6,22.1,22.7,23.2,23.9,24.6,25.7,,,,,
27.2,28.3,28.9,29.5,30.1,30.6,31.3,32.0,33.5,,,,,,,,,,,,
35.5,36.2,36.9,38.0,38.5,39.0,39.6,40.5,,,,,,,,,,,,,
44.7,45.9,46.3,46.6,,,,,,,,,,,,,,,,,
47.7,48.4,49.0,49.5,50.1,50.7,51.2,51.7,52.4,53.0,53.9,,,,,,,,,,
56.1,56.9,57.4,57.8,58.3,58.7,59.2,59.8,60.3,60.8,61.4,62.2,63.0,64.1,,,,,,,
69.5,70.8,71.5,72.0,72.5,73.0,73.6,74.3,74.8,75.2,75.7,76.2,76.7,77.2,77.7,78.1,78.7,79.2,79.7,80.4,80.8
82.4,83.0,83.5,84.0,84.5,84.9,85.3,85.7,86.2,86.6,87.2,88.3,90.4,90.8,91.7,92.6,93.1,,,,
94.6,95.4,96.0,96.5,97.0,97.4,97.8,98.2,98.6,99.1,99.5,100.0,100.5,101.0,101.8,102.2,103.4,,,,
104.8,105.7,106.2,106.6,107.1,107.6,108.3,108.6,109.1,109.5,110.2,110.7,111.4,,,,,,,,
113.3,114.1,114.8,115.5,116.0,116.5,117.3,118.0,118.5,119.2,120.3,,,,,,,,,,
122.5,123.1,123.6,124.1,124.6,125.1,125.5,126.0,126.5,127.3,128.7,130.2,,,,,,,,,
132.3,133.0,133.5,134.0,134.6,135.1,135.6,136.2,136.7,137.3,137.9,138.5,139.4,,,,,,,,
142.8,143.7,144.4,145.4,145.9,146.3,146.7,147.3,147.9,148.4,149.4,150.5,151.4,152.0,152.6,153.7,156.6,157.1,,,
158.6,159.4,160.2,,,,,,,,,,,,,,,,,,
160.9,161.5,162.1,162.6,163.2,163.9,164.7,,,,,,,,,,,,,,
166.8,167.6,168.1,168.6,169.0,169.6,170.0,170.5,170.9,171.4,171.9,172.4,173.5,174.7,,,,,,,
176.4,177.2,177.6,178.1,178.4,179.0,179.4,179.8,,,,,,,,,,,,,
