Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29
3.3,4.0,4.6,5.1,5.6,6.2,6.6,7.0,7.4,7.8,8.3,8.7,9.3,,,,,,,,,,,,,,,,
10.4,12.2,12.8,13.3,13.8,14.2,14.7,15.2,15.6,16.1,16.7,17.4,17.9,18.4,18.9,19.4,19.8,20.2,21.0,21.4,21.9,26.1,,,,,,,
26.7,27.8,28.3,28.9,29.4,30.0,30.6,31.2,31.6,,,,,,,,,,,,,,,,,,,,
32.4,33.0,33.5,34.1,34.7,35.2,35.6,36.2,36.7,37.2,37.9,38.5,39.1,39.7,,,,,,,,,,,,,,,
43.7,44.6,45.1,45.5,46.0,46.4,46.8,47.4,47.9,48.5,48.9,49.6,50.1,50.6,51.1,51.7,52.1,52.8,53.3,53.9,54.4,54.9,,,,,,,
57.3,57.8,58.2,58.6,59.0,59.6,60.0,60.4,60.9,61.3,61.8,63.2,64.0,64.5,64.9,65.5,,,,,,,,,,,,,
69.5,70.2,71.1,71.7,72.3,72.8,73.5,74.0,74.4,74.9,75.3,75.8,76.5,76.9,77.7,78.2,78.6,79.1,79.6,80.0,80.4,80.8,81.3,,,,,,
82.7,83.5,84.3,84.7,85.2,85.7,86.3,86.8,87.3,87.7,88.2,88.9,89.4,90.0,90.5,91.2,91.6,92.0,92.6,,,,,,,,,,
93.7,94.3,94.9,95.6,96.3,96.6,97.1,97.7,98.5,99.2,99.8,100.4,100.9,101.5,,,,,,,,,,,,,,,
102.4,103.1,103.7,104.2,104.8,105.4,105.9,106.4,106.8,107.3,107.8,108.5,108.9,109.4,110.0,110.6,111.0,111.5,111.9,112.4,113.0,,,,,,,,
115.0,115.8,116.2,116.8,117.5,118.0,118.5,119.1,119.6,120.1,120.7,,,,,,,,,,,,,,,,,,
122.9,123.4,123.9,124.6,125.0,125.4,126.0,126.5,127.0,127.5,128.0,128.5,129.1,129.6,130.1,130.8,131.3,131.8,132.4,132.9,133.5,134.1,135.2,,,,,,
136.5,137.2,137.6,138.1,138.6,139.1,139.6,139.9,140.5,141.0,141.5,142.0,142.6,143.2,143.7,144.2,144.6,145.7,146.3,,,,,,,,,,
147.6,148.3,148.7,149.0,149.4,149.8,150.2,150.8,151.4,151.8,152.5,152.9,,,,,,,,,,,,,,,,,
153.9,154.4,154.9,155.6,156.1,156.6,157.1,157.7,158.3,158.8,159.3,159.9,160.4,160.9,162.2,163.0,163.5,164.9,165.4,166.2,167.0,168.1,169.3,170.6,171.5,176.6,177.0,177.6,178.8
