Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25
3.8,4.5,4.8,5.3,5.7,6.2,7.3,7.8,8.4,8.8,9.3,,,,,,,,,,,,,,
9.9,10.4,11.0,11.7,12.2,12.7,13.2,13.9,14.5,15.1,,,,,,,,,,,,,,,
16.1,16.9,17.6,18.3,18.7,19.2,20.1,20.7,21.3,22.1,22.7,24.4,,,,,,,,,,,,,
24.9,25.8,26.9,27.4,28.1,28.7,29.2,29.7,30.1,30.8,31.5,32.1,32.6,,,,,,,,,,,,
33.1,33.7,34.2,34.7,35.2,,,,,,,,,,,,,,,,,,,,
35.8,36.3,37.0,37.5,38.2,39.3,39.8,40.3,40.9,41.6,42.1,42.5,43.0,43.7,,,,,,,,,,,
45.0,45.7,46.3,46.8,47.3,47.9,,,,,,,,,,,,,,,,,,,
48.2,48.9,49.6,50.2,50.7,51.8,,,,,,,,,,,,,,,,,,,
52.0,52.7,53.2,53.8,54.3,54.6,55.2,55.8,56.4,57.1,57.7,58.1,,,,,,,,,,,,,
58.9,59.7,60.1,60.6,60.9,61.4,,,,,,,,,,,,,,,,,,,
62.6,63.2,63.8,64.5,65.1,65.8,66.6,67.0,67.5,68.0,68.5,69.8,70.4,71.1,,,,,,,,,,,
72.5,73.0,73.4,73.9,74.6,75.3,,,,,,,,,,,,,,,,,,,
76.2,76.7,77.2,77.7,78.3,78.8,,,,,,,,,,,,,,,,,,,
79.6,80.3,80.7,81.2,81.8,82.2,82.7,83.4,,,,,,,,,,,,,,,,,
84.7,85.7,86.2,86.7,87.2,87.8,88.2,88.8,89.4,89.9,90.4,90.9,91.8,92.6,93.3,93.7,94.1,95.4,,,,,,,
97.0,97.6,98.1,98.8,99.4,100.0,100.6,101.2,102.2,102.7,103.2,,,,,,,,,,,,,,
104.1,104.9,105.6,106.3,107.0,107.8,108.7,109.3,109.9,110.8,111.6,112.3,113.4,113.9,114.4,,,,,,,,,,
115.9,116.8,117.4,117.9,118.5,119.2,119.7,120.1,120.7,121.3,122.0,122.7,,,,,,,,,,,,,
124.1,124.8,125.3,126.1,126.6,,,,,,,,,,,,,,,,,,,,
127.7,128.3,128.7,129.4,130.1,130.9,131.5,,,,,,,,,,,,,,,,,,
132.6,133.6,134.1,134.7,135.6,136.4,136.9,137.4,137.9,138.4,139.1,139.9,,,,,,,,,,,,,
142.1,143.3,143.9,144.6,145.3,145.8,146.3,146.7,147.2,147.8,148.5,148.9,149.4,150.0,,,,,,,,,,,
151.0,151.7,152.2,152.7,153.2,153.8,155.3,156.0,156.5,157.0,157.5,158.3,159.4,160.2,160.9,161.5,161.9,162.3,162.7,163.2,163.8,164.2,164.6,165.1,167.1
167.9,168.4,169.1,169.7,170.1,170.5,171.1,171.7,,,,,,,,,,,,,,,,,
173.1,173.8,174.5,175.2,175.6,176.1,176.6,177.1,177.8,178.2,178.6,179.2,179.7,,,,,,,,,,,,
