Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22
3.6,4.0,4.2,4.9,5.4,5.7,6.2,6.6,7.0,7.7,,,,,,,,,,,,
8.7,9.2,9.7,10.4,11.2,11.7,12.5,13.0,13.4,14.0,14.5,15.0,,,,,,,,,,
16.1,17.0,17.4,17.9,18.4,18.8,19.3,19.7,20.2,20.6,21.1,21.6,22.1,22.7,23.1,,,,,,,
24.2,24.9,25.4,25.9,26.5,27.0,27.6,28.1,28.7,29.2,29.7,30.3,30.7,31.4,31.9,,,,,,,
33.8,34.7,35.1,35.6,36.4,36.9,37.6,38.1,,,,,,,,,,,,,,
38.9,39.6,40.1,40.7,41.2,41.5,42.0,42.6,43.1,43.7,44.2,45.0,,,,,,,,,,
46.4,47.0,47.5,48.1,48.6,49.1,49.7,50.1,50.8,51.4,51.8,,,,,,,,,,,
53.1,53.9,54.4,54.8,55.6,56.0,56.5,56.9,,,,,,,,,,,,,,
57.6,58.3,58.7,59.2,59.7,60.1,60.6,61.1,61.6,62.2,63.1,,,,,,,,,,,
64.2,65.0,65.6,66.1,66.6,67.5,68.0,68.5,69.1,69.5,70.0,70.6,71.1,,,,,,,,,
73.2,73.7,74.3,74.7,75.2,75.8,76.6,77.1,77.5,78.0,78.5,79.1,79.6,80.2,81.0,81.7,82.3,82.8,83.3,,,
86.1,86.7,87.6,88.2,88.7,89.5,90.1,90.5,91.1,91.7,92.2,92.9,93.6,94.3,95.0,95.5,96.0,96.6,97.3,97.9,,
99.2,100.2,100.8,101.2,101.7,102.3,102.9,103.4,104.0,,,,,,,,,,,,,
105.7,106.2,106.8,107.5,108.3,108.9,109.4,109.9,110.4,,,,,,,,,,,,,
111.6,112.2,112.8,113.4,114.1,114.9,115.4,115.8,116.4,117.0,117.5,118.2,118.9,119.7,120.3,121.4,121.9,,,,,
123.4,124.0,124.5,125.0,125.9,126.4,126.9,127.5,128.0,128.6,129.2,129.8,130.3,130.8,131.4,131.9,132.5,133.2,133.8,134.3,135.1,135.6
138.0,138.7,139.2,139.7,140.3,140.7,141.1,141.6,142.1,142.5,143.0,143.6,,,,,,,,,,
144.7,145.4,146.1,146.7,147.2,147.7,148.7,149.1,149.7,150.3,151.0,151.9,153.6,,,,,,,,,
154.4,155.0,155.4,156.0,156.5,157.1,157.6,158.3,158.7,159.3,159.7,160.2,160.7,161.1,161.7,162.4,163.0,163.6,164.2,164.9,,
166.6,167.3,167.9,168.6,169.2,169.8,170.6,171.1,171.7,172.2,173.1,173.6,174.2,174.8,175.3,175.9,176.6,177.6,178.3,178.8,179.5,
