Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31
11.3,11.7,12.3,12.7,13.7,14.3,,,,,,,,,,,,,,,,,,,,,,,,,
15.5,16.2,17.0,17.4,17.8,18.2,19.0,19.8,20.2,21.0,21.5,22.2,23.1,,,,,,,,,,,,,,,,,,
25.0,25.6,26.2,26.7,27.3,27.8,28.5,29.1,30.0,30.9,31.5,33.3,33.8,,,,,,,,,,,,,,,,,,
35.4,36.0,36.5,37.0,37.4,38.1,38.7,39.2,39.9,40.4,41.2,41.8,43.4,43.8,44.7,45.6,47.1,48.2,,,,,,,,,,,,,
51.4,52.2,52.7,53.2,53.6,54.0,54.5,54.8,55.4,55.9,56.6,57.1,57.9,58.9,59.8,61.2,61.9,62.6,,,,,,,,,,,,,
66.1,67.1,67.9,68.4,69.3,69.7,70.2,70.7,71.1,71.6,72.1,72.4,72.8,73.6,73.9,74.7,75.1,75.5,76.1,76.7,77.5,78.2,79.5,80.5,81.6,82.2,85.0,,,,
90.3,91.0,91.5,92.1,92.6,93.3,93.8,94.4,95.3,95.9,96.4,97.1,98.1,,,,,,,,,,,,,,,,,,
99.4,100.0,100.9,101.4,102.0,102.4,102.8,103.2,103.8,104.4,105.3,106.1,107.3,108.2,109.8,110.5,111.1,111.6,112.6,116.3,117.1,118.3,119.1,120.2,,,,,,,
121.4,122.1,122.6,123.2,124.0,124.5,125.2,126.0,126.7,127.5,128.6,129.4,130.4,,,,,,,,,,,,,,,,,,
137.9,138.6,139.5,140.0,141.0,142.2,143.1,144.0,144.5,145.6,146.8,148.3,148.9,,,,,,,,,,,,,,,,,,
154.2,154.7,155.3,155.6,156.2,156.7,157.6,158.3,159.4,159.9,160.8,161.8,162.7,163.6,164.1,165.5,166.2,166.9,167.8,168.8,169.8,170.4,170.9,171.4,172.5,173.1,173.7,174.9,175.6,176.7,178.1
