Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24
8.9,10.2,12.7,13.4,14.2,15.4,16.1,17.3,18.9,19.3,20.5,21.3,22.6,23.5,24.1,25.1,26.3,27.2,28.0,28.7,29.1,29.7,30.4,31.2
32.7,33.3,34.1,34.6,35.3,35.7,36.2,37.1,37.8,38.8,39.9,40.3,,,,,,,,,,,,
41.8,42.6,43.4,44.3,44.8,45.4,46.0,46.6,47.2,48.0,48.6,,,,,,,,,,,,,
49.7,50.4,51.1,51.8,52.5,53.1,53.7,54.7,55.3,56.0,56.7,,,,,,,,,,,,,
58.2,59.7,60.4,61.2,61.9,62.7,63.2,64.3,65.7,66.1,66.6,67.5,68.0,68.6,69.5,70.6,73.0,,,,,,,
74.0,74.5,75.1,76.0,76.5,77.3,78.0,78.7,79.3,79.9,80.5,80.9,81.4,81.9,82.5,83.3,84.4,,,,,,,
85.5,86.5,87.2,87.9,88.6,89.4,90.2,90.9,91.5,92.2,92.8,93.4,95.6,96.2,96.7,97.4,98.0,98.6,99.6,,,,,
101.3,102.0,102.9,103.8,104.3,104.8,105.4,106.0,106.9,107.4,108.0,108.7,,,,,,,,,,,,
110.4,111.1,111.6,112.1,112.6,113.1,113.8,114.2,114.9,115.8,117.0,117.7,118.4,118.9,119.5,,,,,,,,,
121.8,122.3,123.0,124.2,124.7,125.1,125.9,126.6,127.3,,,,,,,,,,,,,,,
128.8,129.2,129.6,130.4,131.1,132.3,132.8,134.7,135.3,135.9,136.3,136.8,137.4,138.1,138.9,,,,,,,,,
141.8,142.5,143.0,143.6,144.3,145.3,146.3,146.9,147.6,148.3,148.9,149.7,150.3,151.1,152.6,155.6,157.1,158.0,158.8,159.8,,,,
162.1,162.7,163.4,164.2,165.1,165.9,166.8,167.6,168.5,169.3,169.9,170.7,171.4,172.0,172.7,173.5,174.2,175.0,175.7,176.5,177.3,178.2,,
,,,,,,,,,,,,,,,,,,,,,,,
