Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28
9.5,10.7,11.3,12.1,12.8,13.5,14.7,15.4,16.0,16.9,17.8,18.5,19.2,21.4,22.1,22.8,23.4,24.0,24.8,26.0,26.5,28.1,30.0,,,,,
31.8,33.0,33.9,34.7,35.5,36.3,36.8,37.4,38.1,38.8,39.3,40.2,40.8,41.4,42.0,42.6,44.2,44.7,45.3,45.8,46.6,47.4,48.1,48.8,49.3,49.9,50.8,51.4
54.1,54.8,55.4,56.1,56.6,57.1,58.1,58.6,59.2,60.4,61.0,63.4,,,,,,,,,,,,,,,,
65.5,66.2,67.1,67.9,68.5,68.9,69.7,70.3,71.0,71.5,72.2,72.7,73.7,74.5,75.1,76.1,76.8,77.5,78.3,78.9,79.6,80.1,80.6,81.3,83.3,84.6,86.1,
88.1,89.0,90.2,90.8,91.5,92.1,92.7,93.3,93.8,94.4,95.0,95.6,96.2,97.2,98.1,99.2,99.7,100.4,,,,,,,,,,
102.6,103.3,103.9,104.3,104.8,105.4,105.9,107.0,107.5,108.2,108.7,109.8,110.3,111.1,111.5,112.1,112.9,113.7,115.7,,,,,,,,,
117.6,118.4,119.1,119.7,120.4,121.0,121.5,122.1,122.8,123.3,123.9,125.2,125.8,126.4,127.2,128.0,129.1,130.0,133.7,134.3,134.9,135.6,,,,,,
138.6,139.4,140.1,140.9,141.5,142.1,142.7,143.1,143.6,144.3,145.1,146.0,146.7,147.5,148.0,148.7,149.1,150.1,150.7,151.3,154.7,,,,,,,
157.2,158.4,159.0,159.5,160.1,160.7,161.2,161.7,162.4,163.0,163.7,164.1,164.6,165.2,,,,,,,,,,,,,,
166.5,167.0,167.8,168.6,169.4,170.2,171.3,172.6,173.4,174.0,175.1,176.5,177.3,177.9,178.6,179.4,,,,,,,,,,,,
