Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20
,,,,,,,,,,,,,,,,,,,
5.0,5.7,6.2,7.0,7.6,8.1,8.5,9.1,9.6,10.3,10.9,11.5,12.3,13.7,14.4,16.4,17.0,,,
18.4,19.5,20.1,20.6,21.3,21.9,22.3,22.8,23.7,24.4,25.2,26.3,26.9,27.6,29.3,,,,,
30.7,31.8,32.4,33.3,33.7,34.4,35.1,35.7,36.1,36.7,37.4,38.0,38.5,38.9,40.3,41.2,41.6,,,
43.5,44.6,45.1,45.6,46.2,47.0,47.5,48.0,48.6,49.3,51.0,,,,,,,,,
53.6,54.3,55.0,55.6,56.1,56.8,57.4,58.2,59.6,60.3,61.1,,,,,,,,,
62.7,63.4,64.2,64.8,65.4,66.1,67.0,68.1,68.8,69.5,70.4,,,,,,,,,
72.8,73.7,74.5,75.0,75.7,76.2,76.8,77.3,77.9,78.5,79.6,,,,,,,,,
80.1,80.9,81.6,82.3,83.2,83.9,84.7,85.7,86.7,87.7,88.5,90.0,,,,,,,,
92.5,93.2,94.0,95.1,95.8,96.5,97.2,98.0,99.7,,,,,,,,,,,
100.0,100.7,101.1,101.5,102.1,102.6,103.2,103.9,104.4,105.2,105.8,106.4,107.4,,,,,,,
109.1,109.6,110.2,110.7,111.4,111.9,112.3,112.9,113.5,114.0,114.8,115.4,115.9,116.4,117.0,117.7,118.4,119.0,119.7,122.1
122.8,123.3,123.8,124.3,124.8,125.3,125.9,126.4,126.8,127.5,128.5,129.2,130.4,131.2,132.1,132.7,133.3,136.6,137.6,
138.7,139.9,141.1,141.7,142.4,143.1,144.2,144.8,145.5,146.5,147.0,147.7,148.7,,,,,,,
150.4,151.1,151.6,152.4,153.1,153.5,154.3,155.9,156.5,157.3,157.8,159.5,,,,,,,,
160.5,161.5,162.3,163.3,163.8,164.4,165.4,166.0,166.7,168.0,169.3,,,,,,,,,
171.9,173.0,173.6,174.3,175.0,175.4,176.1,176.8,177.2,178.0,178.7,179.5,,,,,,,,
